  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd   Device   Ctx  Strm                Name              
 -------------  -------------  ------  ----  ----  ----  ----  ----  ----  -------  ------------  ------------  ----------  -----------------  --------  --------  --------  ---  ----  --------------------------------
 1.752.648.128      4.637.216     105  None  None  None  None  None  None     None  None          None          16,777      3607,101           Pageable  Device    Orin (0)    1     7  [CUDA memcpy HtoD]              
 1.758.446.272      2.681.408     108   127   127     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.761.132.288         67.936     109     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.761.204.832        181.728     110   126     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.761.391.168      2.634.624     111   126   126     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.764.033.920         68.288     112     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.764.108.960        182.592     113   125     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.764.298.176      2.620.896     114   125   125     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.766.926.720         68.192     115     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.767.001.408        183.168     116   124     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.767.189.504      2.547.520     117   124   124     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.769.745.056         68.192     118     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.769.819.840        182.912     119   123     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.770.007.712      2.542.400     120   123   123     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.772.557.920         68.352     121     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.772.632.736        182.336     122   122     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.772.821.760      2.482.112     123   122   122     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.775.308.704         68.192     124     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.775.383.616        181.440     125   121     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.775.573.184      2.463.296     126   121   121     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.778.041.408         68.416     127     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.778.117.600        173.824     128   120     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.778.296.256      2.394.912     129   120   120     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.780.699.168         68.064     130     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
 1.780.773.920        174.304     131   119     1     1    32     1     1       40  0,003         0,000         None                           None      None      Orin (0)    1     7  lud_perimeter(float *, int, int)
 1.780.958.048      2.370.176     132   119   119     1    16    16     1       34  0,002         0,000         None                           None      None      Orin (0)    1     7  lud_internal(float *, int, int) 
 1.783.334.720         67.776     133     1     1     1    16     1     1       40  0,001         0,000         None                           None      None      Orin (0)    1     7  lud_diagonal(float *, int, int) 
