 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)     GridXYZ         BlockXYZ                   Name              
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  --------------  --------------  --------------------------------
      5,0        6.144.160        128     48.001,0     42.256,0     39.744     70.496     11.495,0     1    1    1    16    1    1  lud_diagonal(float *, int, int) 
      2,0        2.681.408          1  2.681.408,0  2.681.408,0  2.681.408  2.681.408          0,0   127  127    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.634.624          1  2.634.624,0  2.634.624,0  2.634.624  2.634.624          0,0   126  126    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.620.896          1  2.620.896,0  2.620.896,0  2.620.896  2.620.896          0,0   125  125    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.547.520          1  2.547.520,0  2.547.520,0  2.547.520  2.547.520          0,0   124  124    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.542.400          1  2.542.400,0  2.542.400,0  2.542.400  2.542.400          0,0   123  123    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.482.112          1  2.482.112,0  2.482.112,0  2.482.112  2.482.112          0,0   122  122    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.463.296          1  2.463.296,0  2.463.296,0  2.463.296  2.463.296          0,0   121  121    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.394.912          1  2.394.912,0  2.394.912,0  2.394.912  2.394.912          0,0   120  120    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.370.176          1  2.370.176,0  2.370.176,0  2.370.176  2.370.176          0,0   119  119    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.327.616          1  2.327.616,0  2.327.616,0  2.327.616  2.327.616          0,0   118  118    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.296.768          1  2.296.768,0  2.296.768,0  2.296.768  2.296.768          0,0   117  117    1    16   16    1  lud_internal(float *, int, int) 
      2,0        2.255.616          1  2.255.616,0  2.255.616,0  2.255.616  2.255.616          0,0   116  116    1    16   16    1  lud_internal(float *, int, int) 
      1,0        2.218.464          1  2.218.464,0  2.218.464,0  2.218.464  2.218.464          0,0   115  115    1    16   16    1  lud_internal(float *, int, int) 
      1,0        2.161.984          1  2.161.984,0  2.161.984,0  2.161.984  2.161.984          0,0   114  114    1    16   16    1  lud_internal(float *, int, int) 
      1,0        2.109.568          1  2.109.568,0  2.109.568,0  2.109.568  2.109.568          0,0   113  113    1    16   16    1  lud_internal(float *, int, int) 
