2,0 6.925.472 128 54.105,0 65.280,0 39.488 70.816 13.563,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.623.680 128 51.747,0 44.128,0 37.792 72.256 13.764,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.285.824 128 56.920,0 65.248,0 39.008 71.648 12.558,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.803.712 128 53.154,0 43.472,0 38.048 70.880 14.024,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.410.432 128 65.706,0 66.752,0 62.304 70.848 2.531,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.399.584 128 65.621,0 66.688,0 62.272 71.424 2.699,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.400.224 128 65.626,0 67.056,0 62.272 70.720 2.677,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.807.968 128 53.187,0 42.992,0 39.744 71.456 13.354,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.310.208 128 64.923,0 65.488,0 61.184 71.680 2.981,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.414.912 128 50.116,0 40.656,0 37.536 70.784 13.816,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.322.048 128 65.016,0 65.456,0 61.216 71.808 3.190,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.256.032 128 64.500,0 63.968,0 61.184 71.424 2.828,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.240.448 128 56.566,0 65.712,0 38.368 71.200 13.298,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.371.904 128 65.405,0 65.776,0 61.248 71.360 2.475,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.028.000 128 54.906,0 65.744,0 39.552 70.592 13.518,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.084.544 128 63.160,0 65.648,0 39.264 71.072 7.099,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.307.584 128 64.903,0 64.480,0 61.152 70.464 3.080,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.299.904 128 64.843,0 65.552,0 61.184 70.912 3.114,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.408.128 128 57.876,0 65.392,0 38.752 71.488 12.814,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.428.576 128 58.035,0 65.008,0 38.272 70.432 12.362,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.721.888 128 52.514,0 42.624,0 37.376 71.616 13.713,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.397.216 128 65.603,0 67.296,0 62.304 71.104 2.635,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.670.272 128 52.111,0 43.392,0 39.712 70.336 13.098,0 CUDA_KERNEL lud_diagonal(float *, int, int)
