38,0 107.947.072 127 849.976,0 610.848,0 4.928 2.700.288 846.821,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.449.824 127 830.313,0 455.456,0 4.832 2.713.376 845.595,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.985.152 127 866.024,0 604.416,0 5.408 2.657.376 833.825,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.883.520 127 841.602,0 448.864,0 5.024 2.677.664 843.873,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 114.306.528 127 900.051,0 649.344,0 7.872 2.704.352 827.036,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 114.038.592 127 897.941,0 643.712,0 8.064 2.691.296 827.251,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.400.768 127 892.919,0 646.816,0 8.032 2.660.256 825.040,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.864.224 127 841.450,0 457.280,0 5.024 2.675.264 845.449,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.861.760 127 888.675,0 601.376,0 6.880 2.687.872 827.011,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 103.928.992 127 818.338,0 390.432,0 4.768 2.676.064 845.270,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.805.024 127 888.228,0 602.432,0 6.624 2.707.136 823.281,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.231.552 127 883.713,0 617.696,0 7.008 2.675.712 825.356,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.999.072 127 866.134,0 609.856,0 5.568 2.678.752 834.509,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.850.720 127 896.462,0 634.272,0 6.848 2.704.352 824.831,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.478.048 127 854.157,0 605.120,0 5.120 2.698.848 842.364,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.159.616 127 883.146,0 608.256,0 5.440 2.683.840 825.528,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.447.040 127 885.409,0 594.752,0 7.392 2.652.512 823.635,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.910.624 127 889.060,0 604.992,0 6.976 2.688.288 829.394,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.275.552 127 876.185,0 601.664,0 5.472 2.702.080 832.989,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.492.384 127 877.892,0 603.232,0 5.408 2.684.736 835.915,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.713.664 127 840.265,0 454.176,0 4.864 2.687.104 842.216,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.749.664 127 895.666,0 640.480,0 7.840 2.665.280 827.227,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.200.320 127 836.223,0 463.648,0 5.056 2.680.224 847.722,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.839.680 127 896.375,0 620.608,0 6.752 2.699.872 828.309,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.656.736 127 879.186,0 602.784,0 5.312 2.704.928 826.439,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 114.034.208 127 897.907,0 640.544,0 8.384 2.701.600 825.902,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.654.208 127 847.670,0 552.704,0 4.992 2.685.760 845.481,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 110.092.256 127 866.868,0 590.720,0 5.472 2.681.056 840.194,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.253.440 127 891.759,0 614.400,0 7.296 2.716.896 832.250,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.271.552 127 852.531,0 604.064,0 5.248 2.663.008 843.326,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.107.360 127 890.609,0 599.424,0 6.976 2.696.864 831.108,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.547.168 127 886.198,0 603.584,0 6.720 2.696.736 823.629,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.458.592 127 893.374,0 642.400,0 8.448 2.682.848 823.613,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.652.416 127 894.900,0 619.840,0 6.976 2.728.992 827.060,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.993.088 127 842.465,0 503.552,0 5.152 2.674.272 846.002,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.077.344 127 819.506,0 400.928,0 4.832 2.690.912 845.283,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.669.696 127 847.792,0 600.928,0 4.704 2.670.720 841.042,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 110.174.848 127 867.518,0 606.784,0 5.216 2.683.520 831.439,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.471.360 127 830.483,0 464.128,0 4.864 2.693.664 848.496,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.793.312 127 848.766,0 605.504,0 5.344 2.686.688 847.496,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 110.514.592 127 870.193,0 603.168,0 5.408 2.686.784 834.798,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.668.320 127 895.026,0 627.296,0 7.424 2.683.392 824.919,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 102.950.016 127 810.630,0 405.024,0 5.024 2.690.464 842.811,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.694.240 127 847.986,0 599.040,0 5.056 2.692.032 841.669,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.388.640 127 884.949,0 611.392,0 5.440 2.708.384 833.114,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.735.232 127 895.553,0 649.120,0 6.912 2.692.448 825.175,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.756.224 127 895.718,0 647.264,0 7.904 2.684.128 826.253,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.144.832 127 859.408,0 619.072,0 5.376 2.677.120 837.527,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 103.507.296 127 815.018,0 400.832,0 5.024 2.701.216 845.745,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.798.144 127 880.300,0 610.464,0 6.656 2.677.248 821.711,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.366.944 127 876.905,0 595.968,0 5.504 2.689.344 829.104,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.728.384 127 887.625,0 600.480,0 7.264 2.664.672 825.723,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.636.608 127 831.784,0 451.808,0 5.088 2.694.368 844.163,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.570.880 127 847.014,0 512.448,0 6.176 2.692.672 837.449,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.499.712 127 877.950,0 604.576,0 5.568 2.661.728 829.639,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.475.168 127 893.505,0 650.880,0 7.904 2.685.600 824.631,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.000.224 127 889.765,0 600.704,0 6.624 2.669.216 824.628,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 114.234.848 127 899.487,0 644.640,0 6.816 2.670.784 827.423,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.776.224 127 832.883,0 468.832,0 5.120 2.699.456 846.356,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.749.280 127 848.419,0 617.504,0 4.768 2.675.840 845.667,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 126.666.464 127 997.373,0 419.136,0 5.152 6.598.464 1.244.925,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.548.960 127 894.086,0 625.280,0 6.752 2.676.800 825.579,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.396.160 127 885.009,0 613.280,0 4.832 2.677.152 826.325,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.556.576 127 886.272,0 601.696,0 5.664 2.693.984 828.437,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.132.064 127 819.937,0 466.272,0 4.832 2.681.120 842.448,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.582.048 127 894.346,0 653.536,0 8.512 2.682.208 822.507,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.900.064 127 896.850,0 640.832,0 8.640 2.690.976 828.627,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.671.040 127 887.173,0 601.888,0 6.784 2.683.872 825.505,0 CUDA_KERNEL lud_internal(float *, int, int)
32,0 113.602.784 127 894.510,0 649.920,0 6.816 2.701.120 825.031,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 110.842.528 127 872.775,0 599.840,0 5.440 2.677.248 834.538,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 101.792.480 127 801.515,0 397.344,0 4.800 2.673.120 846.010,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.745.728 127 895.635,0 650.432,0 7.936 2.677.888 828.180,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.874.688 127 825.784,0 462.432,0 4.928 2.706.368 845.378,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.961.120 127 857.961,0 626.304,0 4.768 2.681.472 841.302,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 101.006.304 127 795.325,0 385.824,0 4.960 2.687.328 844.329,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.950.816 127 834.258,0 447.936,0 4.992 2.671.168 843.866,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.399.168 127 885.032,0 609.920,0 6.976 2.672.960 825.027,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.403.040 127 885.063,0 608.768,0 6.848 2.671.840 826.421,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.818.816 127 896.211,0 647.936,0 7.840 2.688.224 824.594,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.045.664 127 842.879,0 460.992,0 4.832 2.674.720 845.674,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.408.224 127 822.112,0 463.392,0 4.800 2.675.136 839.524,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.326.624 127 892.335,0 634.144,0 6.720 2.693.920 822.438,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.820.416 127 841.105,0 471.936,0 4.832 2.694.848 844.360,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.809.376 127 880.388,0 601.344,0 5.696 2.688.640 828.679,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.744.448 127 895.625,0 646.272,0 6.848 2.687.616 827.196,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.946.912 127 889.345,0 600.512,0 6.656 2.667.808 826.306,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.895.744 127 841.698,0 457.984,0 5.056 2.657.408 842.703,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.843.264 127 896.403,0 632.576,0 7.680 2.696.128 828.582,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.075.968 127 819.495,0 401.760,0 4.992 2.713.600 846.862,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.445.344 127 877.522,0 587.520,0 5.600 2.709.536 829.377,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.957.792 127 850.061,0 615.008,0 4.992 2.671.040 844.505,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.767.616 127 840.689,0 449.856,0 4.832 2.663.936 846.021,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.993.248 127 897.584,0 632.832,0 8.448 2.715.168 826.110,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.954.656 127 889.406,0 599.680,0 6.624 2.676.352 827.426,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 110.381.664 127 869.147,0 615.136,0 5.344 2.675.616 830.026,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.443.200 127 893.253,0 634.944,0 7.104 2.698.624 825.962,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 102.570.848 127 807.644,0 406.112,0 4.672 2.682.752 846.583,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.697.920 127 895.259,0 599.552,0 6.816 2.696.160 828.613,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.224.864 127 883.660,0 603.648,0 6.848 2.704.768 826.982,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.648.800 127 824.006,0 488.192,0 4.992 2.694.976 846.854,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.756.416 127 887.845,0 606.560,0 7.200 2.702.496 828.803,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.109.920 127 874.881,0 586.848,0 5.184 2.699.872 828.499,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.069.920 127 890.314,0 608.736,0 6.688 2.664.800 826.362,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.567.968 127 894.236,0 630.272,0 6.752 2.670.112 826.729,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.722.528 127 840.334,0 467.072,0 4.864 2.685.984 844.285,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.751.776 127 895.683,0 638.048,0 6.688 2.695.680 829.287,0 CUDA_KERNEL lud_internal(float *, int, int)
