4,0 12.871.360 127 101.349,0 106.752,0 44.224 204.448 51.012,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.335.264 127 97.128,0 71.264,0 43.040 204.128 51.910,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.417.920 127 105.652,0 105.312,0 44.416 205.216 49.135,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.727.840 127 100.219,0 70.528,0 43.712 204.096 51.789,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.682.400 127 115.609,0 106.944,0 69.536 204.864 38.740,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.709.248 127 115.820,0 108.640,0 69.088 205.280 38.613,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.680.832 127 115.597,0 107.520,0 69.536 203.552 38.682,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.645.408 127 99.570,0 71.520,0 45.024 204.416 51.161,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.564.000 127 114.677,0 105.184,0 68.064 205.568 39.289,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.030.656 127 94.729,0 67.296,0 42.240 204.000 52.147,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.599.040 127 114.953,0 105.568,0 67.520 204.736 39.503,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.552.224 127 114.584,0 105.472,0 67.520 204.640 39.214,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.383.488 127 105.381,0 106.048,0 43.360 204.672 49.576,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.673.760 127 115.541,0 106.880,0 67.584 204.416 38.674,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.013.888 127 102.471,0 105.856,0 44.032 207.264 50.791,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.379.552 127 113.224,0 106.784,0 43.328 205.408 41.545,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.581.344 127 114.813,0 106.752,0 67.552 205.248 39.282,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.564.960 127 114.684,0 105.696,0 68.032 204.992 39.262,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.574.752 127 106.887,0 104.960,0 43.168 204.736 48.611,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.621.664 127 107.257,0 106.016,0 43.488 206.848 48.184,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.572.992 127 98.999,0 76.032,0 41.536 205.504 51.598,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.673.536 127 115.539,0 108.160,0 68.896 204.128 38.783,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.432.576 127 97.894,0 70.656,0 44.960 205.344 51.461,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.664.352 127 115.467,0 107.296,0 67.872 204.832 38.909,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.993.216 127 110.182,0 106.944,0 43.840 204.640 45.156,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.673.120 127 115.536,0 107.616,0 68.640 203.968 38.689,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.833.760 127 101.053,0 105.696,0 44.640 203.520 51.175,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.290.528 127 104.649,0 106.784,0 43.712 203.808 50.009,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.553.120 127 114.591,0 104.768,0 67.616 204.000 39.247,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.967.008 127 102.102,0 105.184,0 43.808 204.608 51.145,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.575.808 127 114.770,0 105.760,0 67.968 204.128 39.491,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.576.288 127 114.773,0 105.504,0 67.904 204.640 39.259,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.671.712 127 115.525,0 107.072,0 69.376 204.832 38.652,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.600.000 127 114.960,0 105.376,0 67.776 204.640 39.252,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.727.296 127 100.214,0 104.480,0 43.296 204.608 51.819,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.083.584 127 95.146,0 67.552,0 43.168 204.000 51.971,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.879.840 127 101.416,0 106.080,0 41.184 206.144 51.119,0 CUDA_KERNEL lud_perimeter(float *, int, int)
