4,0 130.048 4 32.512,0 31.824,0 31.168 35.232 1.856,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 136.832 4 34.208,0 33.168,0 32.768 37.728 2.373,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.176 4 32.544,0 31.728,0 31.168 35.552 2.034,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.472 4 34.368,0 33.392,0 33.280 37.408 2.028,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.976 4 32.744,0 31.856,0 31.200 36.064 2.237,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.368 4 32.592,0 32.000,0 31.168 35.200 1.783,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.208 4 32.552,0 31.712,0 31.136 35.648 2.084,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.872 4 32.968,0 31.968,0 31.616 36.320 2.242,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 144.384 4 36.096,0 35.296,0 34.464 39.328 2.200,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.200 4 32.800,0 32.064,0 31.168 35.904 2.112,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 128.864 4 32.216,0 31.232,0 31.136 35.264 2.033,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.696 4 32.424,0 31.504,0 31.200 35.488 2.057,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.560 4 32.640,0 31.664,0 31.136 36.096 2.321,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.408 4 32.352,0 31.232,0 31.168 35.776 2.282,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.760 4 32.440,0 31.408,0 31.168 35.776 2.233,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.888 4 32.472,0 31.504,0 31.168 35.712 2.167,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.400 4 32.600,0 31.456,0 31.168 36.320 2.483,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.400 4 32.600,0 31.904,0 31.168 35.424 1.917,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.856 4 32.464,0 31.568,0 31.296 35.424 1.987,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 129.408 4 32.352,0 31.440,0 31.136 35.392 2.043,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.672 4 64.168,0 62.960,0 62.272 68.480 2.899,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.504 4 32.376,0 31.568,0 31.168 35.200 1.920,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 255.584 4 63.896,0 62.672,0 62.336 67.904 2.677,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.600 4 34.400,0 32.960,0 32.704 38.976 3.057,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.624 4 32.656,0 31.840,0 31.136 35.808 2.131,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 137.664 4 34.416,0 32.960,0 32.736 39.008 3.067,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.792 4 32.448,0 31.728,0 31.168 35.168 1.845,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.824 4 32.456,0 31.376,0 31.136 35.936 2.329,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.688 4 32.672,0 31.712,0 31.264 36.000 2.229,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 145.056 4 36.264,0 35.632,0 34.592 39.200 2.017,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.016 4 32.504,0 31.744,0 31.168 35.360 1.923,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.536 4 32.384,0 31.600,0 31.168 35.168 1.900,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.688 4 32.672,0 31.648,0 31.168 36.224 2.393,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.232 4 32.808,0 32.176,0 31.136 35.744 2.018,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 129.728 4 32.432,0 31.600,0 31.168 35.360 1.994,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.328 4 32.832,0 32.064,0 31.168 36.032 2.174,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.592 4 32.648,0 31.584,0 31.136 36.288 2.442,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 130.944 4 32.736,0 32.000,0 31.168 35.776 2.064,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 136.992 4 34.248,0 32.784,0 32.672 38.752 3.003,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.040 4 32.760,0 31.952,0 31.136 36.000 2.195,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 130.624 4 32.656,0 32.112,0 31.200 35.200 1.749,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 136.032 4 34.008,0 33.216,0 32.672 36.928 1.965,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.208 4 34.552,0 33.312,0 32.896 38.688 2.782,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 139.872 4 34.968,0 33.760,0 33.088 39.264 2.885,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.360 4 32.840,0 32.064,0 31.232 36.000 2.143,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 136.448 4 34.112,0 32.960,0 32.800 37.728 2.415,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 129.824 4 32.456,0 31.728,0 31.136 35.232 1.933,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 131.168 4 32.792,0 32.016,0 31.136 36.000 2.180,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.176 4 34.544,0 33.216,0 32.704 39.040 3.026,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 131.040 4 32.760,0 32.080,0 31.168 35.712 2.014,0 CUDA_KERNEL lud_diagonal(float *, int, int)
