0,0 16.672 3 5.557,0 5.760,0 4.032 6.880 1.434,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.120 3 7.040,0 6.752,0 6.304 8.064 914,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.504,0 4.256 6.624 1.184,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.416 3 5.472,0 5.376,0 4.256 6.784 1.266,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.160 3 5.386,0 5.568,0 4.032 6.560 1.273,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.280,0 4.032 7.072 1.528,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.376,0 4.064 6.880 1.409,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.504,0 4.192 6.624 1.217,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.008 3 7.669,0 8.160,0 6.528 8.320 991,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.768 3 5.589,0 5.504,0 4.448 6.816 1.186,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.904 3 5.301,0 5.536,0 3.968 6.400 1.232,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.936 3 5.312,0 5.344,0 3.904 6.688 1.392,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.312,0 4.320 6.688 1.189,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.064 3 5.354,0 5.568,0 3.872 6.624 1.388,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.224 3 5.408,0 5.472,0 4.000 6.752 1.377,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.128 3 5.376,0 5.312,0 4.000 6.816 1.409,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.504,0 4.128 6.752 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.264 3 5.088,0 5.440,0 4.032 5.792 931,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.664,0 3.904 6.752 1.437,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.736 3 5.578,0 5.792,0 4.160 6.784 1.324,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.832 3 9.610,0 9.696,0 8.096 11.040 1.473,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.760,0 4.064 6.816 1.388,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.920,0 8.192 11.200 1.509,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.032 3 8.010,0 8.128,0 6.304 9.600 1.651,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.544 3 5.514,0 5.600,0 4.192 6.752 1.282,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.016 3 7.338,0 7.648,0 6.336 8.032 889,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.184 3 5.728,0 5.888,0 4.064 7.232 1.590,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.744 3 5.248,0 5.184,0 4.096 6.464 1.185,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.440,0 4.192 6.720 1.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.624 3 7.541,0 8.096,0 6.368 8.160 1.016,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.224 3 5.408,0 5.280,0 4.224 6.720 1.252,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.968 3 5.322,0 5.472,0 4.000 6.496 1.254,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.384 3 5.461,0 5.600,0 4.032 6.752 1.365,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.480 3 5.493,0 5.536,0 4.000 6.944 1.472,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.608 3 5.536,0 5.536,0 4.288 6.784 1.248,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.536,0 4.160 6.752 1.296,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.968 3 5.322,0 5.440,0 3.968 6.560 1.300,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.448 3 5.482,0 5.600,0 4.224 6.624 1.204,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.464 3 7.488,0 8.000,0 6.240 8.224 1.086,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.968 3 5.322,0 5.504,0 3.904 6.560 1.337,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.536,0 4.320 6.784 1.232,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.376,0 4.256 6.688 1.217,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.560 3 7.520,0 8.096,0 6.272 8.192 1.081,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.304 3 7.434,0 8.032,0 6.208 8.064 1.062,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.704 3 5.568,0 5.600,0 4.288 6.816 1.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.432 3 7.477,0 7.968,0 6.272 8.192 1.049,0 CUDA_KERNEL lud_internal(float *, int, int)
