3,0 107.232 3 35.744,0 35.776,0 34.368 37.088 1.360,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.352 3 37.450,0 37.184,0 36.064 39.104 1.537,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 106.784 3 35.594,0 35.296,0 34.400 37.088 1.368,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 114.880 3 38.293,0 38.272,0 37.248 39.360 1.056,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.200 3 35.733,0 36.192,0 34.304 36.704 1.264,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.160 3 36.053,0 35.840,0 35.200 37.120 977,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.000 3 36.000,0 36.288,0 34.432 37.280 1.445,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.448 3 36.149,0 35.840,0 34.944 37.664 1.386,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 119.104 3 39.701,0 39.232,0 39.008 40.864 1.013,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.392 3 35.797,0 35.744,0 34.592 37.056 1.232,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.936 3 35.978,0 35.744,0 35.104 37.088 1.012,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 109.248 3 36.416,0 36.544,0 34.592 38.112 1.763,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.288 3 36.096,0 35.840,0 35.264 37.184 985,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.616 3 35.872,0 36.224,0 34.336 37.056 1.393,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.552 3 35.850,0 35.840,0 34.464 37.248 1.392,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.608 3 36.202,0 35.328,0 35.232 38.048 1.598,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.928 3 36.309,0 36.288,0 34.880 37.760 1.440,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.712 3 35.904,0 35.232,0 35.200 37.280 1.191,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.864 3 36.288,0 35.712,0 34.976 38.176 1.676,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.032 3 36.010,0 36.352,0 34.528 37.152 1.344,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 211.968 3 70.656,0 70.176,0 68.704 73.088 2.231,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.736 3 36.245,0 35.616,0 35.264 37.856 1.405,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 211.776 3 70.592,0 70.336,0 69.024 72.416 1.710,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.736 3 37.578,0 37.056,0 36.480 39.200 1.433,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.200 3 35.733,0 35.488,0 34.592 37.120 1.281,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.896 3 37.632,0 37.216,0 36.064 39.616 1.812,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.360 3 35.786,0 35.840,0 34.432 37.088 1.328,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 109.024 3 36.341,0 36.480,0 34.880 37.664 1.397,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.104 3 35.701,0 35.584,0 34.336 37.184 1.427,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 118.752 3 39.584,0 39.808,0 38.176 40.768 1.310,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.608 3 36.202,0 35.712,0 35.232 37.664 1.288,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 108.928 3 36.309,0 35.840,0 35.296 37.792 1.312,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.200 3 35.733,0 35.776,0 34.336 37.088 1.376,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.360 3 35.786,0 35.840,0 34.400 37.120 1.360,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.520 3 35.840,0 35.776,0 34.624 37.120 1.249,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.424 3 35.808,0 35.712,0 34.528 37.184 1.330,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 108.320 3 36.106,0 36.128,0 35.040 37.152 1.056,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.328 3 35.776,0 35.904,0 34.336 37.088 1.380,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 111.968 3 37.322,0 36.960,0 36.032 38.976 1.505,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.456 3 35.818,0 35.776,0 34.464 37.216 1.376,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.584 3 35.861,0 35.808,0 34.592 37.184 1.296,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 112.160 3 37.386,0 37.056,0 35.776 39.328 1.798,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 113.792 3 37.930,0 37.248,0 36.448 40.096 1.917,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 115.968 3 38.656,0 38.592,0 36.864 40.512 1.824,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.328 3 35.776,0 35.808,0 34.560 36.960 1.200,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 111.776 3 37.258,0 37.600,0 36.064 38.112 1.065,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.744 3 35.914,0 36.128,0 34.528 37.088 1.293,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 107.232 3 35.744,0 35.808,0 34.400 37.024 1.313,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 111.904 3 37.301,0 36.992,0 36.000 38.912 1.480,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 107.360 3 35.786,0 35.808,0 34.432 37.120 1.344,0 CUDA_KERNEL lud_perimeter(float *, int, int)
