0,0 8.425.408 1.023 8.236,0 8.160,0 3.488 23.872 3.408,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.859.264 1.023 7.682,0 7.040,0 3.616 48.832 3.566,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.786.272 1.023 7.611,0 6.688,0 3.456 23.776 3.390,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.716.672 1.023 7.543,0 6.368,0 3.520 23.808 3.530,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.762.560 1.023 8.565,0 7.808,0 3.488 23.680 3.896,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.372.320 1.023 7.206,0 6.432,0 3.488 32.128 2.981,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.330.944 1.023 7.166,0 6.048,0 3.456 23.680 3.181,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.700.832 1.023 9.482,0 10.208,0 3.520 23.936 4.365,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.209.504 1.023 7.047,0 6.464,0 3.488 30.368 3.048,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.434.944 1.023 7.267,0 6.528,0 3.520 23.552 3.012,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.936.736 1.023 7.758,0 7.136,0 3.520 24.160 3.430,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.697.440 1.023 9.479,0 8.128,0 3.488 35.136 4.847,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.104.608 1.023 7.922,0 6.464,0 3.456 30.656 4.219,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.371.392 1.023 7.205,0 6.560,0 3.520 27.232 2.916,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.281.408 1.023 7.117,0 6.624,0 3.488 24.320 2.816,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.717.472 1.023 11.454,0 12.512,0 4.032 30.048 3.069,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.707.040 1.023 7.533,0 6.432,0 3.488 23.552 3.209,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.478.080 1.023 7.310,0 6.720,0 3.488 27.072 2.988,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.903.616 1.023 6.748,0 6.688,0 3.456 27.136 1.820,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.210.080 1.023 8.025,0 7.296,0 3.488 27.616 3.568,0 CUDA_KERNEL Fan1(float *, float *, int, int)
