47,0 1.084.908.672 1.023 1.060.516,0 951.584,0 785.408 1.786.976 327.153,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.036.109.120 1.023 1.012.814,0 901.632,0 794.080 1.857.088 300.914,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.097.748.352 1.023 1.073.067,0 820.960,0 785.632 1.837.376 396.632,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.055.449.952 1.023 1.031.720,0 819.424,0 788.096 1.828.160 357.036,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.177.399.104 1.023 1.150.927,0 981.248,0 787.712 1.833.824 390.381,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 930.956.640 1.023 910.026,0 819.296,0 791.744 1.237.728 141.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 979.848.224 1.023 957.818,0 819.040,0 788.832 1.828.544 282.227,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.251.627.616 1.023 1.223.487,0 1.002.432,0 788.960 1.839.744 403.128,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 986.442.080 1.023 964.264,0 820.288,0 791.904 1.764.000 286.235,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.015.587.296 1.023 992.754,0 818.592,0 791.616 1.770.208 308.848,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.090.335.840 1.023 1.065.821,0 853.824,0 788.128 1.836.800 363.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.296.178.112 1.023 1.267.036,0 1.009.632,0 789.120 1.846.976 446.928,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.064.326.432 1.023 1.040.397,0 818.688,0 790.304 1.823.040 367.869,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.002.756.160 1.023 980.211,0 857.312,0 789.504 1.864.352 285.807,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.001.227.200 1.023 978.716,0 819.360,0 788.288 1.817.952 290.290,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.642.088.000 1.023 1.605.169,0 1.633.792,0 944.000 1.840.480 220.353,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.071.106.816 1.023 1.047.025,0 819.648,0 789.568 1.821.856 356.128,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.022.364.800 1.023 999.379,0 862.208,0 788.672 1.832.192 303.066,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 925.510.560 1.023 904.702,0 862.624,0 789.408 1.849.696 154.347,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.083.828.128 1.023 1.059.460,0 899.584,0 790.336 1.827.168 348.678,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.054.939.168 1.023 1.031.221,0 857.440,0 797.344 1.832.192 332.157,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.029.594.272 1.023 1.006.446,0 818.752,0 787.840 1.845.184 321.351,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 971.689.024 1.023 949.842,0 846.144,0 791.872 1.864.800 254.837,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.019.293.248 1.023 996.376,0 846.592,0 788.608 1.834.272 302.585,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.036.774.304 1.023 1.013.464,0 819.392,0 790.496 1.874.848 359.017,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.013.354.464 1.023 990.571,0 820.320,0 788.864 1.820.768 296.389,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.056.874.592 1.023 1.033.113,0 819.616,0 788.576 1.806.880 347.781,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.014.387.584 1.023 991.581,0 883.808,0 790.336 1.861.664 286.451,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.002.882.176 1.023 980.334,0 820.992,0 788.928 1.875.232 286.443,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 963.990.464 1.023 942.317,0 819.488,0 789.088 1.767.104 264.049,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.013.159.744 1.023 990.381,0 819.488,0 790.752 1.837.152 312.849,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 988.307.520 1.023 966.087,0 819.104,0 788.800 1.793.600 296.057,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 986.664.000 1.023 964.480,0 818.688,0 790.144 1.835.968 289.823,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.145.034.176 1.023 1.119.290,0 972.128,0 875.200 1.892.288 308.227,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.024.892.448 1.023 1.001.849,0 896.864,0 786.944 1.850.016 297.208,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.022.412.768 1.023 999.426,0 883.616,0 789.504 1.846.304 307.068,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 991.228.960 1.023 968.943,0 818.208,0 791.168 1.864.192 304.560,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.329.983.904 1.023 1.300.082,0 1.129.024,0 785.856 1.750.528 372.683,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.261.568.704 1.023 1.233.205,0 1.008.832,0 790.784 1.809.088 419.565,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
