0,0 17.120 2 8.560,0 8.560,0 7.072 10.048 2.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.040 10.112 2.172,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.664 2 8.832,0 8.832,0 7.744 9.920 1.538,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.072 10.016 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.904 2 9.952,0 9.952,0 9.792 10.112 226,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.104 10.048 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.072 10.080 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.104 10.016 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.712 2 9.856,0 9.856,0 9.728 9.984 181,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.072 10.080 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.104 10.016 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.864 2 4.432,0 4.432,0 3.616 5.248 1.154,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.184 2 8.592,0 8.592,0 7.040 10.144 2.194,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.056 2 8.528,0 8.528,0 6.976 10.080 2.194,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.576 2 6.288,0 6.288,0 5.280 7.296 1.425,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.072 10.048 2.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.216 2 8.608,0 8.608,0 7.040 10.176 2.217,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.960 2 8.480,0 8.480,0 6.976 9.984 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.216 2 8.608,0 8.608,0 7.136 10.080 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.184 2 8.592,0 8.592,0 7.072 10.112 2.149,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.344 2 8.672,0 8.672,0 7.072 10.272 2.262,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.280 2 8.640,0 8.640,0 7.104 10.176 2.172,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.184 2 8.592,0 8.592,0 7.296 9.888 1.832,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.176 2 9.088,0 9.088,0 7.008 11.168 2.941,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.072 10.080 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.280 2 8.640,0 8.640,0 7.072 10.208 2.217,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.024 2 8.512,0 8.512,0 7.072 9.952 2.036,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.192 2 8.096,0 8.096,0 5.792 10.400 3.258,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.024 2 8.512,0 8.512,0 7.040 9.984 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.112 2 9.056,0 9.056,0 8.160 9.952 1.267,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.928 2 8.464,0 8.464,0 7.008 9.920 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.040 10.048 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.872 2 9.936,0 9.936,0 9.792 10.080 203,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.344 2 8.672,0 8.672,0 7.168 10.176 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.696 2 8.848,0 8.848,0 7.072 10.624 2.511,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.248 2 8.624,0 8.624,0 7.104 10.144 2.149,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.888 2 8.944,0 8.944,0 7.808 10.080 1.606,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.136 10.016 2.036,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.440 2 8.720,0 8.720,0 7.072 10.368 2.330,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.152 2 8.576,0 8.576,0 7.072 10.080 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.072 10.016 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.072 10.048 2.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.080 2 9.040,0 9.040,0 7.744 10.336 1.832,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.056 2 8.528,0 8.528,0 7.072 9.984 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.080 2 7.040,0 7.040,0 5.120 8.960 2.715,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.600 2 8.800,0 8.800,0 7.392 10.208 1.991,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.024 2 8.512,0 8.512,0 7.072 9.952 2.036,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.240 2 9.120,0 9.120,0 8.288 9.952 1.176,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.280 2 8.640,0 8.640,0 7.040 10.240 2.262,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.768 2 6.384,0 6.384,0 4.704 8.064 2.375,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.864 2 10.432,0 10.432,0 10.304 10.560 181,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.056 2 8.528,0 8.528,0 7.104 9.952 2.013,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.984 2 8.992,0 8.992,0 7.968 10.016 1.448,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.104 9.984 2.036,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.888 2 8.944,0 8.944,0 7.552 10.336 1.968,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.024 2 8.512,0 8.512,0 7.040 9.984 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.040 10.048 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.280 2 8.640,0 8.640,0 7.168 10.112 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.872 2 9.936,0 9.936,0 9.824 10.048 158,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.656 2 9.328,0 9.328,0 7.424 11.232 2.692,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.184 2 8.592,0 8.592,0 7.104 10.080 2.104,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.312 2 8.656,0 8.656,0 7.136 10.176 2.149,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.000 2 10.000,0 10.000,0 9.920 10.080 113,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.040 10.048 2.127,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.864 2 8.432,0 8.432,0 6.912 9.952 2.149,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 16.928 2 8.464,0 8.464,0 7.008 9.920 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
