0,0 21.024 2 10.512,0 10.512,0 10.368 10.656 203,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.904 2 9.952,0 9.952,0 9.312 10.592 905,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.576 2 10.288,0 10.288,0 9.984 10.592 429,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.520 2 9.760,0 9.760,0 8.864 10.656 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.848 2 9.424,0 9.424,0 8.192 10.656 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.320 2 10.160,0 10.160,0 9.184 11.136 1.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.616 2 9.808,0 9.808,0 8.032 11.584 2.511,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.712 2 9.856,0 9.856,0 9.120 10.592 1.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.264 2 9.632,0 9.632,0 8.128 11.136 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.896 2 10.448,0 10.448,0 10.272 10.624 248,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.552 2 9.776,0 9.776,0 8.448 11.104 1.878,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 9.664 2 4.832,0 4.832,0 4.096 5.568 1.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.816 2 9.408,0 9.408,0 8.096 10.720 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.656 2 9.328,0 9.328,0 8.000 10.656 1.878,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.240 2 7.120,0 7.120,0 6.688 7.552 610,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.552 2 9.776,0 9.776,0 8.768 10.784 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.296 2 9.648,0 9.648,0 8.064 11.232 2.240,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.136 2 9.568,0 9.568,0 8.672 10.464 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.672 2 10.336,0 10.336,0 9.760 10.912 814,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.608 2 10.304,0 10.304,0 9.184 11.424 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.224 2 10.112,0 10.112,0 8.352 11.872 2.489,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.416 2 10.208,0 10.208,0 9.856 10.560 497,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.960 2 10.480,0 10.480,0 10.336 10.624 203,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.872 2 9.936,0 9.936,0 8.992 10.880 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.592 2 9.296,0 9.296,0 8.000 10.592 1.832,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.992 2 10.496,0 10.496,0 9.952 11.040 769,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.296 2 9.648,0 9.648,0 8.032 11.264 2.285,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.488 2 7.744,0 7.744,0 6.624 8.864 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.032 2 10.016,0 10.016,0 8.064 11.968 2.760,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 8.768 11.008 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.560 2 9.280,0 9.280,0 8.000 10.560 1.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.424 2 9.712,0 9.712,0 8.512 10.912 1.697,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.816 2 9.408,0 9.408,0 8.224 10.592 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.384 2 10.192,0 10.192,0 9.088 11.296 1.561,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.224 2 10.112,0 10.112,0 9.760 10.464 497,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.408 2 10.704,0 10.704,0 10.048 11.360 927,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.872 2 9.936,0 9.936,0 8.896 10.976 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.328 2 9.664,0 9.664,0 8.448 10.880 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.936 2 9.968,0 9.968,0 9.248 10.688 1.018,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.752 2 9.376,0 9.376,0 8.192 10.560 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.200 2 9.600,0 9.600,0 8.288 10.912 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.816 2 9.408,0 9.408,0 8.128 10.688 1.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.784 2 9.392,0 9.392,0 8.192 10.592 1.697,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.624 2 9.312,0 9.312,0 8.032 10.592 1.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.824 2 6.912,0 6.912,0 5.696 8.128 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.960 2 10.480,0 10.480,0 10.368 10.592 158,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.088 2 10.544,0 10.544,0 9.088 12.000 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.656 2 9.328,0 9.328,0 8.096 10.560 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.584 2 9.792,0 9.792,0 8.800 10.784 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.688 2 7.344,0 7.344,0 5.824 8.864 2.149,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.032 2 10.016,0 10.016,0 8.192 11.840 2.579,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.032 2 10.016,0 10.016,0 9.184 10.848 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.328 2 9.664,0 9.664,0 8.544 10.784 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.296 2 9.648,0 9.648,0 8.480 10.816 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.488 2 9.744,0 9.744,0 8.928 10.560 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.616 2 9.808,0 9.808,0 8.768 10.848 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.976 2 9.488,0 9.488,0 8.096 10.880 1.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.392 2 9.696,0 9.696,0 8.096 11.296 2.262,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.656 2 9.328,0 9.328,0 8.096 10.560 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.000 2 10.000,0 10.000,0 8.800 11.200 1.697,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.552 2 9.776,0 9.776,0 8.064 11.488 2.421,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.808 2 9.904,0 9.904,0 8.512 11.296 1.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.872 2 9.936,0 9.936,0 8.192 11.680 2.466,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.528 2 9.264,0 9.264,0 8.032 10.496 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.480 2 10.240,0 10.240,0 9.824 10.656 588,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.872 2 9.936,0 9.936,0 8.928 10.944 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.712 2 9.856,0 9.856,0 8.704 11.008 1.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.784 2 7.392,0 7.392,0 5.888 8.896 2.127,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.480 2 10.240,0 10.240,0 8.896 11.584 1.900,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.136 2 9.568,0 9.568,0 8.576 10.560 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 8.160 11.616 2.443,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.408 2 10.704,0 10.704,0 9.856 11.552 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.752 2 9.376,0 9.376,0 8.064 10.688 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 9.056 11.008 1.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.520 2 9.760,0 9.760,0 8.832 10.688 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.880 2 9.440,0 9.440,0 8.128 10.752 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.720 2 9.360,0 9.360,0 8.064 10.656 1.832,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.584 2 9.792,0 9.792,0 8.128 11.456 2.353,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.816 2 9.408,0 9.408,0 8.160 10.656 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.360 2 9.680,0 9.680,0 8.800 10.560 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.560 2 9.280,0 9.280,0 8.128 10.432 1.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.008 2 9.504,0 9.504,0 8.192 10.816 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.416 2 10.208,0 10.208,0 9.888 10.528 452,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.040 2 9.520,0 9.520,0 8.384 10.656 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.264 2 9.632,0 9.632,0 8.672 10.592 1.357,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.648 2 9.824,0 9.824,0 8.288 11.360 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.232 2 9.616,0 9.616,0 8.224 11.008 1.968,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.848 2 9.424,0 9.424,0 8.288 10.560 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 8.320 11.456 2.217,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.872 2 9.936,0 9.936,0 9.152 10.720 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.976 2 9.488,0 9.488,0 8.256 10.720 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.680 2 9.840,0 9.840,0 8.384 11.296 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.864 2 8.432,0 8.432,0 7.264 9.600 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.728 2 8.864,0 8.864,0 7.264 10.464 2.262,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 8.416 12.032 2.556,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 9.216 10.560 950,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.520 2 9.760,0 9.760,0 8.160 11.360 2.262,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.712 2 9.856,0 9.856,0 8.256 11.456 2.262,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.200 2 9.600,0 9.600,0 8.224 10.976 1.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.520 2 9.760,0 9.760,0 8.832 10.688 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.160 2 10.080,0 10.080,0 8.256 11.904 2.579,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.600 2 10.800,0 10.800,0 10.048 11.552 1.063,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.384 2 10.192,0 10.192,0 8.960 11.424 1.742,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.752 2 9.376,0 9.376,0 8.096 10.656 1.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.240 2 5.120,0 5.120,0 4.000 6.240 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.688 2 9.344,0 9.344,0 7.936 10.752 1.991,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.008 2 9.504,0 9.504,0 8.384 10.624 1.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.552 2 9.776,0 9.776,0 8.160 11.392 2.285,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.672 2 10.336,0 10.336,0 8.864 11.808 2.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.840 2 9.920,0 9.920,0 9.696 10.144 316,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 9.600 2 4.800,0 4.800,0 4.064 5.536 1.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 9.024 10.752 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.816 2 7.408,0 7.408,0 6.464 8.352 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.232 2 9.616,0 9.616,0 8.672 10.560 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.968 2 9.984,0 9.984,0 8.576 11.392 1.991,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.752 2 9.376,0 9.376,0 8.192 10.560 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.112 2 5.056,0 5.056,0 4.672 5.440 543,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.816 2 9.408,0 9.408,0 8.128 10.688 1.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.488 2 9.744,0 9.744,0 8.288 11.200 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.688 2 9.344,0 9.344,0 8.032 10.656 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.264 2 9.632,0 9.632,0 8.800 10.464 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.792 2 10.896,0 10.896,0 10.400 11.392 701,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.360 2 9.680,0 9.680,0 8.640 10.720 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.072 2 9.536,0 9.536,0 8.192 10.880 1.900,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
