2,0 82.496 2 41.248,0 41.248,0 36.032 46.464 7.376,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 47.104 2 23.552,0 23.552,0 18.944 28.160 6.516,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 44.928 2 22.464,0 22.464,0 17.760 27.168 6.652,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 45.312 2 22.656,0 22.656,0 18.592 26.720 5.747,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.736 2 22.368,0 22.368,0 18.080 26.656 6.064,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.856 2 22.928,0 22.928,0 18.432 27.424 6.358,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.928 2 22.464,0 22.464,0 18.080 26.848 6.199,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 47.680 2 23.840,0 23.840,0 19.904 27.776 5.566,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.416 2 22.208,0 22.208,0 17.952 26.464 6.018,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.888 2 22.944,0 22.944,0 18.368 27.520 6.471,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 72.768 2 36.384,0 36.384,0 33.312 39.456 4.344,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.504 2 22.752,0 22.752,0 18.848 26.656 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.800 2 22.400,0 22.400,0 18.208 26.592 5.928,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.344 2 22.672,0 22.672,0 18.432 26.912 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.776 2 39.888,0 39.888,0 36.224 43.552 5.181,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.536 2 22.768,0 22.768,0 18.848 26.688 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.280 2 22.640,0 22.640,0 18.752 26.528 5.498,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 80.288 2 40.144,0 40.144,0 35.808 44.480 6.132,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.632 2 22.816,0 22.816,0 17.984 27.648 6.833,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.144 2 23.072,0 23.072,0 18.144 28.000 6.969,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.432 2 23.216,0 23.216,0 18.560 27.872 6.584,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 72.640 2 36.320,0 36.320,0 33.024 39.616 4.661,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 83.296 2 41.648,0 41.648,0 37.216 46.080 6.267,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.664 2 22.832,0 22.832,0 18.080 27.584 6.720,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.600 2 22.800,0 22.800,0 18.560 27.040 5.996,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 80.544 2 40.272,0 40.272,0 37.344 43.200 4.140,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 78.688 2 39.344,0 39.344,0 35.520 43.168 5.408,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.536 2 22.768,0 22.768,0 18.560 26.976 5.951,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 82.656 2 41.328,0 41.328,0 36.224 46.432 7.218,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 47.136 2 23.568,0 23.568,0 19.296 27.840 6.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 47.104 2 23.552,0 23.552,0 18.624 28.480 6.969,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.376 2 22.688,0 22.688,0 17.888 27.488 6.788,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 46.240 2 23.120,0 23.120,0 18.720 27.520 6.222,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.152 2 22.576,0 22.576,0 18.080 27.072 6.358,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.920 2 22.960,0 22.960,0 18.592 27.328 6.177,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 80.064 2 40.032,0 40.032,0 37.408 42.656 3.710,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 55.744 2 27.872,0 27.872,0 22.976 32.768 6.924,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 45.824 2 22.912,0 22.912,0 18.912 26.912 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 52.928 2 26.464,0 26.464,0 22.592 30.336 5.475,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.456 2 39.728,0 39.728,0 36.480 42.976 4.593,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 52.832 2 26.416,0 26.416,0 20.736 32.096 8.032,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 44.480 2 22.240,0 22.240,0 17.856 26.624 6.199,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.264 2 39.632,0 39.632,0 36.416 42.848 4.548,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 79.296 2 39.648,0 39.648,0 35.968 43.328 5.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
