1,0 5.063.040 2 2.531.520,0 2.531.520,0 1.956.192 3.106.848 813.636,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.056.224 2 2.528.112,0 2.528.112,0 1.955.168 3.101.056 810.265,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.001.088 2 2.500.544,0 2.500.544,0 1.917.184 3.083.904 824.995,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.026.784 2 2.513.392,0 2.513.392,0 1.940.352 3.086.432 810.400,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.032.256 2 2.516.128,0 2.516.128,0 1.945.568 3.086.688 806.893,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.026.944 2 2.513.472,0 2.513.472,0 1.937.088 3.089.856 815.130,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.054.752 2 2.527.376,0 2.527.376,0 1.954.560 3.100.192 810.084,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.060.288 2 2.530.144,0 2.530.144,0 1.959.104 3.101.184 807.572,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.054.624 2 2.527.312,0 2.527.312,0 1.955.168 3.099.456 809.133,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.640.768 2 2.820.384,0 2.820.384,0 1.948.256 3.692.512 1.233.375,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 8.634.144 2 4.317.072,0 4.317.072,0 1.943.808 6.690.336 3.356.302,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.034.688 2 2.517.344,0 2.517.344,0 1.947.392 3.087.296 806.033,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.047.104 2 2.523.552,0 2.523.552,0 1.944.288 3.102.816 819.203,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.039.680 2 2.519.840,0 2.519.840,0 1.943.744 3.095.936 814.722,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.057.408 2 2.528.704,0 2.528.704,0 1.956.288 3.101.120 809.518,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.127.232 2 2.563.616,0 2.563.616,0 2.020.832 3.106.400 767.612,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.070.432 2 2.535.216,0 2.535.216,0 1.949.344 3.121.088 828.548,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
6,0 14.929.856 2 7.464.928,0 7.464.928,0 7.457.920 7.471.936 9.910,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.022.336 2 2.511.168,0 2.511.168,0 1.939.744 3.082.592 808.115,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.047.680 2 2.523.840,0 2.523.840,0 1.941.536 3.106.144 823.502,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 6.328.960 2 3.164.480,0 3.164.480,0 2.700.672 3.628.288 655.923,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.058.752 2 2.529.376,0 2.529.376,0 1.951.936 3.106.816 816.623,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.048.704 2 2.524.352,0 2.524.352,0 1.947.264 3.101.440 816.125,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
