     41,0      103.886.144        127     818.001,0     563.200,0       6.624    4.077.120     843.432,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0        7.883.776        127      62.077,0      57.664,0      37.376      114.912      19.776,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        4.215.712        128      32.935,0      32.768,0      32.256       39.040         893,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      133.084.320        127   1.047.908,0     792.928,0       8.544    3.169.536      932.814,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.819.552        127     116.689,0     109.216,0      69.984      206.208       38.068,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.137.696        128      63.575,0      63.616,0      62.304       71.616          962,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      131.995.776        127   1.039.336,0     733.152,0       9.472    3.195.648      935.596,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.801.792        127     116.549,0     107.360,0      70.912      206.880       38.150,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.122.976        128      63.460,0      63.408,0      62.336       72.000          990,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      133.072.800        127   1.047.817,0     788.704,0       8.448    3.202.944      935.353,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.819.680        127     116.690,0     109.312,0      70.240      206.208       38.214,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.142.752        128      63.615,0      63.584,0      62.240       71.712        1.061,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      133.879.328        127   1.054.167,0     800.224,0      11.136    3.187.488      928.107,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.891.776        127     117.258,0     108.096,0      71.040      206.528       37.606,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.213.888        128      64.171,0      64.208,0      63.424       72.256          845,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     40,0      128.055.328        127   1.008.309,0     739.840,0       6.144    3.167.296     943.180,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       13.326.048        127     104.929,0     106.848,0      43.776      206.176      49.321,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        6.904.064        128      53.938,0      62.672,0      39.104       71.712      11.090,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     40,0      132.630.976        127   1.044.338,0     789.760,0       7.680    3.241.536      939.799,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.738.944        127     116.054,0     108.224,0      69.248      206.656       38.845,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.107.712        128      63.341,0      63.584,0      61.856       72.160        1.162,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      133.691.040        127   1.052.685,0     801.664,0       8.480    3.169.504      929.674,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.843.168        127     116.875,0     108.608,0      70.368      207.968       37.837,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.151.008        128      63.679,0      63.808,0      62.368       71.808          966,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      131.846.592        127   1.038.162,0     738.336,0       9.280    3.146.880      934.347,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.804.064        127     116.567,0     107.136,0      70.432      205.504       38.265,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.120.576        128      63.442,0      63.344,0      62.240       71.744          967,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0      131.766.496        127   1.037.531,0     744.640,0       9.344    3.196.768      936.870,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.800.640        127     116.540,0     107.616,0      70.336      205.536       38.103,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.102.592        128      63.301,0      63.168,0      62.240       71.520        1.061,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      130.993.824        127   1.031.447,0     672.768,0       9.504    3.199.712      941.421,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.767.520        127     116.279,0     105.728,0      70.976      206.560       38.372,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.161.568        128      63.762,0      63.600,0      63.200       72.416          881,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      134.116.192        127   1.056.033,0     781.056,0      10.752    3.195.936      932.559,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.924.288        127     117.514,0     109.312,0      71.200      207.488       37.617,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.233.248        128      64.322,0      64.304,0      63.488       73.408          893,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0       71.143.040        127     560.181,0     418.880,0      5.280   1.706.144     492.229,0  CUDA_KERNEL  lud_internal(float *, int, int) 
