1,0 4.215.712 128 32.935,0 32.768,0 32.256 39.040 893,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.137.696 128 63.575,0 63.616,0 62.304 71.616 962,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.122.976 128 63.460,0 63.408,0 62.336 72.000 990,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.142.752 128 63.615,0 63.584,0 62.240 71.712 1.061,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.213.888 128 64.171,0 64.208,0 63.424 72.256 845,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.904.064 128 53.938,0 62.672,0 39.104 71.712 11.090,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.107.712 128 63.341,0 63.584,0 61.856 72.160 1.162,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.151.008 128 63.679,0 63.808,0 62.368 71.808 966,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.120.576 128 63.442,0 63.344,0 62.240 71.744 967,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.102.592 128 63.301,0 63.168,0 62.240 71.520 1.061,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.161.568 128 63.762,0 63.600,0 63.200 72.416 881,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.233.248 128 64.322,0 64.304,0 63.488 73.408 893,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.107.904 128 32.093,0 32.000,0 31.840 36.544 439,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 4.154.592 128 32.457,0 32.128,0 31.840 36.928 978,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.126.624 128 32.239,0 32.064,0 31.840 36.608 596,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.130.592 128 32.270,0 32.240,0 31.808 36.768 448,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.100.448 128 47.659,0 47.584,0 47.072 53.312 740,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.183.328 128 63.932,0 63.952,0 63.200 71.872 862,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.128.032 128 32.250,0 32.160,0 31.872 36.896 586,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.130.848 128 32.272,0 32.144,0 31.840 36.384 563,0 CUDA_KERNEL lud_diagonal(float *, int, int)
