41,0 103.886.144 127 818.001,0 563.200,0 6.624 4.077.120 843.432,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 133.084.320 127 1.047.908,0 792.928,0 8.544 3.169.536 932.814,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.995.776 127 1.039.336,0 733.152,0 9.472 3.195.648 935.596,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.072.800 127 1.047.817,0 788.704,0 8.448 3.202.944 935.353,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.879.328 127 1.054.167,0 800.224,0 11.136 3.187.488 928.107,0 CUDA_KERNEL lud_internal(float *, int, int)
40,0 128.055.328 127 1.008.309,0 739.840,0 6.144 3.167.296 943.180,0 CUDA_KERNEL lud_internal(float *, int, int)
40,0 132.630.976 127 1.044.338,0 789.760,0 7.680 3.241.536 939.799,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 133.691.040 127 1.052.685,0 801.664,0 8.480 3.169.504 929.674,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.846.592 127 1.038.162,0 738.336,0 9.280 3.146.880 934.347,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 131.766.496 127 1.037.531,0 744.640,0 9.344 3.196.768 936.870,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.993.824 127 1.031.447,0 672.768,0 9.504 3.199.712 941.421,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 134.116.192 127 1.056.033,0 781.056,0 10.752 3.195.936 932.559,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 71.143.040 127 560.181,0 418.880,0 5.280 1.706.144 492.229,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 86.953.888 127 684.676,0 417.536,0 5.600 3.867.392 787.928,0 CUDA_KERNEL lud_internal(float *, int, int)
40,0 75.722.048 127 596.236,0 428.160,0 5.472 3.506.912 605.189,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 71.516.096 127 563.118,0 425.568,0 5.440 1.695.808 493.968,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 99.328.768 127 782.116,0 532.576,0 6.752 5.129.792 844.758,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.777.024 127 1.029.740,0 779.136,0 9.408 3.192.288 932.790,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 71.179.840 127 560.471,0 417.888,0 5.472 1.688.192 492.969,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 75.004.768 127 590.588,0 423.424,0 5.440 3.923.904 606.395,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.666.496 127 1.028.870,0 669.952,0 9.568 3.196.576 938.226,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 97.141.216 127 764.891,0 557.952,0 6.784 3.501.920 707.738,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 75.211.328 127 592.215,0 417.952,0 5.312 3.099.072 587.731,0 CUDA_KERNEL lud_internal(float *, int, int)
