3,0 7.883.776 127 62.077,0 57.664,0 37.376 114.912 19.776,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.819.552 127 116.689,0 109.216,0 69.984 206.208 38.068,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.801.792 127 116.549,0 107.360,0 70.912 206.880 38.150,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.819.680 127 116.690,0 109.312,0 70.240 206.208 38.214,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.891.776 127 117.258,0 108.096,0 71.040 206.528 37.606,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.326.048 127 104.929,0 106.848,0 43.776 206.176 49.321,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.738.944 127 116.054,0 108.224,0 69.248 206.656 38.845,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.843.168 127 116.875,0 108.608,0 70.368 207.968 37.837,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.804.064 127 116.567,0 107.136,0 70.432 205.504 38.265,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.800.640 127 116.540,0 107.616,0 70.336 205.536 38.103,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.767.520 127 116.279,0 105.728,0 70.976 206.560 38.372,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.924.288 127 117.514,0 109.312,0 71.200 207.488 37.617,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.438.720 127 58.572,0 54.368,0 36.480 105.280 18.492,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 7.442.016 127 58.598,0 54.880,0 35.872 104.544 18.676,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.446.368 127 58.632,0 54.304,0 36.160 105.376 18.469,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.439.392 127 58.577,0 54.176,0 36.000 105.344 18.455,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.955.200 127 86.261,0 79.008,0 52.832 151.520 27.880,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.775.072 127 116.339,0 109.536,0 70.976 205.472 38.245,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.444.608 127 58.619,0 54.112,0 35.776 105.216 18.428,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 7.447.936 127 58.645,0 53.824,0 36.384 105.376 18.605,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.778.688 127 116.367,0 105.760,0 70.720 206.336 38.373,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.952.224 127 86.238,0 79.040,0 52.960 151.456 27.727,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 7.458.272 127 58.726,0 54.240,0 36.064 105.408 18.629,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.895.488 127 85.791,0 78.464,0 52.352 151.808 27.949,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.689.664 127 115.666,0 107.008,0 45.536 206.688 38.919,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.790.848 127 116.463,0 107.200,0 69.792 205.888 38.225,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.440.160 127 58.583,0 54.176,0 36.416 104.864 18.480,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.763.616 127 116.248,0 105.856,0 70.816 206.400 38.252,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.788.704 127 116.446,0 109.376,0 70.560 206.816 38.354,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 7.881.696 127 62.060,0 59.040,0 37.024 113.568 19.730,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.935.584 127 70.358,0 65.216,0 43.232 125.632 22.335,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.950.336 127 70.475,0 65.344,0 43.168 125.152 22.304,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.438.592 127 58.571,0 53.920,0 36.160 103.296 18.688,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.926.976 127 117.535,0 108.800,0 71.936 205.824 37.432,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 7.883.200 127 62.072,0 57.824,0 37.120 116.352 19.879,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.798.048 127 116.520,0 107.104,0 70.400 206.496 38.492,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.760.640 127 116.225,0 105.568,0 70.560 205.536 38.277,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.802.048 127 116.551,0 107.840,0 69.984 207.296 38.297,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.899.904 127 117.322,0 108.576,0 71.616 205.120 37.390,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.984.864 127 86.495,0 79.936,0 53.216 150.976 27.455,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.767.360 127 116.278,0 107.264,0 70.208 205.536 37.984,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.769.888 127 116.298,0 107.520,0 70.080 207.136 37.987,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.681.248 127 84.104,0 79.328,0 45.984 151.776 30.029,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.120.736 127 111.186,0 106.656,0 47.104 206.272 44.476,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.985.376 127 86.499,0 79.776,0 53.728 151.360 27.498,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.816.480 127 116.665,0 108.864,0 71.040 206.656 38.277,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.653.984 127 83.889,0 78.464,0 38.496 151.488 30.551,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.794.944 127 116.495,0 108.320,0 70.464 206.720 38.245,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.347.808 127 105.100,0 107.392,0 44.672 206.464 49.606,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.982.400 127 86.475,0 80.032,0 53.152 151.744 27.575,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 9.202.656 127 72.461,0 67.968,0 44.960 130.304 22.906,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.435.200 127 58.544,0 54.336,0 36.192 105.056 18.496,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.842.944 127 69.629,0 64.384,0 42.528 125.728 22.272,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.770.944 127 116.306,0 105.696,0 69.312 206.240 38.420,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.943.584 127 70.421,0 65.056,0 43.264 124.992 22.317,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 8.855.328 127 69.727,0 64.352,0 43.200 123.648 22.048,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.789.856 127 116.455,0 106.848,0 70.752 206.976 38.197,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.831.392 127 116.782,0 108.672,0 70.368 206.176 38.164,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.440.128 127 58.583,0 54.400,0 36.224 104.672 18.404,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.778.624 127 116.367,0 105.792,0 70.848 208.000 38.478,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.984.864 127 86.495,0 79.872,0 53.632 151.264 27.518,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 9.209.152 127 72.513,0 67.648,0 44.992 129.984 22.920,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.820.000 127 116.692,0 107.360,0 70.432 206.144 38.117,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.804.032 127 116.567,0 107.296,0 70.464 206.176 38.154,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.911.232 127 117.411,0 108.672,0 72.128 206.624 37.537,0 CUDA_KERNEL lud_perimeter(float *, int, int)
