      7,0          257.600          4     64.400,0     62.928,0     61.952     69.792      3.624,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.040          3     71.680,0     70.144,0     70.144     74.752      2.660,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.176          3     10.058,0      9.344,0      8.928     11.904      1.611,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      6,0          141.856          4   35.464,0   33.872,0    33.696    40.416      3.302,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      5,0          118.752          3   39.584,0   38.656,0    38.176    41.920      2.037,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           22.880          3    7.626,0    7.712,0     6.432     8.736      1.154,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          139.072          4     34.768,0     33.168,0     33.056     39.680      3.275,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.536          3     39.178,0     38.496,0     37.120     41.920      2.471,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.616          3      7.872,0      8.192,0      5.920      9.504      1.813,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          143.488          4     35.872,0     33.696,0     33.504     42.592      4.481,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          121.728          3     40.576,0     39.520,0     38.304     43.904      2.945,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           26.336          3      8.778,0      9.024,0      7.232     10.080      1.439,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          139.008          4     34.752,0     33.216,0     32.608     39.968      3.489,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.856          3     39.285,0     38.560,0     37.120     42.176      2.604,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.160          3      8.053,0      7.968,0      6.560      9.632      1.537,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      6,0          133.216          4   33.304,0   32.128,0    31.840    37.120      2.554,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      5,0          112.480          3   37.493,0   36.480,0    36.192    39.808      2.009,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           19.040          3    6.346,0    6.272,0     5.504     7.264        882,0  CUDA_KERNEL  lud_internal(float *, int, int) 
