      8,0          287.840         10     28.784,0     10.384,0      6.624    145.760     43.167,0  CUDA_API     cudaLaunchKernel                
      7,0          170.336         10   17.033,0    8.352,0     5.984    78.208     22.085,0  CUDA_API     cudaLaunchKernel                
      8,0          227.232         10     22.723,0      8.896,0      6.432    117.440     34.714,0  CUDA_API     cudaLaunchKernel                
      9,0          275.232         10     27.523,0      9.680,0      6.944    168.864     50.175,0  CUDA_API     cudaLaunchKernel                
      7,0          210.304         10     21.030,0      8.656,0      6.368    110.336     32.078,0  CUDA_API     cudaLaunchKernel                
      7,0          159.840         10   15.984,0    7.520,0     6.016    69.920     19.783,0  CUDA_API     cudaLaunchKernel                
      6,0          215.232         10     21.523,0      7.232,0      5.888    117.728     35.068,0  CUDA_API     cudaLaunchKernel                
      7,0          163.680         10   16.368,0    8.096,0     6.080    73.344     20.724,0  CUDA_API     cudaLaunchKernel                
      7,0          164.480         10   16.448,0    8.208,0     6.080    74.560     21.110,0  CUDA_API     cudaLaunchKernel                
      8,0          215.104         10     21.510,0      8.240,0      6.368    114.976     33.553,0  CUDA_API     cudaLaunchKernel                
      7,0          207.360         10     20.736,0      9.456,0      6.240    108.800     31.538,0  CUDA_API     cudaLaunchKernel                
      9,0          291.040         10     29.104,0      9.472,0      6.784    130.624     39.517,0  CUDA_API     cudaLaunchKernel                
      7,0          172.000         10   17.200,0    8.688,0     5.920    84.928     24.353,0  CUDA_API     cudaLaunchKernel                
      7,0          158.304         10   15.830,0    7.248,0     5.728    66.624     19.638,0  CUDA_API     cudaLaunchKernel                
      9,0          199.392         10     19.939,0      8.640,0      6.624    102.272     29.540,0  CUDA_API     cudaLaunchKernel                
      6,0          161.376         10   16.137,0    8.496,0     6.112    74.240     20.991,0  CUDA_API     cudaLaunchKernel                
      6,0          168.224         10   16.822,0    7.808,0     5.984    77.920     22.222,0  CUDA_API     cudaLaunchKernel                
      8,0          234.624         10     23.462,0      8.256,0      6.176    127.008     37.369,0  CUDA_API     cudaLaunchKernel                
      7,0          222.176         10     22.217,0      7.584,0      6.272    123.648     36.853,0  CUDA_API     cudaLaunchKernel                
      8,0          244.224         10     24.422,0      8.704,0      6.432    122.336     36.143,0  CUDA_API     cudaLaunchKernel                
      8,0          298.368         10     29.836,0      8.224,0      6.240    170.272     50.892,0  CUDA_API     cudaLaunchKernel                
      8,0          228.000         10     22.800,0      9.376,0      7.392    117.440     34.133,0  CUDA_API     cudaLaunchKernel                
      7,0          223.456         10     22.345,0      7.776,0      6.208    117.920     35.336,0  CUDA_API     cudaLaunchKernel                
      7,0          211.168         10     21.116,0      8.272,0      6.560    111.936     32.966,0  CUDA_API     cudaLaunchKernel                
      7,0          211.264         10     21.126,0      9.520,0      6.272    109.344     31.716,0  CUDA_API     cudaLaunchKernel                
      6,0          222.560         10     22.256,0     10.400,0      6.912    116.128     33.575,0  CUDA_API     cudaLaunchKernel                
      9,0          257.952         10     25.795,0      8.688,0      6.048    125.792     37.736,0  CUDA_API     cudaLaunchKernel                
      7,0          243.552         10     24.355,0      9.600,0      6.592    121.824     35.634,0  CUDA_API     cudaLaunchKernel                
      8,0          257.536         10     25.753,0      9.104,0      5.792    125.120     37.622,0  CUDA_API     cudaLaunchKernel                
      7,0          206.880         10     20.688,0      8.752,0      6.272    108.096     31.391,0  CUDA_API     cudaLaunchKernel                
      6,0          220.288         10     22.028,0      8.656,0      6.240    111.904     32.644,0  CUDA_API     cudaLaunchKernel                
      8,0          261.184         10     26.118,0      8.272,0      6.336    137.696     40.777,0  CUDA_API     cudaLaunchKernel                
      8,0          217.696         10     21.769,0      8.448,0      5.824    124.480     36.649,0  CUDA_API     cudaLaunchKernel                
      6,0          227.872         10     22.787,0      8.704,0      6.784    124.736     36.535,0  CUDA_API     cudaLaunchKernel                
      7,0          275.584         10     27.558,0      9.968,0      6.016    159.552     47.248,0  CUDA_API     cudaLaunchKernel                
      7,0          225.216         10     22.521,0      7.888,0      5.856    120.224     35.355,0  CUDA_API     cudaLaunchKernel                
      6,0          207.232         10     20.723,0      8.496,0      6.176    102.944     29.774,0  CUDA_API     cudaLaunchKernel                
      9,0          294.464         10     29.446,0      9.648,0      6.368    131.136     40.147,0  CUDA_API     cudaLaunchKernel                
      7,0          259.680         10     25.968,0      8.912,0      5.728    137.984     40.714,0  CUDA_API     cudaLaunchKernel                
      7,0          204.416         10     20.441,0      7.472,0      6.080    105.888     30.899,0  CUDA_API     cudaLaunchKernel                
      7,0          206.752         10     20.675,0      8.192,0      6.272    108.416     32.001,0  CUDA_API     cudaLaunchKernel                
      9,0          290.496         10     29.049,0      9.728,0      7.392    131.808     40.030,0  CUDA_API     cudaLaunchKernel                
     10,0          297.376         10     29.737,0     10.480,0      6.720    166.816     49.350,0  CUDA_API     cudaLaunchKernel                
      6,0          214.240         10     21.424,0      8.048,0      6.144    113.984     33.673,0  CUDA_API     cudaLaunchKernel                
      7,0          207.328         10     20.732,0      8.000,0      6.048    111.456     32.882,0  CUDA_API     cudaLaunchKernel                
      6,0          204.352         10     20.435,0      9.120,0      5.920    108.416     31.499,0  CUDA_API     cudaLaunchKernel                
      6,0          204.480         10     20.448,0      8.896,0      6.400    105.216     30.542,0  CUDA_API     cudaLaunchKernel                
      8,0          246.336         10     24.633,0      8.608,0      6.368    125.568     36.975,0  CUDA_API     cudaLaunchKernel                
      9,0          267.264         10     26.726,0      9.424,0      7.072    126.016     37.455,0  CUDA_API     cudaLaunchKernel                
      7,0          201.152         10     20.115,0      7.200,0      5.824    107.936     31.959,0  CUDA_API     cudaLaunchKernel                
      7,0          256.512         10     25.651,0     10.368,0      6.208    124.512     36.918,0  CUDA_API     cudaLaunchKernel                
      9,0          279.488         10     27.948,0      8.272,0      6.528    164.544     49.007,0  CUDA_API     cudaLaunchKernel                
      7,0          258.528         10     25.852,0      8.064,0      6.208    150.880     44.711,0  CUDA_API     cudaLaunchKernel                
      8,0          216.032         10     21.603,0      9.328,0      6.720    111.328     32.230,0  CUDA_API     cudaLaunchKernel                
      7,0          209.696         10     20.969,0      9.632,0      6.112    110.112     31.942,0  CUDA_API     cudaLaunchKernel                
      8,0          216.960         10     21.696,0      8.688,0      6.752    115.328     33.531,0  CUDA_API     cudaLaunchKernel                
      7,0          223.968         10     22.396,0      8.640,0      6.112    123.104     36.065,0  CUDA_API     cudaLaunchKernel                
      6,0          209.248         10     20.924,0      9.536,0      7.008    105.120     30.234,0  CUDA_API     cudaLaunchKernel                
     10,0          282.208         10     28.220,0      9.712,0      6.240    121.536     37.690,0  CUDA_API     cudaLaunchKernel                
      9,0          284.192         10     28.419,0      9.184,0      6.336    129.920     39.490,0  CUDA_API     cudaLaunchKernel                
      7,0          228.128         10     22.812,0     10.304,0      7.232    117.184     33.923,0  CUDA_API     cudaLaunchKernel                
      7,0          244.256         10     24.425,0      8.432,0      6.912    128.704     38.440,0  CUDA_API     cudaLaunchKernel                
      9,0          279.520         10     27.952,0     10.288,0      6.752    150.368     44.270,0  CUDA_API     cudaLaunchKernel                
      9,0          298.048         10     29.804,0      9.168,0      6.176    134.336     41.969,0  CUDA_API     cudaLaunchKernel                
      7,0          212.512         10     21.251,0      8.992,0      6.528    108.640     31.459,0  CUDA_API     cudaLaunchKernel                
      7,0          223.296         10     22.329,0     10.064,0      6.368    115.552     33.505,0  CUDA_API     cudaLaunchKernel                
      8,0          249.440         10     24.944,0      7.936,0      6.656    132.896     40.485,0  CUDA_API     cudaLaunchKernel                
      8,0          226.560         10     22.656,0      7.552,0      6.240    123.328     37.003,0  CUDA_API     cudaLaunchKernel                
      8,0          233.376         10     23.337,0      8.480,0      6.176    125.728     36.918,0  CUDA_API     cudaLaunchKernel                
      7,0          211.488         10     21.148,0      7.232,0      6.016    110.176     32.955,0  CUDA_API     cudaLaunchKernel                
      7,0          212.768         10     21.276,0      9.760,0      7.008    104.352     30.177,0  CUDA_API     cudaLaunchKernel                
      7,0          200.704         10     20.070,0      7.280,0      6.304    105.152     31.173,0  CUDA_API     cudaLaunchKernel                
      7,0          212.128         10     21.212,0      7.744,0      6.368    119.712     35.203,0  CUDA_API     cudaLaunchKernel                
      8,0          212.928         10     21.292,0      9.232,0      6.112    111.968     32.605,0  CUDA_API     cudaLaunchKernel                
      7,0          233.152         10     23.315,0      8.944,0      6.208    125.728     36.815,0  CUDA_API     cudaLaunchKernel                
      6,0          213.120         10     21.312,0      7.680,0      6.240    111.808     33.165,0  CUDA_API     cudaLaunchKernel                
      9,0          273.632         10     27.363,0      8.736,0      6.528    155.680     46.160,0  CUDA_API     cudaLaunchKernel                
      7,0          211.584         10     21.158,0      8.480,0      6.592    109.088     32.145,0  CUDA_API     cudaLaunchKernel                
      7,0          230.400         10     23.040,0      8.576,0      6.528    116.352     33.983,0  CUDA_API     cudaLaunchKernel                
      8,0          272.480         10     27.248,0      8.592,0      6.144    159.520     47.319,0  CUDA_API     cudaLaunchKernel                
     10,0          287.520         10     28.752,0     11.056,0      6.528    141.536     42.265,0  CUDA_API     cudaLaunchKernel                
      7,0          210.368         10     21.036,0      9.616,0      6.304    105.792     30.512,0  CUDA_API     cudaLaunchKernel                
      7,0          205.216         10     20.521,0      7.536,0      6.272    113.504     33.413,0  CUDA_API     cudaLaunchKernel                
     10,0          355.136         10     35.513,0     13.424,0      6.944    152.288     45.822,0  CUDA_API     cudaLaunchKernel                
      7,0          244.160         10     24.416,0      9.072,0      6.464    125.376     37.902,0  CUDA_API     cudaLaunchKernel                
      8,0          296.352         10     29.635,0     10.224,0      6.688    153.408     45.633,0  CUDA_API     cudaLaunchKernel                
      7,0          235.136         10     23.513,0      9.648,0      6.144    120.736     35.237,0  CUDA_API     cudaLaunchKernel                
      9,0          243.200         10     24.320,0      9.840,0      6.528    123.488     35.802,0  CUDA_API     cudaLaunchKernel                
      9,0          261.376         10     26.137,0      8.544,0      6.816    139.168     41.111,0  CUDA_API     cudaLaunchKernel                
