7,0 257.600 4 64.400,0 62.928,0 61.952 69.792 3.624,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 141.856 4 35.464,0 33.872,0 33.696 40.416 3.302,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.072 4 34.768,0 33.168,0 33.056 39.680 3.275,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 143.488 4 35.872,0 33.696,0 33.504 42.592 4.481,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.008 4 34.752,0 33.216,0 32.608 39.968 3.489,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 133.216 4 33.304,0 32.128,0 31.840 37.120 2.554,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 259.648 4 64.912,0 62.944,0 62.560 71.200 4.196,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 134.784 4 33.696,0 32.496,0 32.224 37.568 2.594,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 133.920 4 33.480,0 32.352,0 31.904 37.312 2.566,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.352 4 35.088,0 33.328,0 32.928 40.768 3.791,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.072 4 34.768,0 33.168,0 32.480 40.256 3.674,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 149.248 4 37.312,0 35.248,0 34.432 44.320 4.697,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 144.992 4 36.248,0 34.672,0 34.528 41.120 3.248,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 158.336 4 39.584,0 38.080,0 38.016 44.160 3.050,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 133.920 4 33.480,0 32.352,0 31.872 37.344 2.588,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 194.144 4 48.536,0 47.264,0 46.848 52.768 2.828,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 145.184 4 36.296,0 34.880,0 34.624 40.800 3.010,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.720 4 36.680,0 34.416,0 34.208 43.680 4.667,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.776 4 36.944,0 35.136,0 34.400 43.104 4.128,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.400 4 36.600,0 34.592,0 34.272 42.944 4.238,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.672 4 64.168,0 62.272,0 62.080 70.048 3.924,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.048 4 34.512,0 32.608,0 32.352 40.480 3.981,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 145.312 4 36.328,0 34.320,0 33.952 42.720 4.268,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.816 4 36.704,0 34.544,0 34.304 43.424 4.481,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.744 4 36.936,0 34.816,0 34.368 43.744 4.552,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 264.864 4 66.216,0 64.272,0 63.488 72.832 4.429,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.560 4 34.640,0 33.280,0 32.640 39.360 3.162,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.792 4 64.448,0 62.496,0 62.304 70.496 4.036,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 147.648 4 36.912,0 34.704,0 34.304 43.936 4.693,0 CUDA_KERNEL lud_diagonal(float *, int, int)
