0,0 30.176 3 10.058,0 9.344,0 8.928 11.904 1.611,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 22.880 3 7.626,0 7.712,0 6.432 8.736 1.154,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.616 3 7.872,0 8.192,0 5.920 9.504 1.813,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 26.336 3 8.778,0 9.024,0 7.232 10.080 1.439,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.160 3 8.053,0 7.968,0 6.560 9.632 1.537,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 19.040 3 6.346,0 6.272,0 5.504 7.264 882,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 32.032 3 10.677,0 10.560,0 9.248 12.224 1.491,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 19.392 3 6.464,0 6.432,0 5.632 7.328 848,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 19.712 3 6.570,0 6.368,0 5.344 8.000 1.339,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.768 3 8.256,0 8.768,0 6.752 9.248 1.324,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.448 3 8.149,0 7.808,0 6.752 9.888 1.595,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.568 3 9.856,0 9.824,0 8.128 11.616 1.744,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 22.432 3 7.477,0 7.328,0 6.304 8.800 1.254,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 22.016 3 7.338,0 7.264,0 6.272 8.480 1.105,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 19.104 3 6.368,0 6.176,0 5.408 7.520 1.069,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.336 3 7.445,0 7.424,0 6.464 8.448 992,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 25.376 3 8.458,0 8.448,0 7.264 9.664 1.200,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.248 3 9.749,0 9.696,0 8.256 11.296 1.520,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.376 3 9.792,0 9.792,0 8.192 11.392 1.600,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.440 3 9.813,0 9.632,0 8.384 11.424 1.528,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.616 3 10.538,0 10.336,0 9.056 12.224 1.593,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.424 3 7.808,0 7.648,0 6.528 9.248 1.367,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.568 3 9.856,0 9.760,0 8.064 11.744 1.841,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.832 3 9.610,0 9.472,0 7.904 11.456 1.780,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.472 3 9.824,0 9.440,0 8.160 11.872 1.885,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 36.544 3 12.181,0 11.136,0 11.072 14.336 1.866,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.192 3 8.064,0 8.128,0 6.720 9.344 1.313,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.040 3 10.346,0 10.240,0 9.024 11.776 1.379,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.504,0 8.064 11.744 1.854,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.360 3 7.786,0 7.936,0 6.720 8.704 1.000,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.808 3 10.602,0 10.464,0 9.152 12.192 1.524,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.344 3 9.781,0 9.696,0 8.032 11.616 1.793,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.224 3 8.074,0 8.032,0 6.400 9.792 1.696,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.144 3 10.048,0 9.184,0 8.896 12.064 1.751,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 35.424 3 11.808,0 11.136,0 9.856 14.432 2.360,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.408 3 9.802,0 9.920,0 7.936 11.552 1.810,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.368 3 10.122,0 10.432,0 8.064 11.872 1.922,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.056 3 9.685,0 9.504,0 8.064 11.488 1.719,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 35.968 3 11.989,0 12.480,0 9.952 13.536 1.841,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.160 3 8.053,0 7.872,0 6.720 9.568 1.432,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.032 3 8.010,0 8.000,0 6.752 9.280 1.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.280 3 9.760,0 9.632,0 7.872 11.776 1.955,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.360 3 7.786,0 7.840,0 6.560 8.960 1.200,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.920 3 9.973,0 9.184,0 9.088 11.648 1.451,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.792 3 9.930,0 10.176,0 7.936 11.680 1.884,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.232 3 10.410,0 10.112,0 9.184 11.936 1.400,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.200 3 10.400,0 10.400,0 9.152 11.648 1.248,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.472 3 9.824,0 9.632,0 8.160 11.680 1.767,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.040 3 7.680,0 7.808,0 5.824 9.408 1.795,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.000 3 8.000,0 7.808,0 6.752 9.440 1.354,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.696 3 9.898,0 9.248,0 8.800 11.648 1.531,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.128 3 8.042,0 7.968,0 6.752 9.408 1.329,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.688 3 10.229,0 9.344,0 9.216 12.128 1.645,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 25.152 3 8.384,0 7.712,0 6.880 10.560 1.929,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.976 3 10.325,0 11.168,0 8.192 11.616 1.861,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.544 3 8.181,0 7.936,0 6.368 10.240 1.947,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.320 3 8.106,0 8.000,0 6.784 9.536 1.379,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.912 3 10.304,0 10.336,0 8.288 12.288 2.000,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.296 3 7.765,0 7.744,0 6.560 8.992 1.216,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.840 3 7.946,0 8.128,0 6.624 9.088 1.242,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.624 3 10.208,0 10.528,0 8.160 11.936 1.908,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.904 3 10.634,0 10.528,0 9.184 12.192 1.506,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.440,0 8.064 11.808 1.893,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.928 3 9.642,0 9.632,0 7.936 11.360 1.712,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 7.840,0 6.848 9.408 1.290,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.152 3 9.717,0 9.568,0 8.032 11.552 1.764,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.832 3 9.610,0 9.504,0 7.936 11.392 1.730,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.128 3 8.042,0 7.936,0 6.656 9.536 1.443,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 7.968,0 6.848 9.280 1.217,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.960 3 8.320,0 7.936,0 6.624 10.400 1.917,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.840 3 7.946,0 7.872,0 6.752 9.216 1.233,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.128 3 8.042,0 7.968,0 6.720 9.440 1.361,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.984 3 9.994,0 10.240,0 7.968 11.776 1.915,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.480 3 8.160,0 8.000,0 6.848 9.632 1.398,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 9.600,0 8.224 11.360 1.571,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.688 3 10.229,0 10.400,0 8.064 12.224 2.085,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.032 3 8.010,0 7.680,0 6.880 9.472 1.327,0 CUDA_KERNEL lud_internal(float *, int, int)
