0,0 10.314.720 1.023 10.082,0 8.928,0 4.896 28.928 3.908,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.542.592 1.023 8.350,0 8.064,0 4.896 54.016 2.848,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.055.488 1.023 8.851,0 7.360,0 4.192 27.648 3.919,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.815.936 1.023 11.550,0 12.704,0 4.384 30.528 3.626,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.608.864 1.023 7.437,0 7.104,0 4.128 34.912 2.762,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.051.104 1.023 7.870,0 7.136,0 4.160 30.176 3.143,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.288.096 1.023 9.079,0 8.448,0 4.896 29.696 3.186,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.167.200 1.023 8.961,0 9.504,0 4.160 32.416 2.870,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.823.648 1.023 7.647,0 7.168,0 4.192 35.232 2.726,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.726.816 1.023 10.485,0 11.232,0 4.160 26.752 4.460,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.311.136 1.023 9.101,0 8.448,0 4.192 27.104 3.732,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.555.072 1.023 8.362,0 8.544,0 4.192 30.720 2.783,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.900.192 1.023 8.700,0 8.480,0 4.160 27.168 3.121,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.490.240 1.023 8.299,0 7.680,0 4.192 28.704 3.325,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.671.296 1.023 12.386,0 12.576,0 6.976 30.112 2.455,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.925.280 1.023 7.747,0 7.104,0 4.160 33.120 2.776,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.727.328 1.023 9.508,0 9.568,0 4.192 27.968 3.524,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.007.744 1.023 8.805,0 7.936,0 4.160 29.888 3.838,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.364.704 1.023 8.176,0 7.136,0 4.192 26.304 3.391,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.130.976 1.023 7.948,0 7.072,0 4.160 26.336 3.118,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.961.536 1.023 7.782,0 7.136,0 4.160 25.728 2.732,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.466.112 1.023 7.298,0 7.104,0 4.160 36.256 2.584,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.823.040 1.023 8.624,0 8.192,0 4.896 29.344 2.813,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.144.064 1.023 7.961,0 7.168,0 4.128 26.400 3.132,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.782.144 1.023 9.562,0 8.928,0 4.128 25.504 4.165,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.897.984 1.023 12.608,0 12.800,0 7.584 30.368 2.458,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.177.760 1.023 7.993,0 7.232,0 4.160 25.888 2.875,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.779.360 1.023 12.492,0 12.576,0 7.680 27.360 2.295,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.885.600 1.023 7.708,0 7.136,0 4.096 33.664 2.831,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.290.272 1.023 11.036,0 11.360,0 6.560 27.424 2.389,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.083.968 1.023 7.902,0 7.200,0 4.224 30.368 2.944,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.558.912 1.023 8.366,0 7.200,0 4.128 29.728 3.546,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.881.664 1.023 12.592,0 12.864,0 7.520 30.240 2.400,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.455.936 1.023 8.265,0 7.392,0 4.224 33.984 3.147,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.118.976 1.023 7.936,0 7.104,0 4.160 32.096 3.315,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.389.056 1.023 13.088,0 13.920,0 8.128 36.640 2.451,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.323.360 1.023 9.113,0 8.000,0 4.896 30.048 3.325,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.853.792 1.023 7.677,0 7.136,0 4.160 25.760 2.735,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.716.416 1.023 7.542,0 7.136,0 4.128 35.552 2.737,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.973.536 1.023 7.794,0 7.136,0 4.160 26.016 3.030,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.025.248 1.023 7.844,0 7.200,0 4.192 29.280 3.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.682.304 1.023 8.487,0 7.776,0 4.160 29.344 3.477,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.480.128 1.023 9.267,0 8.256,0 4.960 26.112 3.084,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.809.344 1.023 7.633,0 7.200,0 4.128 33.472 2.738,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.656.736 1.023 7.484,0 7.104,0 4.160 36.864 2.803,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.509.888 1.023 9.296,0 8.608,0 4.160 31.296 3.619,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.899.552 1.023 7.721,0 7.136,0 4.192 26.752 2.796,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.568.160 1.023 8.375,0 7.872,0 4.160 27.744 3.370,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.923.136 1.023 11.655,0 12.320,0 4.480 30.400 3.457,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.438.752 1.023 12.159,0 12.032,0 7.104 30.688 2.525,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.001.952 1.023 7.822,0 7.136,0 4.160 25.984 2.990,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.995.424 1.023 7.815,0 7.168,0 4.224 33.504 2.945,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.392.736 1.023 9.181,0 7.904,0 4.128 30.336 4.121,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.857.088 1.023 8.658,0 8.416,0 4.960 36.160 2.995,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.621.024 1.023 10.382,0 10.176,0 4.160 29.408 4.251,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.951.168 1.023 7.772,0 7.136,0 4.160 26.400 2.877,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.165.184 1.023 7.981,0 7.456,0 4.160 35.712 3.123,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.338.816 1.023 8.151,0 7.168,0 4.128 29.664 3.315,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.772.864 1.023 7.598,0 7.136,0 4.160 34.592 3.001,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.524.352 1.023 7.355,0 7.104,0 4.160 37.024 2.674,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.231.552 1.023 8.046,0 7.200,0 4.160 30.592 3.177,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.951.136 1.023 9.727,0 8.448,0 4.160 33.408 4.573,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.792.480 1.023 8.594,0 7.328,0 4.192 26.976 3.679,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.218.560 1.023 9.011,0 7.232,0 4.160 31.808 4.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.269.088 1.023 11.993,0 12.960,0 4.992 31.040 3.449,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.399.040 1.023 11.142,0 12.512,0 4.160 29.376 4.063,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.428.320 1.023 8.238,0 7.200,0 4.192 33.312 3.579,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.537.696 1.023 7.368,0 7.584,0 4.128 26.176 1.453,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.078.304 1.023 7.896,0 7.232,0 4.160 30.976 3.008,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.770.464 1.023 8.573,0 8.416,0 4.160 26.784 3.495,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.439.520 1.023 8.249,0 7.232,0 4.256 36.640 3.330,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.632.864 1.023 9.416,0 8.032,0 4.160 33.120 4.278,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.105.696 1.023 7.923,0 7.104,0 4.192 25.632 2.976,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.092.960 1.023 7.911,0 7.168,0 4.160 26.336 2.854,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.067.200 1.023 7.885,0 7.296,0 4.192 27.328 3.037,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.219.232 1.023 9.012,0 7.232,0 4.192 31.680 4.103,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.504.896 1.023 12.223,0 12.224,0 7.104 29.920 2.651,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.261.536 1.023 8.075,0 7.232,0 4.160 36.288 3.329,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.740.832 1.023 9.521,0 8.288,0 4.896 29.312 3.638,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.063.392 1.023 7.882,0 7.104,0 4.192 29.920 3.183,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.858.912 1.023 7.682,0 7.392,0 5.760 28.896 1.374,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.952.096 1.023 8.750,0 8.320,0 4.224 26.592 3.053,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.802.624 1.023 8.604,0 7.744,0 4.128 29.152 3.699,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.237.792 1.023 8.052,0 7.104,0 4.192 33.984 3.251,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.513.728 1.023 12.232,0 12.192,0 7.264 25.536 2.595,0 CUDA_KERNEL Fan1(float *, float *, int, int)
