44,0 1.396.648.928 1.023 1.365.248,0 1.208.352,0 945.728 2.212.736 410.552,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.179.599.872 1.023 1.153.079,0 1.055.488,0 940.000 2.228.864 290.893,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.196.157.408 1.023 1.169.264,0 890.880,0 784.320 2.109.696 453.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.612.191.488 1.023 1.575.944,0 1.689.632,0 840.608 2.231.840 383.525,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.050.081.088 1.023 1.026.472,0 882.912,0 781.952 2.346.080 379.989,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.099.333.792 1.023 1.074.617,0 878.944,0 782.432 2.221.568 369.897,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.273.202.560 1.023 1.244.577,0 1.054.848,0 946.752 2.208.544 371.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.261.950.688 1.023 1.233.578,0 1.266.784,0 778.368 2.314.784 343.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.070.316.640 1.023 1.046.252,0 879.872,0 782.080 2.339.808 354.231,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.430.404.256 1.023 1.398.244,0 1.469.984,0 781.632 2.065.600 479.077,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.254.203.424 1.023 1.226.005,0 1.042.080,0 783.808 2.084.416 439.063,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 1.144.417.216 1.023 1.118.687,0 1.056.608,0 780.800 2.222.464 322.032,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.230.363.520 1.023 1.202.701,0 1.071.808,0 791.776 2.074.144 354.246,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.142.582.048 1.023 1.116.893,0 890.400,0 781.856 2.212.384 405.753,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.749.759.104 1.023 1.710.419,0 1.680.096,0 1.061.152 2.222.464 200.791,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.071.423.872 1.023 1.047.335,0 880.128,0 783.904 2.249.632 353.151,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.300.195.520 1.023 1.270.963,0 1.243.744,0 781.888 2.085.312 394.049,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
