0,0 26.208 2 13.104,0 13.104,0 8.768 17.440 6.132,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.512 2 10.256,0 10.256,0 6.368 14.144 5.498,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.400 2 13.200,0 13.200,0 8.320 18.080 6.901,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.832 2 12.416,0 12.416,0 8.224 16.608 5.928,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.176 2 13.088,0 13.088,0 8.192 17.984 6.924,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.792 2 12.896,0 12.896,0 8.192 17.600 6.652,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.856 2 12.928,0 12.928,0 8.352 17.504 6.471,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.296 2 13.648,0 13.648,0 9.056 18.240 6.494,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.320 2 10.160,0 10.160,0 6.176 14.144 5.634,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.376 2 12.688,0 12.688,0 8.640 16.736 5.724,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.472 2 8.736,0 8.736,0 5.024 12.448 5.249,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 22.080 2 11.040,0 11.040,0 6.336 15.744 6.652,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.344 2 12.672,0 12.672,0 8.896 16.448 5.340,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.536 2 12.768,0 12.768,0 8.832 16.704 5.566,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.088 2 6.544,0 6.544,0 4.192 8.896 3.326,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.600 2 12.800,0 12.800,0 8.320 17.280 6.335,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.536 2 12.768,0 12.768,0 8.192 17.344 6.471,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.120 2 10.560,0 10.560,0 6.272 14.848 6.064,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.728 2 10.864,0 10.864,0 6.720 15.008 5.860,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.472 2 12.736,0 12.736,0 8.672 16.800 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.824 2 12.912,0 12.912,0 8.320 17.504 6.494,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.496 2 13.248,0 13.248,0 8.192 18.304 7.150,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.144 2 13.072,0 13.072,0 8.960 17.184 5.815,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.232 2 13.616,0 13.616,0 8.544 18.688 7.172,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.144 2 13.072,0 13.072,0 8.192 17.952 6.901,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.928 2 12.464,0 12.464,0 8.192 16.736 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.024 2 10.512,0 10.512,0 6.368 14.656 5.860,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.384 2 10.192,0 10.192,0 6.240 14.144 5.589,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.568 2 12.784,0 12.784,0 8.704 16.864 5.770,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.936 2 7.968,0 7.968,0 4.576 11.360 4.797,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.632 2 12.816,0 12.816,0 9.312 16.320 4.955,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.976 2 13.488,0 13.488,0 8.768 18.208 6.675,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.824 2 6.912,0 6.912,0 4.160 9.664 3.891,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.248 2 12.624,0 12.624,0 8.160 17.088 6.313,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.248 2 12.624,0 12.624,0 8.384 16.864 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.536 2 8.768,0 8.768,0 6.048 11.488 3.846,0 CUDA_KERNEL Fan1(float *, float *, int, int)
