0,0 22.432 2 11.216,0 11.216,0 9.632 12.800 2.240,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.744 9.376 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.016 2 11.008,0 11.008,0 9.728 12.288 1.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.928 2 10.464,0 10.464,0 8.800 12.128 2.353,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.664 2 10.832,0 10.832,0 10.016 11.648 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.992 2 10.496,0 10.496,0 8.864 12.128 2.308,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.632 2 10.816,0 10.816,0 8.832 12.800 2.805,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.152 2 10.576,0 10.576,0 9.536 11.616 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.840 2 7.920,0 7.920,0 6.592 9.248 1.878,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.080 2 11.040,0 11.040,0 9.792 12.288 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.576 2 6.288,0 6.288,0 5.120 7.456 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.712 9.376 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 8.768 11.680 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.312 2 10.656,0 10.656,0 9.664 11.648 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.592 2 5.296,0 5.296,0 4.448 6.144 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.440 2 10.720,0 10.720,0 9.824 11.616 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.672 2 10.336,0 10.336,0 9.152 11.520 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.064 2 8.032,0 8.032,0 6.848 9.216 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.344 2 8.672,0 8.672,0 7.680 9.664 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.800 2 10.400,0 10.400,0 9.152 11.648 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.864 2 10.432,0 10.432,0 8.768 12.096 2.353,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.992 2 10.496,0 10.496,0 8.832 12.160 2.353,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.864 2 10.432,0 10.432,0 9.152 11.712 1.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.184 2 10.592,0 10.592,0 8.768 12.416 2.579,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.112 2 11.056,0 11.056,0 9.408 12.704 2.330,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.320 2 10.160,0 10.160,0 8.736 11.584 2.013,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 17.024 2 8.512,0 8.512,0 6.528 10.496 2.805,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.872 2 7.936,0 7.936,0 6.592 9.280 1.900,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.240 2 11.120,0 11.120,0 9.248 12.992 2.647,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.256 2 6.128,0 6.128,0 4.832 7.424 1.832,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.272 2 11.136,0 11.136,0 9.440 12.832 2.398,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.240 2 11.120,0 11.120,0 8.896 13.344 3.145,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.592 2 5.296,0 5.296,0 4.512 6.080 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 8.800 11.648 2.013,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.512 2 10.256,0 10.256,0 8.768 11.744 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.392 2 7.696,0 7.696,0 6.944 8.448 1.063,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.368 2 11.184,0 11.184,0 9.856 12.512 1.878,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.480 2 6.240,0 6.240,0 5.376 7.104 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.728 2 10.864,0 10.864,0 9.824 11.904 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.752 2 7.376,0 7.376,0 6.432 8.320 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.072 2 7.536,0 7.536,0 6.400 8.672 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.448 2 8.224,0 8.224,0 6.848 9.600 1.946,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.848 2 9.424,0 9.424,0 8.128 10.720 1.832,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.272 2 11.136,0 11.136,0 10.080 12.192 1.493,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.504 2 10.752,0 10.752,0 9.728 11.776 1.448,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.040 2 7.520,0 7.520,0 6.496 8.544 1.448,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.632 2 10.816,0 10.816,0 9.888 11.744 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
