0,0 7.016.992 1.023 6.859,0 7.200,0 4.192 22.336 1.436,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.625.600 1.023 7.454,0 7.232,0 4.256 36.192 2.652,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.344.224 1.023 7.179,0 7.232,0 4.256 36.448 2.189,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.444.768 1.023 7.277,0 7.264,0 4.288 36.352 2.351,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.081.216 1.023 7.899,0 7.200,0 4.224 35.616 3.337,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.367.648 1.023 7.202,0 7.296,0 4.224 36.544 2.177,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.177.792 1.023 7.016,0 7.200,0 4.320 25.152 1.750,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.386.528 1.023 7.220,0 7.232,0 4.192 36.096 2.332,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.581.120 1.023 7.410,0 7.232,0 4.320 34.528 2.493,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.793.408 1.023 7.618,0 7.296,0 4.224 36.640 2.646,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.192.992 1.023 7.031,0 7.104,0 4.192 36.544 2.120,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.358.656 1.023 7.193,0 7.168,0 4.224 36.160 2.452,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.869.760 1.023 6.715,0 7.136,0 4.256 36.032 2.013,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.252.448 1.023 7.089,0 7.232,0 4.192 38.528 2.235,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.194.464 1.023 7.032,0 7.200,0 4.224 35.872 2.155,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.395.520 1.023 7.229,0 7.200,0 4.224 36.672 2.482,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.193.440 1.023 7.031,0 7.136,0 4.160 34.912 2.199,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.545.952 1.023 7.376,0 7.200,0 4.192 36.864 2.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.459.616 1.023 7.291,0 7.136,0 4.160 35.648 2.596,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.198.912 1.023 7.037,0 7.200,0 4.224 21.184 1.616,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.883.840 1.023 6.729,0 7.136,0 4.192 20.160 1.268,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.627.648 1.023 7.456,0 7.264,0 4.192 37.152 2.550,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.549.888 1.023 7.380,0 7.200,0 4.192 35.968 2.585,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.456.640 1.023 7.289,0 7.200,0 4.224 36.960 2.605,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.241.376 1.023 7.078,0 7.168,0 4.256 37.056 2.333,0 CUDA_KERNEL Fan1(float *, float *, int, int)
