46,0 956.306.016 1.023 934.805,0 893.344,0 792.832 1.505.280 146.801,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.039.697.440 1.023 1.016.322,0 892.096,0 795.392 5.315.616 406.916,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 995.231.104 1.023 972.855,0 891.488,0 791.808 2.361.856 291.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.011.521.216 1.023 988.779,0 890.944,0 793.632 5.205.696 351.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.113.429.056 1.023 1.088.395,0 892.032,0 792.448 2.355.584 451.352,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 979.469.792 1.023 957.448,0 880.032,0 784.160 2.328.640 272.132,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 980.605.248 1.023 958.558,0 891.648,0 796.032 1.732.608 211.913,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.004.484.928 1.023 981.901,0 892.288,0 793.536 2.353.280 302.332,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.028.579.168 1.023 1.005.453,0 892.768,0 792.480 2.340.928 333.736,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.063.174.144 1.023 1.039.270,0 893.440,0 795.040 2.334.912 343.580,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 985.506.944 1.023 963.349,0 886.528,0 778.496 5.580.512 358.715,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.016.621.024 1.023 993.764,0 892.032,0 791.456 2.351.904 330.125,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 985.577.664 1.023 963.419,0 891.744,0 793.504 2.366.688 267.408,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 995.208.544 1.023 972.833,0 892.032,0 792.704 2.364.192 282.028,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 992.592.128 1.023 970.275,0 892.384,0 792.096 2.353.792 274.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.017.898.016 1.023 995.012,0 892.224,0 792.032 2.318.720 332.398,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 987.631.488 1.023 965.426,0 881.024,0 782.080 4.523.360 310.398,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.043.310.432 1.023 1.019.853,0 892.032,0 791.904 2.323.136 356.150,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.028.667.232 1.023 1.005.539,0 891.040,0 782.400 4.675.456 383.173,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 992.041.248 1.023 969.737,0 892.864,0 792.160 1.445.440 176.272,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 933.517.408 1.023 912.529,0 882.528,0 783.232 1.230.944 109.624,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.031.789.984 1.023 1.008.592,0 894.016,0 791.744 2.361.536 349.479,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.049.370.848 1.023 1.025.778,0 893.888,0 793.664 2.363.520 347.705,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.035.794.752 1.023 1.012.507,0 892.192,0 793.888 2.362.496 359.410,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.007.753.696 1.023 985.096,0 893.600,0 794.048 2.375.648 312.984,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.042.842.080 1.023 1.019.396,0 893.568,0 796.896 2.369.696 365.373,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.014.298.432 1.023 991.494,0 883.584,0 781.888 2.378.304 329.683,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.026.063.808 1.023 1.002.994,0 893.632,0 797.312 2.363.968 346.664,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.003.561.216 1.023 980.998,0 894.144,0 793.600 2.372.000 300.129,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.306.698.720 1.023 1.277.320,0 1.045.152,0 934.432 2.356.256 431.610,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.088.388.640 1.023 1.063.918,0 1.040.288,0 792.672 2.346.656 336.361,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.155.719.840 1.023 1.129.735,0 893.696,0 792.992 2.361.088 479.845,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.005.219.840 1.023 982.619,0 891.584,0 791.936 2.369.728 307.045,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.019.240.192 1.023 996.324,0 892.512,0 791.168 2.360.800 319.812,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.091.891.232 1.023 1.067.342,0 893.824,0 791.648 2.365.024 395.970,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.124.848.992 1.023 1.099.559,0 892.608,0 792.576 2.336.960 445.008,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.013.321.728 1.023 990.539,0 891.872,0 793.312 2.368.288 319.637,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
44,0 1.040.245.824 1.023 1.016.858,0 894.720,0 790.752 4.961.664 462.553,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 989.211.712 1.023 966.971,0 891.776,0 794.304 2.344.288 269.179,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.002.542.496 1.023 980.002,0 891.840,0 793.216 2.357.312 300.160,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.015.789.472 1.023 992.951,0 890.688,0 794.848 2.318.080 329.275,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 995.169.024 1.023 972.794,0 889.952,0 792.128 2.347.360 284.740,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.009.236.992 1.023 986.546,0 891.936,0 793.920 2.330.496 312.317,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.193.951.040 1.023 1.167.107,0 1.058.304,0 790.848 2.359.776 358.467,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.045.713.248 1.023 1.022.202,0 890.208,0 790.688 2.319.936 350.395,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.821.824.736 1.023 1.780.864,0 1.739.424,0 1.563.680 2.347.008 184.326,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.000.620.800 1.023 978.123,0 891.648,0 792.736 2.358.400 293.002,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.040.076.384 1.023 1.016.692,0 891.040,0 794.848 2.349.056 365.261,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.014.847.232 1.023 992.030,0 891.008,0 794.432 2.352.576 323.018,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 995.935.488 1.023 973.544,0 891.936,0 791.520 2.337.344 283.216,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
