0,0 25.984 2 12.992,0 12.992,0 8.256 17.728 6.697,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.544 2 12.272,0 12.272,0 8.160 16.384 5.815,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.184 2 12.592,0 12.592,0 8.224 16.960 6.177,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.280 2 12.640,0 12.640,0 8.192 17.088 6.290,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.928 2 12.464,0 12.464,0 8.288 16.640 5.905,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.800 2 12.400,0 12.400,0 8.192 16.608 5.951,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.368 2 13.184,0 13.184,0 9.632 16.736 5.023,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.952 2 12.976,0 12.976,0 8.288 17.664 6.629,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.912 2 7.456,0 7.456,0 4.960 9.952 3.529,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.888 2 12.944,0 12.944,0 9.024 16.864 5.543,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.840 2 7.920,0 7.920,0 5.248 10.592 3.778,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.056 2 12.528,0 12.528,0 8.352 16.704 5.905,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 13.056 2 6.528,0 6.528,0 4.192 8.864 3.303,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.312 2 6.656,0 6.656,0 4.288 9.024 3.348,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 26.208 2 13.104,0 13.104,0 9.184 17.024 5.543,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.816 2 7.408,0 7.408,0 4.928 9.888 3.507,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.984 2 8.992,0 8.992,0 6.496 11.488 3.529,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.088 2 6.544,0 6.544,0 4.256 8.832 3.235,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.824 2 6.912,0 6.912,0 4.224 9.600 3.801,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.472 2 8.736,0 8.736,0 6.016 11.456 3.846,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.752 2 7.376,0 7.376,0 4.896 9.856 3.507,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.472 2 8.736,0 8.736,0 6.048 11.424 3.801,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.088 2 6.544,0 6.544,0 4.192 8.896 3.326,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.584 2 7.792,0 7.792,0 5.312 10.272 3.507,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.312 2 6.656,0 6.656,0 4.288 9.024 3.348,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.168 2 7.584,0 7.584,0 5.024 10.144 3.620,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.992 2 6.496,0 6.496,0 4.224 8.768 3.213,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.104 2 7.552,0 7.552,0 4.960 10.144 3.665,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.264 2 7.632,0 7.632,0 5.024 10.240 3.688,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.504 2 12.752,0 12.752,0 8.704 16.800 5.724,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.120 2 6.560,0 6.560,0 4.224 8.896 3.303,0 CUDA_KERNEL Fan1(float *, float *, int, int)
