0,0 21.504 2 10.752,0 10.752,0 9.280 12.224 2.081,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.016 2 11.008,0 11.008,0 9.920 12.096 1.538,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.384 2 10.192,0 10.192,0 8.768 11.616 2.013,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.992 2 10.496,0 10.496,0 8.960 12.032 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 8.896 12.672 2.670,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.144 2 11.072,0 11.072,0 9.280 12.864 2.534,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.280 2 10.640,0 10.640,0 9.280 12.000 1.923,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.536 2 10.768,0 10.768,0 9.792 11.744 1.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.576 2 6.288,0 6.288,0 5.504 7.072 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.376 2 10.688,0 10.688,0 8.832 12.544 2.624,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.120 2 6.560,0 6.560,0 5.664 7.456 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 9.888 11.680 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.624 2 5.312,0 5.312,0 4.512 6.112 1.131,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.816 2 5.408,0 5.408,0 4.576 6.240 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.640 2 10.320,0 10.320,0 8.832 11.808 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.320 2 6.160,0 6.160,0 5.344 6.976 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.360 2 7.680,0 7.680,0 7.008 8.352 950,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.752 2 5.376,0 5.376,0 4.544 6.208 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.688 2 5.344,0 5.344,0 4.544 6.144 1.131,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.064 2 8.032,0 8.032,0 7.136 8.928 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.224 2 6.112,0 6.112,0 5.248 6.976 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.264 2 7.632,0 7.632,0 6.720 8.544 1.289,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.752 2 5.376,0 5.376,0 4.544 6.208 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.728 2 6.864,0 6.864,0 5.600 8.128 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.688 2 5.344,0 5.344,0 4.512 6.176 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.992 2 6.496,0 6.496,0 5.856 7.136 905,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.720 2 5.360,0 5.360,0 4.544 6.176 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.928 2 6.464,0 6.464,0 5.312 7.616 1.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.184 2 6.592,0 6.592,0 6.112 7.072 678,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.352 2 10.176,0 10.176,0 8.768 11.584 1.991,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.656 2 5.328,0 5.328,0 4.544 6.112 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.984 2 6.992,0 6.992,0 5.856 8.128 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.384 2 6.192,0 6.192,0 5.312 7.072 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.944 2 7.472,0 7.472,0 6.464 8.480 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.976 2 7.488,0 7.488,0 6.656 8.320 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.512 2 6.256,0 6.256,0 5.440 7.072 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.720 2 5.360,0 5.360,0 4.544 6.176 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
1,0 14.816 2 7.408,0 7.408,0 6.464 8.352 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.896 2 10.448,0 10.448,0 9.280 11.616 1.651,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 8.768 11.680 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.912 2 5.456,0 5.456,0 4.576 6.336 1.244,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.352 2 6.176,0 6.176,0 5.312 7.040 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.656 2 5.328,0 5.328,0 4.544 6.112 1.108,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 14.976 2 7.488,0 7.488,0 6.592 8.384 1.267,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.320 2 6.160,0 6.160,0 5.312 7.008 1.199,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.752 2 5.376,0 5.376,0 4.544 6.208 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.704 2 6.352,0 6.352,0 5.728 6.976 882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.640 2 10.320,0 10.320,0 8.800 11.840 2.149,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.664 2 10.832,0 10.832,0 9.920 11.744 1.289,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.688 2 11.344,0 11.344,0 9.856 12.832 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.960 2 10.480,0 10.480,0 8.800 12.160 2.375,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.952 2 10.976,0 10.976,0 9.376 12.576 2.262,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.048 2 11.024,0 11.024,0 9.536 12.512 2.104,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 8.800 12.768 2.805,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.328 2 7.664,0 7.664,0 7.040 8.288 882,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.608 2 10.304,0 10.304,0 8.960 11.648 1.900,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.768 2 10.384,0 10.384,0 9.088 11.680 1.832,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.384 2 10.192,0 10.192,0 8.736 11.648 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.448 2 10.224,0 10.224,0 8.768 11.680 2.059,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.728 2 10.864,0 10.864,0 9.664 12.064 1.697,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.344 2 10.672,0 10.672,0 9.664 11.680 1.425,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.704 2 10.352,0 10.352,0 9.088 11.616 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.184 2 10.592,0 10.592,0 8.832 12.352 2.489,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.424 2 7.712,0 7.712,0 6.496 8.928 1.719,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
