2,0 90.560 2 45.280,0 45.280,0 41.120 49.440 5.883,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 66.848 2 33.424,0 33.424,0 30.880 35.968 3.597,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.296 2 45.648,0 45.648,0 41.600 49.696 5.724,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.720 2 45.360,0 45.360,0 41.088 49.632 6.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.720 2 45.360,0 45.360,0 41.376 49.344 5.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.712 2 45.856,0 45.856,0 41.952 49.760 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.200 2 45.600,0 45.600,0 41.728 49.472 5.475,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.624 2 45.312,0 45.312,0 41.120 49.504 5.928,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.464 2 45.232,0 45.232,0 41.184 49.280 5.724,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 94.560 2 47.280,0 47.280,0 44.352 50.208 4.140,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.008 2 45.504,0 45.504,0 41.088 49.920 6.245,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.400 2 45.200,0 45.200,0 41.152 49.248 5.724,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.848 2 45.424,0 45.424,0 41.920 48.928 4.955,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 89.792 2 44.896,0 44.896,0 41.056 48.736 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.272 2 45.136,0 45.136,0 41.152 49.120 5.634,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 94.272 2 47.136,0 47.136,0 44.416 49.856 3.846,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.136 2 33.568,0 33.568,0 30.912 36.224 3.756,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.304 2 45.152,0 45.152,0 41.152 49.152 5.656,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.392 2 45.696,0 45.696,0 41.664 49.728 5.702,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 92.320 2 46.160,0 46.160,0 42.048 50.272 5.815,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.624 2 45.312,0 45.312,0 41.184 49.440 5.837,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.232 2 33.616,0 33.616,0 30.816 36.416 3.959,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.104 2 33.552,0 33.552,0 30.880 36.224 3.778,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.400 2 45.200,0 45.200,0 41.664 48.736 5.000,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.944 2 45.472,0 45.472,0 41.216 49.728 6.018,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.656 2 45.328,0 45.328,0 41.024 49.632 6.086,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.688 2 45.344,0 45.344,0 41.760 48.928 5.068,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.424 2 33.712,0 33.712,0 30.816 36.608 4.095,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 54.976 2 27.488,0 27.488,0 25.088 29.888 3.394,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 89.952 2 44.976,0 44.976,0 41.056 48.896 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.208 2 45.104,0 45.104,0 41.184 49.024 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.168 2 33.584,0 33.584,0 31.136 36.032 3.462,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.240 2 45.120,0 45.120,0 41.056 49.184 5.747,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 67.296 2 33.648,0 33.648,0 30.848 36.448 3.959,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.072 2 45.536,0 45.536,0 41.632 49.440 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 89.984 2 44.992,0 44.992,0 41.088 48.896 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 67.616 2 33.808,0 33.808,0 30.944 36.672 4.050,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.976 2 45.488,0 45.488,0 42.048 48.928 4.864,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 46.400 2 23.200,0 23.200,0 21.536 24.864 2.353,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.016 2 45.008,0 45.008,0 41.088 48.928 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 91.168 2 45.584,0 45.584,0 41.952 49.216 5.136,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 90.688 2 45.344,0 45.344,0 41.120 49.568 5.973,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
