5,0 18.617.312 2 9.308.656,0 9.308.656,0 8.635.936 9.981.376 951.369,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.505.952 2 9.752.976,0 9.752.976,0 9.457.376 10.048.576 418.041,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.685.792 2 9.342.896,0 9.342.896,0 8.744.256 9.941.536 846.604,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.381.184 2 7.690.592,0 7.690.592,0 5.508.608 9.872.576 3.085.791,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.805.760 2 7.902.880,0 7.902.880,0 5.811.680 9.994.080 2.957.403,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 15.355.872 2 7.677.936,0 7.677.936,0 5.427.968 9.927.904 3.181.935,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 19.031.968 2 9.515.984,0 9.515.984,0 9.037.728 9.994.240 676.356,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 17.405.728 2 8.702.864,0 8.702.864,0 7.398.176 10.007.552 1.845.107,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.356.192 2 7.678.096,0 7.678.096,0 5.393.696 9.962.496 3.230.629,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.595.968 2 7.797.984,0 7.797.984,0 5.651.424 9.944.544 3.035.694,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 12.436.256 2 6.218.128,0 6.218.128,0 2.487.520 9.948.736 5.275.876,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.131.712 2 9.065.856,0 9.065.856,0 8.267.456 9.864.256 1.129.108,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.453.376 2 7.726.688,0 7.726.688,0 5.474.976 9.978.400 3.184.401,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.554.624 2 9.277.312,0 9.277.312,0 8.598.880 9.955.744 959.447,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
10,0 19.929.088 2 9.964.544,0 9.964.544,0 9.932.032 9.997.056 45.978,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.622.880 2 7.811.440,0 7.811.440,0 5.694.464 9.928.416 2.993.856,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 15.352.768 2 7.676.384,0 7.676.384,0 5.386.400 9.966.368 3.238.526,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 18.716.000 2 9.358.000,0 9.358.000,0 8.828.800 9.887.200 748.401,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
10,0 15.705.024 2 7.852.512,0 7.852.512,0 5.875.456 9.829.568 2.795.979,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
5,0 16.291.008 2 8.145.504,0 8.145.504,0 6.146.464 10.144.544 2.827.069,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 17.129.280 2 8.564.640,0 8.564.640,0 7.222.880 9.906.400 1.897.535,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
8,0 15.553.344 2 7.776.672,0 7.776.672,0 5.351.392 10.201.952 3.429.863,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
