     23,0      110.296.832        127      868.479,0      650.304,0        8.000    2.378.336     775.679,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.455.744        127      113.824,0      107.680,0       69.632      180.192      36.372,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.294.144        128       64.798,0       64.544,0       51.136       68.672       3.591,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      107.276.672        127      844.698,0      657.088,0        6.752    2.168.288     736.378,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.169.600        127      111.571,0      107.392,0       67.584      173.248      34.829,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.186.304        128       63.955,0       63.200,0       51.136       68.736       4.624,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.895.104        127      865.315,0      605.184,0        7.008    2.359.616     772.833,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.375.904        127      113.196,0      105.088,0       67.776      180.864      36.931,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.250.784        128       64.459,0       64.272,0       51.168       69.248       3.891,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      110.600.000        127      870.866,0      620.736,0        8.544    2.441.344     785.590,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.541.312        127      114.498,0      108.704,0       68.672      181.824      37.067,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.339.104        128       65.149,0       65.600,0       51.232       68.992       3.351,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      113.767.392        127      895.806,0      646.240,0        7.936    2.672.512     826.008,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.692.512        127      115.689,0      106.944,0       68.736      205.568      38.798,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.424.672        128       65.817,0       66.816,0       62.304       70.208       2.470,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      112.172.992        127      883.251,0      597.504,0        4.928    2.680.800     825.239,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.334.656        127      112.871,0      106.688,0       45.152      205.152      41.699,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.091.296        128       63.213,0       64.720,0       40.032       71.136       7.222,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22,0      101.550.176        127      799.607,0      657.248,0        7.488    1.898.112     673.358,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.842.208        127      108.993,0      107.392,0       67.616      165.344      31.723,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.018.144        128       62.641,0       62.368,0       50.080       69.056       5.413,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      107.814.112        127      848.930,0      619.136,0        6.784    2.259.392     751.440,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.280.128        127      112.442,0      106.464,0       67.904      174.176      35.873,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.215.936        128       64.187,0       64.016,0       51.104       68.736       4.235,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.049.504        127      858.657,0      632.384,0        6.784    2.340.832     767.662,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.379.008        127      113.220,0      106.816,0       68.160      180.768      36.940,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.243.808        128       64.404,0       64.816,0       51.136       68.352       3.811,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     21,0       88.201.440        127      694.499,0      635.552,0        8.224    1.899.712     570.245,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       12.721.152        127      100.166,0      102.560,0       68.736      150.400      22.102,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        7.488.384        128       58.503,0       62.352,0       50.016       68.512       6.360,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
