1,0 8.294.144 128 64.798,0 64.544,0 51.136 68.672 3.591,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.186.304 128 63.955,0 63.200,0 51.136 68.736 4.624,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.250.784 128 64.459,0 64.272,0 51.168 69.248 3.891,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.339.104 128 65.149,0 65.600,0 51.232 68.992 3.351,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.424.672 128 65.817,0 66.816,0 62.304 70.208 2.470,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.091.296 128 63.213,0 64.720,0 40.032 71.136 7.222,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.018.144 128 62.641,0 62.368,0 50.080 69.056 5.413,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.215.936 128 64.187,0 64.016,0 51.104 68.736 4.235,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.243.808 128 64.404,0 64.816,0 51.136 68.352 3.811,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.488.384 128 58.503,0 62.352,0 50.016 68.512 6.360,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.206.112 128 64.110,0 64.800,0 51.136 69.152 4.320,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.292.896 128 64.788,0 64.960,0 51.168 68.800 3.769,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.260.864 128 64.538,0 65.200,0 51.104 69.056 3.913,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.141.568 128 63.606,0 63.248,0 50.144 69.120 4.872,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.208.384 128 64.128,0 63.472,0 51.232 69.056 4.011,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.208.608 128 64.129,0 62.512,0 51.136 69.216 4.092,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.322.368 128 65.018,0 66.368,0 51.136 68.960 3.644,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.660.288 128 59.846,0 62.288,0 39.584 68.704 10.442,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.050.272 128 55.080,0 61.328,0 39.456 69.280 12.010,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.543.328 128 58.932,0 63.568,0 39.808 69.280 11.324,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.268.128 128 64.594,0 64.960,0 51.136 69.280 3.876,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.236.000 128 64.343,0 64.256,0 51.168 69.056 4.109,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.355.968 128 65.281,0 66.768,0 61.184 71.456 2.979,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.334.464 128 65.113,0 64.912,0 51.200 68.960 3.217,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.369.248 128 65.384,0 66.384,0 51.264 68.736 3.042,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.261.856 128 48.920,0 49.248,0 46.752 52.032 1.615,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.181.120 128 63.915,0 63.328,0 50.048 69.184 5.025,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.237.440 128 64.355,0 64.144,0 51.200 68.768 4.030,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.714.592 128 60.270,0 62.304,0 39.584 68.800 9.848,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 7.934.112 128 61.985,0 62.672,0 37.888 68.736 8.828,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 8.122.432 128 63.456,0 63.296,0 49.984 68.768 5.114,0 CUDA_KERNEL lud_diagonal(float *, int, int)
