23,0 110.296.832 127 868.479,0 650.304,0 8.000 2.378.336 775.679,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.276.672 127 844.698,0 657.088,0 6.752 2.168.288 736.378,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.895.104 127 865.315,0 605.184,0 7.008 2.359.616 772.833,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.600.000 127 870.866,0 620.736,0 8.544 2.441.344 785.590,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 113.767.392 127 895.806,0 646.240,0 7.936 2.672.512 826.008,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 112.172.992 127 883.251,0 597.504,0 4.928 2.680.800 825.239,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 101.550.176 127 799.607,0 657.248,0 7.488 1.898.112 673.358,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.814.112 127 848.930,0 619.136,0 6.784 2.259.392 751.440,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.049.504 127 858.657,0 632.384,0 6.784 2.340.832 767.662,0 CUDA_KERNEL lud_internal(float *, int, int)
21,0 88.201.440 127 694.499,0 635.552,0 8.224 1.899.712 570.245,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.499.840 127 854.329,0 661.664,0 6.880 2.268.160 750.856,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.842.912 127 864.904,0 646.752,0 7.904 2.343.712 765.033,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.237.088 127 860.134,0 642.816,0 8.448 2.294.880 760.161,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.956.736 127 834.305,0 651.104,0 6.880 2.074.624 718.879,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.457.472 127 853.995,0 597.632,0 6.848 2.306.720 763.870,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.459.520 127 854.012,0 633.120,0 7.392 2.294.112 762.131,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.803.488 127 872.468,0 652.192,0 8.224 2.375.552 779.409,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 107.913.952 127 849.716,0 602.752,0 5.664 2.291.136 762.260,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 100.332.768 127 790.021,0 613.344,0 5.472 1.896.704 687.151,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.768.896 127 856.448,0 606.336,0 5.504 2.324.000 771.234,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.385.728 127 853.430,0 625.408,0 6.784 2.292.128 756.838,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 109.361.536 127 861.114,0 621.472,0 6.720 2.335.008 769.186,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 113.013.312 127 889.868,0 634.944,0 6.816 2.686.944 820.987,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.872.192 127 873.009,0 624.992,0 7.840 2.441.664 788.151,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 112.129.024 127 882.905,0 640.896,0 8.256 2.475.712 795.386,0 CUDA_KERNEL lud_internal(float *, int, int)
20,0 80.363.936 127 632.786,0 437.312,0 6.368 1.892.384 579.066,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 105.689.504 127 832.200,0 643.808,0 6.752 2.071.616 714.908,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.266.784 127 852.494,0 620.672,0 7.264 2.329.696 758.982,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.686.464 127 855.798,0 608.992,0 5.408 2.311.680 765.230,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 110.114.400 127 867.042,0 586.720,0 4.704 2.426.272 791.950,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 103.849.792 127 817.714,0 614.912,0 8.096 1.966.528 697.946,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.470.560 127 854.098,0 632.672,0 8.256 2.247.872 751.988,0 CUDA_KERNEL lud_internal(float *, int, int)
23,0 108.733.504 127 856.169,0 626.368,0 6.912 2.340.736 763.646,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 102.897.024 127 810.212,0 637.632,0 8.000 1.895.456 686.130,0 CUDA_KERNEL lud_internal(float *, int, int)
22,0 103.279.968 127 813.228,0 595.008,0 6.880 1.976.896 696.745,0 CUDA_KERNEL lud_internal(float *, int, int)
