3,0 14.455.744 127 113.824,0 107.680,0 69.632 180.192 36.372,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.169.600 127 111.571,0 107.392,0 67.584 173.248 34.829,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.375.904 127 113.196,0 105.088,0 67.776 180.864 36.931,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.541.312 127 114.498,0 108.704,0 68.672 181.824 37.067,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.692.512 127 115.689,0 106.944,0 68.736 205.568 38.798,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.334.656 127 112.871,0 106.688,0 45.152 205.152 41.699,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.842.208 127 108.993,0 107.392,0 67.616 165.344 31.723,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.280.128 127 112.442,0 106.464,0 67.904 174.176 35.873,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.379.008 127 113.220,0 106.816,0 68.160 180.768 36.940,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 12.721.152 127 100.166,0 102.560,0 68.736 150.400 22.102,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.265.216 127 112.324,0 107.264,0 67.616 174.080 35.521,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.406.976 127 113.440,0 106.464,0 69.280 179.968 35.892,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.356.192 127 113.040,0 106.976,0 69.216 174.624 35.364,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.088.928 127 110.936,0 106.656,0 68.320 172.576 33.830,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.327.040 127 112.811,0 106.752,0 67.488 180.224 36.477,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.328.256 127 112.820,0 107.968,0 67.776 179.872 36.493,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.458.688 127 113.847,0 107.200,0 69.568 180.480 36.332,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.708.352 127 107.939,0 106.592,0 45.088 174.048 41.903,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 12.744.128 127 100.347,0 105.152,0 44.608 165.824 41.468,0 CUDA_KERNEL lud_perimeter(float *, int, int)
