      0,0          137.312          4       34.328,0       32.976,0       32.704       38.656      2.890,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          114.848          3       38.282,0       37.824,0       36.192       40.832      2.353,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.464          3        7.488,0        8.064,0        6.304        8.096      1.025,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          144.608          4       36.152,0       35.232,0       34.848       39.296      2.120,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          122.528          3       40.842,0       39.936,0       39.264       43.328      2.178,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.464          3        7.488,0        7.936,0        6.368        8.160        976,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          254.720          4       63.680,0       62.528,0       62.272       67.392      2.486,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          213.056          3       71.018,0       69.984,0       69.312       73.760      2.397,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.184          3        9.728,0        9.536,0        8.064       11.584      1.767,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          130.880          4       32.720,0       32.032,0       31.168       35.648      1.995,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          109.312          3       36.437,0       35.776,0       34.336       39.200      2.498,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           16.256          3        5.418,0        5.280,0        3.968        7.008      1.524,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          137.504          4       34.376,0       33.408,0       32.800       37.888      2.359,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0,0          115.488          3       38.496,0       38.304,0       36.064       41.120      2.533,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.488          3        7.829,0        8.288,0        6.432        8.768      1.233,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0,0          147.552          4       36.888,0       35.888,0       35.008       40.768      2.620,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
