0,0 137.312 4 34.328,0 32.976,0 32.704 38.656 2.890,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 144.608 4 36.152,0 35.232,0 34.848 39.296 2.120,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 254.720 4 63.680,0 62.528,0 62.272 67.392 2.486,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.880 4 32.720,0 32.032,0 31.168 35.648 1.995,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.504 4 34.376,0 33.408,0 32.800 37.888 2.359,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 147.552 4 36.888,0 35.888,0 35.008 40.768 2.620,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.768 4 34.192,0 32.976,0 32.736 38.080 2.600,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.696 4 32.424,0 31.280,0 31.136 36.000 2.386,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.744 4 32.936,0 32.208,0 31.136 36.192 2.239,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.544 4 34.136,0 32.768,0 32.736 38.272 2.757,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.760 4 32.440,0 31.472,0 31.168 35.648 2.157,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.920 4 34.480,0 33.776,0 33.120 37.248 1.871,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 145.696 4 36.424,0 34.960,0 34.752 41.024 3.068,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 147.744 4 36.936,0 35.840,0 35.680 40.384 2.300,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 139.520 4 34.880,0 33.872,0 33.088 38.688 2.571,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.304 4 32.576,0 31.616,0 31.136 35.936 2.280,0 CUDA_KERNEL lud_diagonal(float *, int, int)
