0,0 22.464 3 7.488,0 8.064,0 6.304 8.096 1.025,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.464 3 7.488,0 7.936,0 6.368 8.160 976,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 9.536,0 8.064 11.584 1.767,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.280,0 3.968 7.008 1.524,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.488 3 7.829,0 8.288,0 6.432 8.768 1.233,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.624 3 7.541,0 8.000,0 6.496 8.128 907,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.232 3 7.744,0 8.320,0 6.400 8.512 1.167,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.376,0 4.224 6.720 1.249,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.536,0 3.936 6.848 1.458,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.464 3 7.488,0 8.096,0 6.240 8.128 1.080,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.608 3 5.536,0 5.536,0 4.224 6.848 1.312,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.624 3 7.541,0 8.032,0 6.432 8.160 962,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.200 3 7.733,0 8.160,0 6.624 8.416 969,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.784 3 7.594,0 8.128,0 6.272 8.384 1.152,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.104 3 7.701,0 8.128,0 6.048 8.928 1.486,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.184 3 5.728,0 5.600,0 4.448 7.136 1.348,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.872 3 5.290,0 5.344,0 4.032 6.496 1.232,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.368 3 7.456,0 7.968,0 6.240 8.160 1.057,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.160 3 5.386,0 5.344,0 4.064 6.752 1.344,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 15.584 3 5.194,0 5.216,0 4.192 6.176 992,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.592 3 7.530,0 8.032,0 6.432 8.128 952,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.288 3 5.429,0 5.376,0 4.256 6.656 1.200,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.400 3 7.466,0 7.904,0 6.336 8.160 987,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.592 3 7.530,0 7.904,0 6.176 8.512 1.211,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.192 3 5.397,0 5.536,0 3.968 6.688 1.365,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.232 3 7.744,0 8.096,0 6.208 8.928 1.393,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.368 3 7.456,0 7.680,0 6.080 8.608 1.278,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.288 3 5.429,0 5.472,0 4.128 6.688 1.280,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.704 3 5.568,0 5.728,0 4.192 6.784 1.303,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.320 3 5.440,0 5.248,0 4.384 6.688 1.163,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.752 3 7.584,0 8.096,0 6.336 8.320 1.086,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.312,0 3.872 7.168 1.652,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.352 3 5.450,0 5.504,0 4.096 6.752 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.256 3 5.418,0 5.536,0 4.096 6.624 1.268,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.688 3 7.562,0 8.128,0 6.336 8.224 1.063,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 16.640 3 5.546,0 5.504,0 4.320 6.816 1.248,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.592 3 7.530,0 7.936,0 6.400 8.256 992,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.440 3 7.146,0 6.720,0 6.400 8.320 1.028,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.488 3 7.829,0 8.288,0 6.208 8.992 1.447,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.512 3 9.504,0 9.440,0 8.096 10.976 1.441,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.056 3 5.685,0 5.376,0 4.480 7.200 1.386,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.592 3 7.530,0 7.808,0 6.304 8.480 1.114,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.912 3 7.637,0 7.936,0 6.336 8.640 1.180,0 CUDA_KERNEL lud_internal(float *, int, int)
