0,0 114.848 3 38.282,0 37.824,0 36.192 40.832 2.353,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 122.528 3 40.842,0 39.936,0 39.264 43.328 2.178,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 213.056 3 71.018,0 69.984,0 69.312 73.760 2.397,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.312 3 36.437,0 35.776,0 34.336 39.200 2.498,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.488 3 38.496,0 38.304,0 36.064 41.120 2.533,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 123.936 3 41.312,0 40.736,0 38.816 44.384 2.828,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.936 3 38.645,0 37.888,0 36.640 41.408 2.472,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.224 3 36.074,0 35.328,0 34.528 38.368 2.026,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.672 3 36.224,0 35.744,0 34.368 38.560 2.136,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.968 3 38.656,0 37.280,0 37.024 41.664 2.608,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.312 3 36.437,0 35.520,0 34.560 39.232 2.467,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 116.416 3 38.805,0 37.952,0 36.992 41.472 2.358,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 124.160 3 41.386,0 40.192,0 39.456 44.512 2.731,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 123.872 3 41.290,0 40.832,0 39.424 43.616 2.133,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 116.384 3 38.794,0 37.632,0 36.672 42.080 2.885,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.856 3 36.618,0 35.936,0 34.400 39.520 2.627,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.992 3 36.330,0 35.552,0 34.432 39.008 2.385,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.104 3 38.368,0 37.376,0 37.120 40.608 1.944,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.728 3 36.576,0 36.000,0 34.816 38.912 2.107,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.096 3 36.032,0 35.232,0 34.528 38.336 2.026,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 122.720 3 40.906,0 40.192,0 38.592 43.936 2.742,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.472 3 36.490,0 36.288,0 34.464 38.720 2.135,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.104 3 38.368,0 37.600,0 36.096 41.408 2.738,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 123.936 3 41.312,0 40.800,0 38.688 44.448 2.913,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.120 3 36.373,0 35.616,0 34.848 38.656 2.013,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 123.104 3 41.034,0 39.616,0 39.104 44.384 2.911,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.784 3 38.261,0 37.696,0 36.224 40.864 2.371,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.120 3 36.373,0 36.128,0 34.656 38.336 1.852,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.152 3 36.384,0 35.552,0 34.496 39.104 2.414,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.536 3 36.512,0 35.904,0 34.336 39.296 2.535,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 116.800 3 38.933,0 37.664,0 37.376 41.760 2.452,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.432 3 36.810,0 36.352,0 34.976 39.104 2.101,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 111.360 3 37.120,0 36.032,0 35.808 39.520 2.081,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.048 3 36.682,0 36.352,0 34.720 38.976 2.147,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.200 3 38.400,0 37.376,0 36.064 41.760 2.982,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.696 3 36.565,0 36.320,0 35.136 38.240 1.566,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 123.808 3 41.269,0 40.512,0 39.008 44.288 2.720,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 116.672 3 38.890,0 38.336,0 36.832 41.504 2.384,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 120.224 3 40.074,0 39.744,0 38.048 42.432 2.210,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 215.104 3 71.701,0 71.008,0 69.280 74.816 2.832,0 CUDA_KERNEL lud_perimeter(float *, int, int)
