0,0 6.738.144 1.023 6.586,0 6.464,0 3.488 34.624 2.711,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.626.176 1.023 6.477,0 6.528,0 3.488 32.000 2.018,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.493.568 1.023 6.347,0 6.400,0 3.488 35.328 2.422,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.891.936 1.023 6.737,0 6.528,0 3.520 31.616 2.628,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.931.104 1.023 6.775,0 6.528,0 3.488 34.272 2.790,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.809.120 1.023 6.656,0 6.560,0 3.520 34.912 2.652,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.693.376 1.023 6.542,0 6.496,0 3.520 34.496 2.385,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.894.752 1.023 6.739,0 6.496,0 3.520 34.656 2.835,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.666.752 1.023 6.516,0 6.432,0 3.488 34.304 2.811,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.935.776 1.023 6.779,0 6.400,0 3.456 36.064 2.922,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.664.384 1.023 6.514,0 6.496,0 3.552 35.040 2.349,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.623.584 1.023 6.474,0 6.464,0 3.552 34.240 2.414,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.474.752 1.023 6.329,0 6.368,0 3.552 34.528 2.458,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.567.488 1.023 7.397,0 6.464,0 3.552 34.592 3.992,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.900.000 1.023 6.744,0 6.496,0 3.520 34.688 2.910,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.419.584 1.023 7.252,0 6.528,0 3.520 36.064 3.646,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.763.392 1.023 6.611,0 6.400,0 3.456 34.656 2.664,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.767.488 1.023 6.615,0 6.464,0 3.520 34.976 2.705,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.828.512 1.023 6.675,0 6.528,0 3.552 34.816 2.618,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.106.272 1.023 6.946,0 6.432,0 3.520 34.400 3.219,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.875.488 1.023 6.720,0 6.464,0 3.488 34.176 3.049,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.281.632 1.023 7.117,0 6.496,0 3.520 34.912 3.484,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.768.640 1.023 6.616,0 6.400,0 3.520 34.720 2.816,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.843.040 1.023 6.689,0 6.368,0 3.456 36.928 3.017,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.376.928 1.023 7.211,0 6.496,0 3.552 34.816 3.547,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.677.728 1.023 6.527,0 6.400,0 3.488 35.520 2.709,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.718.144 1.023 6.567,0 6.368,0 3.488 25.440 2.512,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.817.920 1.023 6.664,0 6.432,0 3.488 35.296 2.931,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.736.320 1.023 6.584,0 6.464,0 3.520 35.872 2.609,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.863.712 1.023 6.709,0 6.496,0 3.520 35.520 2.756,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.108.384 1.023 6.948,0 6.496,0 3.488 34.656 2.999,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.724.384 1.023 6.573,0 6.496,0 3.552 34.400 2.691,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.063.456 1.023 6.904,0 6.336,0 3.488 34.528 3.317,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.859.712 1.023 6.705,0 6.400,0 3.488 35.776 3.051,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.903.520 1.023 6.748,0 6.400,0 3.488 34.176 2.844,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.578.848 1.023 6.430,0 6.080,0 3.552 34.400 2.625,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.822.784 1.023 6.669,0 6.432,0 3.552 35.040 2.920,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.590.496 1.023 6.442,0 6.432,0 3.552 35.008 2.445,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.839.008 1.023 6.685,0 6.464,0 3.520 34.816 2.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 7.029.440 1.023 6.871,0 6.496,0 3.552 35.552 3.169,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.785.792 1.023 6.633,0 6.464,0 3.552 35.488 2.810,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.640.512 1.023 6.491,0 6.496,0 3.520 35.296 2.467,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.688.736 1.023 6.538,0 6.432,0 3.488 24.736 2.763,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.722.528 1.023 6.571,0 6.432,0 3.552 34.592 2.806,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.819.360 1.023 6.666,0 6.400,0 3.488 34.560 2.962,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 6.819.424 1.023 6.666,0 6.464,0 3.488 35.744 2.916,0 CUDA_KERNEL Fan1(float *, float *, int, int)
