42,0 928.433.536 1.023 907.559,0 829.248,0 795.872 1.943.264 215.431,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
38,0 913.734.912 1.023 893.191,0 831.328,0 801.184 2.099.008 155.487,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 927.699.584 1.023 906.842,0 829.952,0 801.824 1.923.264 225.546,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 951.307.264 1.023 929.919,0 830.592,0 799.136 1.887.040 253.418,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 923.423.200 1.023 902.662,0 830.784,0 800.608 1.919.968 212.894,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 932.212.064 1.023 911.253,0 831.008,0 799.360 2.107.968 220.229,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 922.406.592 1.023 901.668,0 829.984,0 797.952 1.889.024 210.297,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 922.600.256 1.023 901.857,0 830.592,0 797.600 1.920.448 215.623,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 916.765.824 1.023 896.154,0 830.144,0 799.104 1.866.752 191.583,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 953.231.072 1.023 931.799,0 819.520,0 791.552 1.978.848 276.348,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 920.705.472 1.023 900.005,0 829.408,0 800.192 1.863.168 196.769,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 920.664.864 1.023 899.965,0 830.592,0 800.032 1.860.384 183.738,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 927.719.936 1.023 906.862,0 830.848,0 800.672 1.864.352 214.157,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 1.012.185.760 1.023 989.428,0 830.752,0 794.944 2.072.096 345.371,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 925.653.440 1.023 904.842,0 831.008,0 799.456 1.884.960 207.713,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 970.700.032 1.023 948.875,0 830.592,0 799.552 1.841.696 275.953,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 935.278.528 1.023 914.250,0 819.296,0 789.152 1.888.896 247.231,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 931.075.584 1.023 910.142,0 829.696,0 800.096 1.893.376 211.474,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 951.008.896 1.023 929.627,0 830.368,0 801.184 1.929.024 248.519,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 940.697.440 1.023 919.547,0 830.400,0 799.360 1.890.176 244.881,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 935.467.520 1.023 914.435,0 830.560,0 801.152 2.090.944 229.062,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 971.594.240 1.023 949.750,0 830.336,0 798.976 2.016.480 289.330,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 914.298.624 1.023 893.742,0 819.008,0 790.368 1.867.520 206.022,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 922.495.456 1.023 901.755,0 820.192,0 789.184 1.876.224 222.322,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 975.819.424 1.023 953.880,0 829.536,0 800.320 1.844.320 282.003,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 921.886.016 1.023 901.159,0 819.136,0 790.080 1.882.816 221.183,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 932.350.880 1.023 911.388,0 819.840,0 789.920 1.777.600 223.810,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 946.522.720 1.023 925.242,0 818.752,0 787.520 1.922.656 267.043,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 914.902.400 1.023 894.332,0 829.312,0 798.400 1.829.888 175.971,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 956.169.664 1.023 934.672,0 829.760,0 801.440 1.897.440 264.423,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 965.932.096 1.023 944.215,0 829.984,0 802.080 1.841.248 275.417,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 925.522.336 1.023 904.713,0 830.112,0 796.832 1.890.560 201.863,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 964.992.864 1.023 943.297,0 819.392,0 791.200 1.928.032 296.914,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 928.897.088 1.023 908.012,0 819.616,0 787.808 1.908.224 234.642,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 911.043.072 1.023 890.560,0 818.432,0 790.784 1.861.216 201.540,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 933.924.320 1.023 912.927,0 829.696,0 797.088 1.914.560 223.814,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 929.735.328 1.023 908.832,0 830.464,0 794.368 1.909.216 208.591,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 930.651.584 1.023 909.727,0 830.144,0 800.320 1.900.608 226.376,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 936.630.592 1.023 915.572,0 830.048,0 800.768 1.883.296 224.803,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 954.332.864 1.023 932.876,0 829.056,0 800.544 1.881.184 256.337,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 940.712.928 1.023 919.563,0 829.920,0 796.000 1.921.600 239.368,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 922.628.992 1.023 901.885,0 829.312,0 800.032 1.881.216 203.260,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 935.322.688 1.023 914.293,0 830.784,0 799.552 1.882.144 211.831,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 923.929.120 1.023 903.156,0 829.696,0 795.616 1.926.912 196.915,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 946.552.384 1.023 925.271,0 820.256,0 787.744 1.901.824 265.397,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 923.010.912 1.023 902.259,0 830.528,0 800.288 2.183.488 209.155,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 921.807.552 1.023 901.082,0 830.144,0 798.816 1.886.240 204.871,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 943.875.840 1.023 922.654,0 830.272,0 797.088 1.846.272 250.746,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 985.926.720 1.023 963.760,0 829.696,0 794.976 1.855.840 299.318,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
43,0 1.049.442.080 1.023 1.025.847,0 829.408,0 800.448 1.899.104 362.136,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 943.214.496 1.023 922.008,0 830.656,0 802.560 1.869.376 238.047,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 924.314.208 1.023 903.533,0 829.376,0 801.056 1.869.664 209.041,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 926.434.624 1.023 905.605,0 829.856,0 799.072 1.911.296 221.770,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 937.039.936 1.023 915.972,0 829.536,0 799.424 1.906.176 237.605,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 988.302.784 1.023 966.082,0 829.216,0 798.720 1.854.400 299.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 958.085.184 1.023 936.544,0 829.504,0 799.712 1.838.240 255.372,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
41,0 939.877.024 1.023 918.745,0 819.232,0 789.184 1.988.768 247.759,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 952.975.968 1.023 931.550,0 829.696,0 799.456 2.033.952 265.857,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 909.801.056 1.023 889.346,0 828.896,0 795.648 1.948.128 195.963,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 934.202.720 1.023 913.199,0 828.992,0 798.912 1.871.712 217.203,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 1.099.836.352 1.023 1.075.108,0 832.928,0 788.448 2.075.936 387.140,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 956.832.416 1.023 935.320,0 830.752,0 799.136 1.903.488 270.027,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
42,0 908.435.616 1.023 888.011,0 819.904,0 791.680 1.926.656 208.975,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
