      1,0       42.864.960      2.046      20.950,0     13.344,0     8.032      199.136       18.442,0  CUDA_API     cudaLaunchKernel                              
      2,0       53.431.040      2.046      26.114,0     16.992,0      8.224      198.528       23.476,0  CUDA_API     cudaLaunchKernel                              
      2,0       52.491.776      2.046      25.655,0     19.472,0     8.288      212.256       19.630,0  CUDA_API     cudaLaunchKernel                              
      1,0       30.433.728      2.046      14.874,0     12.032,0      8.256      174.080        9.496,0  CUDA_API     cudaLaunchKernel                              
      1,0       31.695.648      2.046      15.491,0     11.936,0     8.128      159.104       11.214,0  CUDA_API     cudaLaunchKernel                              
      1,0       28.841.152      2.046      14.096,0     12.032,0     8.512      123.840        7.371,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.149.184      2.046      14.246,0     11.584,0     8.320      156.608        8.458,0  CUDA_API     cudaLaunchKernel                              
      1,0       30.555.200      2.046      14.934,0     11.808,0     8.224      158.240        8.998,0  CUDA_API     cudaLaunchKernel                              
      2,0       56.572.608      2.046      27.650,0     20.864,0     8.672      190.016       20.029,0  CUDA_API     cudaLaunchKernel                              
      1,0       35.538.208      2.046      17.369,0     12.544,0      8.448      225.536       12.878,0  CUDA_API     cudaLaunchKernel                              
      1,0       32.928.192      2.046      16.093,0     12.000,0     8.384      121.696       11.291,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.360.832      2.046      19.726,0     13.312,0     8.064      174.656       15.799,0  CUDA_API     cudaLaunchKernel                              
      2,0       58.971.488      2.046      28.822,0     22.576,0     8.512      215.104       21.864,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.910.688      2.046      18.529,0     12.704,0     8.288      181.536       14.917,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.097.344      2.046      19.597,0     12.800,0     8.096      183.392       17.486,0  CUDA_API     cudaLaunchKernel                              
      1,0       35.672.352      2.046      17.435,0     12.480,0      8.288      145.408       13.188,0  CUDA_API     cudaLaunchKernel                              
      1,0       28.355.264      2.046      13.858,0     11.648,0     8.160      116.640        7.109,0  CUDA_API     cudaLaunchKernel                              
      1,0       38.315.712      2.046      18.727,0     12.496,0     7.808      176.512       15.429,0  CUDA_API     cudaLaunchKernel                              
      1,0       33.516.704      2.046      16.381,0     12.224,0      8.160      176.192       11.721,0  CUDA_API     cudaLaunchKernel                              
      2,0       44.160.064      2.046      21.583,0     15.872,0     7.840      186.048       17.951,0  CUDA_API     cudaLaunchKernel                              
      2,0       44.225.248      2.046      21.615,0     15.232,0      8.192      184.320       18.117,0  CUDA_API     cudaLaunchKernel                              
      1,0       34.716.640      2.046      16.968,0     12.160,0     8.128      169.056       13.265,0  CUDA_API     cudaLaunchKernel                              
      1,0       30.281.632      2.046      14.800,0     11.264,0     8.032      162.560        9.852,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.032.480      2.046      20.055,0     13.936,0      8.224      172.032       15.655,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.633.376      2.046      14.483,0     11.776,0      8.512      175.968        8.881,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.990.016      2.046      18.567,0     12.128,0      7.936      343.840       17.672,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.838.720      2.046      20.449,0     14.720,0     8.384      139.872       15.572,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.468.544      2.046      19.779,0     13.888,0      8.416      117.248       14.270,0  CUDA_API     cudaLaunchKernel                              
      1,0       32.342.336      2.046      15.807,0     12.096,0     8.224      119.616       10.078,0  CUDA_API     cudaLaunchKernel                              
      1,0       38.152.736      2.046      18.647,0     13.120,0     8.096      127.712       14.158,0  CUDA_API     cudaLaunchKernel                              
      1,0       33.084.288      2.046      16.170,0     12.800,0      8.544      122.528       10.139,0  CUDA_API     cudaLaunchKernel                              
      1,0       39.557.728      2.046      19.334,0     13.712,0     7.712      184.800       14.915,0  CUDA_API     cudaLaunchKernel                              
      2,0       45.133.440      2.046      22.059,0     15.184,0     8.384      207.744       18.596,0  CUDA_API     cudaLaunchKernel                              
      1,0       35.814.816      2.046      17.504,0     12.032,0     8.224      164.352       14.250,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.151.264      2.046      14.247,0     12.080,0      8.224      117.952        7.492,0  CUDA_API     cudaLaunchKernel                              
      2,0       47.231.520      2.046      23.084,0     17.824,0     7.904      181.440       17.425,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.270.208      2.046      18.216,0     12.368,0     7.712      154.240       14.585,0  CUDA_API     cudaLaunchKernel                              
      2,0       49.577.344      2.046      24.231,0     17.872,0      8.608      201.600       21.263,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.174.208      2.046      19.635,0     13.184,0     8.128      176.064       16.515,0  CUDA_API     cudaLaunchKernel                              
      1,0       32.102.208      2.046      15.690,0     12.096,0     7.584      117.696       10.956,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.125.088      2.046      20.100,0     13.568,0     8.416      245.792       16.883,0  CUDA_API     cudaLaunchKernel                              
      2,0       47.739.840      2.046      23.333,0     17.504,0     8.448      201.792       20.103,0  CUDA_API     cudaLaunchKernel                              
      2,0       64.645.120      2.046      31.595,0     23.584,0     8.544      426.944       25.175,0  CUDA_API     cudaLaunchKernel                              
      2,0       55.537.792      2.046      27.144,0     20.624,0     7.616      194.208       19.984,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.159.776      2.046      20.606,0     14.464,0     8.288      154.208       15.985,0  CUDA_API     cudaLaunchKernel                              
      2,0       43.698.272      2.046      21.357,0     15.680,0      8.320      188.384       17.628,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.318.400      2.046      20.194,0     13.408,0      8.192      191.136       16.905,0  CUDA_API     cudaLaunchKernel                              
      1,0       34.811.872      2.046      17.014,0     12.256,0     8.192      138.752       12.663,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.053.152      2.046      20.553,0     14.080,0      8.096      179.328       16.942,0  CUDA_API     cudaLaunchKernel                              
      1,0       30.240.704      2.046      14.780,0     12.224,0      8.448      118.432        7.749,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.285.472      2.046      20.667,0     15.184,0     8.448      172.352       16.214,0  CUDA_API     cudaLaunchKernel                              
      2,0       46.574.144      2.046      22.763,0     15.696,0      8.416      236.032       19.661,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.183.040      2.046      20.617,0     14.864,0      7.872      150.688       16.195,0  CUDA_API     cudaLaunchKernel                              
      1,0       39.909.952      2.046      19.506,0     13.184,0      8.000      163.264       15.697,0  CUDA_API     cudaLaunchKernel                              
      2,0       55.444.160      2.046      27.098,0     21.056,0      8.608      370.272       21.359,0  CUDA_API     cudaLaunchKernel                              
      2,0       44.458.592      2.046      21.729,0     12.544,0      7.904      267.904       19.737,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.238.560      2.046      20.644,0     14.432,0      7.712      282.368       17.414,0  CUDA_API     cudaLaunchKernel                              
      2,0       50.212.032      2.046      24.541,0     18.208,0     8.352      188.800       21.308,0  CUDA_API     cudaLaunchKernel                              
      2,0       50.246.592      2.046      24.558,0     18.928,0     8.096      250.752       20.452,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.874.784      2.046      20.955,0     14.144,0     7.776      187.104       17.637,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.759.776      2.046      19.921,0     13.648,0     8.224      193.984       16.668,0  CUDA_API     cudaLaunchKernel                              
      1,0       43.407.488      2.046      21.215,0     13.504,0     8.480      181.088       18.647,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.828.160      2.046      14.578,0     11.872,0     8.544      121.312        9.345,0  CUDA_API     cudaLaunchKernel                              
      2,0       44.812.960      2.046      21.902,0     14.336,0      8.224      176.096       18.970,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.913.312      2.046      20.485,0     14.192,0      8.256      136.672       16.260,0  CUDA_API     cudaLaunchKernel                              
      1,0       38.830.944      2.046      18.979,0     12.640,0      8.256      167.680       16.213,0  CUDA_API     cudaLaunchKernel                              
      2,0       46.574.304      2.046      22.763,0     15.328,0      7.936      189.184       18.374,0  CUDA_API     cudaLaunchKernel                              
      1,0       38.520.416      2.046      18.827,0     12.512,0      8.128      164.640       15.160,0  CUDA_API     cudaLaunchKernel                              
      2,0       45.448.576      2.046      22.213,0     17.120,0     7.904      178.272       18.415,0  CUDA_API     cudaLaunchKernel                              
      1,0       39.935.872      2.046      19.519,0     14.032,0      8.224      165.984       14.727,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.485.344      2.046      14.411,0     11.968,0      8.256      133.984        8.931,0  CUDA_API     cudaLaunchKernel                              
      1,0       39.850.976      2.046      19.477,0     12.960,0      8.608      207.840       16.487,0  CUDA_API     cudaLaunchKernel                              
      2,0       54.191.584      2.046      26.486,0     19.552,0      8.224      182.720       21.082,0  CUDA_API     cudaLaunchKernel                              
      1,0       39.588.000      2.046      19.349,0     13.168,0     8.544      208.320       14.736,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.744.384      2.046      20.402,0     14.000,0     8.224      166.208       15.825,0  CUDA_API     cudaLaunchKernel                              
      1,0       38.423.488      2.046      18.779,0     12.224,0      8.000      176.032       16.238,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.762.432      2.046      20.900,0     13.616,0      8.352      162.592       17.042,0  CUDA_API     cudaLaunchKernel                              
      2,0       43.884.192      2.046      21.448,0     15.408,0      8.544      169.472       17.557,0  CUDA_API     cudaLaunchKernel                              
      2,0       43.598.336      2.046      21.309,0     15.824,0     8.448      177.216       16.661,0  CUDA_API     cudaLaunchKernel                              
      2,0       51.220.576      2.046      25.034,0     18.944,0     8.352      169.952       20.070,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.998.080      2.046      20.526,0     13.328,0     8.384      180.256       16.462,0  CUDA_API     cudaLaunchKernel                              
      2,0       62.088.640      2.046      30.346,0     23.104,0      8.640      187.264       22.464,0  CUDA_API     cudaLaunchKernel                              
      1,0       43.556.384      2.046      21.288,0     14.704,0     8.096      372.096       19.171,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.634.752      2.046      20.349,0     13.216,0      7.936      194.048       17.813,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.573.504      2.046      20.808,0     13.040,0      8.192      199.104       17.688,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.636.384      2.046      19.861,0     14.048,0      8.352      165.248       15.290,0  CUDA_API     cudaLaunchKernel                              
      2,0       44.374.048      2.046      21.688,0     15.360,0      8.160      160.160       17.718,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.415.808      2.046      14.377,0     11.360,0      8.000      139.168        9.252,0  CUDA_API     cudaLaunchKernel                              
      1,0       36.334.912      2.046      17.759,0     12.544,0      8.192      185.408       14.522,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.544.640      2.046      18.350,0     12.448,0     8.256      172.416       15.029,0  CUDA_API     cudaLaunchKernel                              
      1,0       34.551.360      2.046      16.887,0     12.288,0      8.128      127.808       12.079,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.339.744      2.046      20.205,0     13.280,0     8.480      767.424       23.453,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.624.256      2.046      14.479,0     12.080,0      8.256      116.000        8.012,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.569.792      2.046      19.828,0     13.248,0      8.256      175.040       17.168,0  CUDA_API     cudaLaunchKernel                              
      2,0       57.250.240      2.046      27.981,0     21.232,0      8.800      202.080       20.237,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.883.552      2.046      18.515,0     12.064,0     8.128      162.560       15.382,0  CUDA_API     cudaLaunchKernel                              
      1,0       34.350.400      2.046      16.789,0     11.936,0      7.936      172.128       13.117,0  CUDA_API     cudaLaunchKernel                              
      2,0       57.319.168      2.046      28.015,0     20.240,0     9.056      205.760       22.067,0  CUDA_API     cudaLaunchKernel                              
      1,0       28.729.632      2.046      14.041,0     11.744,0     7.904      118.752        8.030,0  CUDA_API     cudaLaunchKernel                              
      2,0       44.160.800      2.046      21.584,0     15.088,0     7.968      165.120       17.769,0  CUDA_API     cudaLaunchKernel                              
      1,0       36.805.824      2.046      17.989,0     12.288,0     7.936      158.144       14.901,0  CUDA_API     cudaLaunchKernel                              
      2,0       45.731.872      2.046      22.351,0     16.544,0     7.872      170.304       18.698,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.638.592      2.046      14.486,0     12.096,0     7.840      119.648        7.669,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.507.136      2.046      18.331,0     13.280,0      8.448      178.880       14.116,0  CUDA_API     cudaLaunchKernel                              
      1,0       39.598.912      2.046      19.354,0     13.120,0      8.416      315.072       16.467,0  CUDA_API     cudaLaunchKernel                              
      1,0       29.841.952      2.046      14.585,0     11.584,0      7.840      125.280        9.787,0  CUDA_API     cudaLaunchKernel                              
      2,0       55.868.096      2.046      27.306,0     20.608,0      8.512      262.400       20.796,0  CUDA_API     cudaLaunchKernel                              
      2,0       44.697.952      2.046      21.846,0     15.648,0      8.512      163.328       17.038,0  CUDA_API     cudaLaunchKernel                              
      2,0       60.720.416      2.046      29.677,0     23.184,0     8.896      183.616       20.808,0  CUDA_API     cudaLaunchKernel                              
      1,0       31.521.504      2.046      15.406,0     12.064,0     8.320      120.512       10.029,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.267.712      2.046      19.681,0     13.280,0      7.808      167.328       16.109,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.382.688      2.046      20.226,0     14.608,0     7.936      157.920       15.417,0  CUDA_API     cudaLaunchKernel                              
      1,0       36.556.768      2.046      17.867,0     11.968,0     8.192      189.600       15.238,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.838.976      2.046      18.494,0     12.544,0     8.064      214.656       15.207,0  CUDA_API     cudaLaunchKernel                              
      1,0       34.282.304      2.046      16.755,0     11.648,0     8.128      167.200       13.386,0  CUDA_API     cudaLaunchKernel                              
      1,0       38.561.472      2.046      18.847,0     12.896,0     8.128      211.616       15.976,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.520.320      2.046      20.782,0     15.088,0      8.352      193.664       16.952,0  CUDA_API     cudaLaunchKernel                              
      2,0       45.520.384      2.046      22.248,0     14.496,0      8.416      198.464       18.718,0  CUDA_API     cudaLaunchKernel                              
      2,0       58.418.656      2.046      28.552,0     21.056,0     8.608      200.928       21.773,0  CUDA_API     cudaLaunchKernel                              
      1,0       38.863.328      2.046      18.994,0     12.976,0     8.288      143.296       15.299,0  CUDA_API     cudaLaunchKernel                              
      2,0       65.870.400      2.046      32.194,0     23.168,0      8.416      199.808       22.641,0  CUDA_API     cudaLaunchKernel                              
      2,0       47.666.368      2.046      23.297,0     15.424,0     8.416      171.072       20.023,0  CUDA_API     cudaLaunchKernel                              
      1,0       35.106.912      2.046      17.158,0     12.352,0     8.128      178.688       13.331,0  CUDA_API     cudaLaunchKernel                              
      2,0       50.983.808      2.046      24.918,0     18.128,0      8.128      196.192       21.104,0  CUDA_API     cudaLaunchKernel                              
      2,0       53.173.760      2.046      25.989,0     18.944,0      8.000      272.000       23.794,0  CUDA_API     cudaLaunchKernel                              
      2,0       49.163.808      2.046      24.029,0     15.600,0      8.320      192.736       21.262,0  CUDA_API     cudaLaunchKernel                              
      2,0       54.704.320      2.046      26.737,0     20.384,0      8.480      490.560       21.765,0  CUDA_API     cudaLaunchKernel                              
      1,0       31.263.168      2.046      15.280,0     11.488,0     7.776      173.664       11.421,0  CUDA_API     cudaLaunchKernel                              
      2,0       48.426.336      2.046      23.668,0     15.024,0     7.552      278.368       21.772,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.215.744      2.046      18.189,0     12.544,0      7.968      176.896       14.253,0  CUDA_API     cudaLaunchKernel                              
      2,0       63.253.568      2.046      30.915,0     23.680,0      9.056      200.864       23.607,0  CUDA_API     cudaLaunchKernel                              
      2,0       47.717.152      2.046      23.322,0     17.552,0     8.128      187.680       19.314,0  CUDA_API     cudaLaunchKernel                              
      2,0       57.716.896      2.046      28.209,0     21.472,0      8.160      248.320       21.673,0  CUDA_API     cudaLaunchKernel                              
      1,0       44.361.952      2.046      21.682,0     14.928,0     8.480      202.272       17.476,0  CUDA_API     cudaLaunchKernel                              
      1,0       33.439.744      2.046      16.344,0     12.224,0     8.160      167.200       12.768,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.247.136      2.046      20.159,0     13.792,0      8.192      167.840       16.209,0  CUDA_API     cudaLaunchKernel                              
      1,0       36.696.448      2.046      17.935,0     12.448,0      8.256      171.232       14.797,0  CUDA_API     cudaLaunchKernel                              
      1,0       37.760.192      2.046      18.455,0     12.464,0      8.320      178.656       14.672,0  CUDA_API     cudaLaunchKernel                              
      1,0       42.374.400      2.046      20.710,0     14.992,0     8.384      219.936       16.572,0  CUDA_API     cudaLaunchKernel                              
      1,0       39.315.904      2.046      19.216,0     12.864,0      7.808      173.888       16.150,0  CUDA_API     cudaLaunchKernel                              
      1,0       40.721.344      2.046      19.902,0     13.136,0     7.648      170.784       16.560,0  CUDA_API     cudaLaunchKernel                              
      2,0       59.951.232      2.046      29.301,0     22.144,0     8.576      176.032       22.073,0  CUDA_API     cudaLaunchKernel                              
      1,0       41.055.936      2.046      20.066,0     13.632,0     8.480      159.360       15.029,0  CUDA_API     cudaLaunchKernel                              
      1,0       34.873.024      2.046      17.044,0     11.968,0      7.840      271.872       13.858,0  CUDA_API     cudaLaunchKernel                              
      1,0       31.913.056      2.046      15.597,0     11.584,0     8.128      164.192       11.208,0  CUDA_API     cudaLaunchKernel                              
      3,0       70.503.264      2.046      34.459,0     23.536,0     8.192      207.232       26.443,0  CUDA_API     cudaLaunchKernel                              
      2,0       47.976.160      2.046      23.448,0     15.008,0      8.448      179.424       20.135,0  CUDA_API     cudaLaunchKernel                              
      2,0       64.563.136      2.046      31.555,0     23.872,0      8.736      189.952       22.305,0  CUDA_API     cudaLaunchKernel                              
      1,0       33.372.288      2.046      16.311,0     11.936,0     7.712      150.720       11.729,0  CUDA_API     cudaLaunchKernel                              
      2,0       45.765.536      2.046      22.368,0     16.752,0     8.256      265.632       18.786,0  CUDA_API     cudaLaunchKernel                              
      2,0       45.577.888      2.046      22.276,0     16.192,0      8.416      196.992       18.482,0  CUDA_API     cudaLaunchKernel                              
      2,0       50.976.352      2.046      24.915,0     18.640,0      8.256      372.608       23.339,0  CUDA_API     cudaLaunchKernel                              
      2,0       59.578.528      2.046      29.119,0     22.288,0     8.672      188.032       21.446,0  CUDA_API     cudaLaunchKernel                              
