0,0 19.872 2 9.936,0 9.936,0 8.320 11.552 2.285,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.712 2 9.856,0 9.856,0 8.192 11.520 2.353,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.752 2 9.376,0 9.376,0 7.136 11.616 3.167,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.008 2 9.504,0 9.504,0 7.008 12.000 3.529,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.688 2 5.344,0 5.344,0 3.552 7.136 2.534,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.520 2 5.760,0 5.760,0 4.384 7.136 1.946,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.536 2 4.768,0 4.768,0 3.552 5.984 1.719,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.792 2 6.896,0 6.896,0 5.312 8.480 2.240,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.616 2 9.808,0 9.808,0 7.008 12.608 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.272 2 5.136,0 5.136,0 3.552 6.720 2.240,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.912 2 9.456,0 9.456,0 7.136 11.776 3.281,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.656 2 9.328,0 9.328,0 7.040 11.616 3.235,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.816 2 9.408,0 9.408,0 7.008 11.808 3.394,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.784 2 9.392,0 9.392,0 7.136 11.648 3.190,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.624 2 9.312,0 9.312,0 7.072 11.552 3.167,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.528 2 9.264,0 9.264,0 7.072 11.456 3.100,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.496 2 9.248,0 9.248,0 7.008 11.488 3.167,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.464 2 9.232,0 9.232,0 7.040 11.424 3.100,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.656 2 9.328,0 9.328,0 7.008 11.648 3.281,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.656 2 9.328,0 9.328,0 7.072 11.584 3.190,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.592 2 9.296,0 9.296,0 6.976 11.616 3.281,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.496 2 9.248,0 9.248,0 7.008 11.488 3.167,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.528 2 9.264,0 9.264,0 6.976 11.552 3.235,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.560 2 9.280,0 9.280,0 7.040 11.520 3.167,0 CUDA_KERNEL Fan1(float *, float *, int, int)
