0,0 22.560 2 11.280,0 11.280,0 8.800 13.760 3.507,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.496 2 11.248,0 11.248,0 8.928 13.568 3.281,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 23.488 2 11.744,0 11.744,0 8.704 14.784 4.299,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.016 2 11.008,0 11.008,0 8.608 13.408 3.394,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.672 2 6.336,0 6.336,0 4.096 8.576 3.167,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 13.216 2 6.608,0 6.608,0 4.992 8.224 2.285,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.264 2 5.632,0 5.632,0 4.096 7.168 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 16.032 2 8.016,0 8.016,0 6.400 9.632 2.285,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.824 2 10.912,0 10.912,0 8.160 13.664 3.891,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 12.640 2 6.320,0 6.320,0 4.096 8.544 3.145,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.208 2 11.104,0 11.104,0 8.032 14.176 4.344,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.176 2 11.088,0 11.088,0 8.640 13.536 3.462,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.824 2 10.912,0 10.912,0 8.608 13.216 3.258,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.856 2 10.928,0 10.928,0 8.096 13.760 4.005,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 8.064 13.504 3.846,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 8.160 13.408 3.710,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.240 2 11.120,0 11.120,0 8.864 13.376 3.190,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.432 2 11.216,0 11.216,0 8.064 14.368 4.457,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.728 2 10.864,0 10.864,0 8.032 13.696 4.005,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.688 2 11.344,0 11.344,0 9.184 13.504 3.054,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.536 2 10.768,0 10.768,0 8.032 13.504 3.869,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 23.456 2 11.728,0 11.728,0 8.736 14.720 4.231,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.280 2 10.640,0 10.640,0 8.032 13.248 3.688,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.280 2 10.640,0 10.640,0 8.032 13.248 3.688,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.488 2 9.744,0 9.744,0 7.200 12.288 3.597,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.440 2 10.720,0 10.720,0 7.968 13.472 3.891,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.624 2 11.312,0 11.312,0 8.128 14.496 4.502,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.112 2 11.056,0 11.056,0 8.096 14.016 4.186,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.824 2 10.912,0 10.912,0 8.096 13.728 3.982,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 22.144 2 11.072,0 11.072,0 8.160 13.984 4.118,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.760 2 10.880,0 10.880,0 8.512 13.248 3.348,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
