0,0 80.640 2 40.320,0 40.320,0 36.288 44.352 5.702,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.176 2 21.088,0 21.088,0 18.304 23.872 3.937,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.336 2 21.168,0 21.168,0 18.432 23.904 3.869,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.656 2 21.328,0 21.328,0 17.984 24.672 4.729,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 52.864 2 26.432,0 26.432,0 22.624 30.240 5.385,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.424 2 21.712,0 21.712,0 18.336 25.088 4.774,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.240 2 21.120,0 21.120,0 17.792 24.448 4.706,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.944 2 21.472,0 21.472,0 18.240 24.704 4.570,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.328 2 39.664,0 39.664,0 36.032 43.296 5.136,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.592 2 21.296,0 21.296,0 18.464 24.128 4.005,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.720 2 21.360,0 21.360,0 18.560 24.160 3.959,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.624 2 21.312,0 21.312,0 18.784 23.840 3.575,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.584 2 39.792,0 39.792,0 35.872 43.712 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.968 2 21.984,0 21.984,0 18.784 25.184 4.525,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.304 2 21.152,0 21.152,0 18.144 24.160 4.254,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 79.904 2 39.952,0 39.952,0 36.032 43.872 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.424 2 21.712,0 21.712,0 18.560 24.864 4.457,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.240 2 21.120,0 21.120,0 18.112 24.128 4.254,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.856 2 20.928,0 20.928,0 18.112 23.744 3.982,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.104 2 21.552,0 21.552,0 18.240 24.864 4.683,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.624 2 21.312,0 21.312,0 18.208 24.416 4.389,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.240 2 21.120,0 21.120,0 18.176 24.064 4.163,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.600 2 20.800,0 20.800,0 17.856 23.744 4.163,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.880 2 21.440,0 21.440,0 18.176 24.704 4.616,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 81.024 2 40.512,0 40.512,0 37.056 43.968 4.887,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 80.480 2 40.240,0 40.240,0 36.128 44.352 5.815,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.664 2 20.832,0 20.832,0 17.920 23.744 4.118,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.568 2 20.784,0 20.784,0 17.792 23.776 4.231,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.648 2 21.824,0 21.824,0 18.272 25.376 5.023,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.976 2 21.488,0 21.488,0 18.400 24.576 4.367,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 44.160 2 22.080,0 22.080,0 18.592 25.568 4.932,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 80.448 2 40.224,0 40.224,0 36.512 43.936 5.249,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.328 2 21.664,0 21.664,0 18.432 24.896 4.570,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.432 2 21.216,0 21.216,0 18.720 23.712 3.529,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 51.968 2 25.984,0 25.984,0 22.624 29.344 4.751,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.304 2 21.152,0 21.152,0 18.624 23.680 3.575,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 72.960 2 36.480,0 36.480,0 33.376 39.584 4.389,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.208 2 21.104,0 21.104,0 18.304 23.904 3.959,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
