1,0 6.952.704 1 6.952.704,0 6.952.704,0 6.952.704 6.952.704 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 5.427.808 1 5.427.808,0 5.427.808,0 5.427.808 5.427.808 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 5.424.416 1 5.424.416,0 5.424.416,0 5.424.416 5.424.416 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 6.447.648 1 6.447.648,0 6.447.648,0 6.447.648 6.447.648 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 6.899.296 1 6.899.296,0 6.899.296,0 6.899.296 6.899.296 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 6.836.416 1 6.836.416,0 6.836.416,0 6.836.416 6.836.416 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 6.804.352 1 6.804.352,0 6.804.352,0 6.804.352 6.804.352 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 5.435.168 1 5.435.168,0 5.435.168,0 5.435.168 5.435.168 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 5.412.928 1 5.412.928,0 5.412.928,0 5.412.928 5.412.928 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 5.437.792 1 5.437.792,0 5.437.792,0 5.437.792 5.437.792 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 6.783.008 1 6.783.008,0 6.783.008,0 6.783.008 6.783.008 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 5.469.728 1 5.469.728,0 5.469.728,0 5.469.728 5.469.728 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 5.464.960 1 5.464.960,0 5.464.960,0 5.464.960 5.464.960 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 6.847.584 1 6.847.584,0 6.847.584,0 6.847.584 6.847.584 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 5.416.352 1 5.416.352,0 5.416.352,0 5.416.352 5.416.352 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 5.465.280 1 5.465.280,0 5.465.280,0 5.465.280 5.465.280 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
