2,0 14.905.920 2 7.452.960,0 7.452.960,0 7.452.224 7.453.696 1.040,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.080.672 2 5.540.336,0 5.540.336,0 5.509.344 5.571.328 43.829,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.038.496 2 5.519.248,0 5.519.248,0 5.514.496 5.524.000 6.720,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.754.560 2 5.877.280,0 5.877.280,0 5.570.304 6.184.256 434.129,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.894.272 2 6.447.136,0 6.447.136,0 5.555.776 7.338.496 1.260.573,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.631.072 2 6.315.536,0 6.315.536,0 5.563.200 7.067.872 1.063.963,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.035.264 2 6.517.632,0 6.517.632,0 5.588.192 7.447.072 1.314.426,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.044.480 2 5.522.240,0 5.522.240,0 5.518.848 5.525.632 4.797,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.042.752 2 5.521.376,0 5.521.376,0 5.521.184 5.521.568 271,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.132.032 2 5.566.016,0 5.566.016,0 5.563.520 5.568.512 3.529,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.998.208 2 6.499.104,0 6.499.104,0 5.558.688 7.439.520 1.329.949,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.043.232 2 5.521.616,0 5.521.616,0 5.519.616 5.523.616 2.828,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 11.131.232 2 5.565.616,0 5.565.616,0 5.553.632 5.577.600 16.947,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.014.016 2 6.507.008,0 6.507.008,0 5.564.832 7.449.184 1.332.438,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.065.152 2 5.532.576,0 5.532.576,0 5.507.264 5.557.888 35.796,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.036.896 2 5.518.448,0 5.518.448,0 5.509.568 5.527.328 12.558,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.878.240 2 7.439.120,0 7.439.120,0 7.432.800 7.445.440 8.937,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.119.136 2 5.559.568,0 5.559.568,0 5.549.184 5.569.952 14.685,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.032.256 2 5.516.128,0 5.516.128,0 5.509.408 5.522.848 9.503,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.009.024 2 6.504.512,0 6.504.512,0 5.572.224 7.436.800 1.318.454,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.037.056 2 5.518.528,0 5.518.528,0 5.510.112 5.526.944 11.902,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.136.672 2 5.568.336,0 5.568.336,0 5.560.512 5.576.160 11.064,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.032.064 2 5.516.032,0 5.516.032,0 5.514.688 5.517.376 1.900,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.040.416 2 5.520.208,0 5.520.208,0 5.510.240 5.530.176 14.096,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
