     36,0      113.307.936        127     892.188,0     642.976,0      8.096    2.662.880     825.647,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.694.400        127     115.703,0     108.032,0     69.120      207.296      38.580,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.388.544        128      65.535,0      67.392,0     62.304       70.208       2.698,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.818.048        127     896.205,0     658.400,0      8.288    2.682.176     827.122,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.696.704        127     115.722,0     107.648,0     69.728      205.568      38.569,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.414.624        128      65.739,0      67.632,0     62.336       71.296       2.697,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.889.632        127     896.768,0     638.112,0      8.448    2.667.392     828.582,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.684.416        127     115.625,0     108.064,0     69.504      205.120      38.633,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.406.528        128      65.676,0      67.360,0     62.272       71.712       2.629,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      112.408.256        127     885.104,0     617.056,0      7.488    2.666.176     825.369,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.562.624        127     114.666,0     107.456,0     68.448      205.856      39.214,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.302.688        128      64.864,0      66.032,0     61.248       71.136       3.106,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      113.834.976        127     896.338,0     646.048,0      7.136    2.666.272     829.101,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.585.568        127     114.847,0     107.328,0     68.192      206.112      39.254,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.328.832        128      65.069,0      67.472,0     61.216       70.592       3.249,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.476.864        127     893.518,0     654.784,0      8.160    2.699.392     825.261,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.684.544        127     115.626,0     108.896,0     69.632      206.112      38.561,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.410.144        128      65.704,0      67.376,0     62.304       71.136       2.615,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.861.696        127     896.548,0     657.920,0      8.000    2.657.376     826.739,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.672.320        127     115.530,0     107.936,0     68.736      204.992      38.774,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.394.784        128      65.584,0      67.440,0     62.272       71.008       2.777,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      113.936.224        127     897.135,0     656.512,0      8.224    2.687.232     828.909,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.686.368        127     115.640,0     108.288,0     69.280      205.600      38.735,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.400.672        128      65.630,0      67.456,0     62.272       70.208       2.714,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      114.041.568        127     897.965,0     645.664,0      8.416    2.697.024     829.898,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.688.800        127     115.659,0     108.160,0     69.152      207.040      38.792,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.394.752        128      65.584,0      67.408,0     62.240       71.040       2.637,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      111.962.912        127     881.597,0     622.784,0      7.424    2.670.752     827.873,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.555.808        127     114.612,0     106.400,0     67.584      206.016      39.248,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.280.384        128      64.690,0      65.776,0     61.216       71.008       2.913,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      113.814.944        127     896.180,0     665.568,0      6.720    2.708.576     830.010,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.598.912        127     114.952,0     108.544,0     67.520      205.568      39.293,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.335.904        128      65.124,0      67.424,0     61.184       70.784       3.262,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     37,0      113.471.424        127     893.475,0     635.264,0      7.008    2.694.240     827.688,0  CUDA_KERNEL  lud_internal(float *, int, int) 
