2,0 8.388.544 128 65.535,0 67.392,0 62.304 70.208 2.698,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.414.624 128 65.739,0 67.632,0 62.336 71.296 2.697,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.406.528 128 65.676,0 67.360,0 62.272 71.712 2.629,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.302.688 128 64.864,0 66.032,0 61.248 71.136 3.106,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.328.832 128 65.069,0 67.472,0 61.216 70.592 3.249,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.410.144 128 65.704,0 67.376,0 62.304 71.136 2.615,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.394.784 128 65.584,0 67.440,0 62.272 71.008 2.777,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.400.672 128 65.630,0 67.456,0 62.272 70.208 2.714,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.394.752 128 65.584,0 67.408,0 62.240 71.040 2.637,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.280.384 128 64.690,0 65.776,0 61.216 71.008 2.913,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.335.904 128 65.124,0 67.424,0 61.184 70.784 3.262,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.325.952 128 65.046,0 66.944,0 61.184 71.008 3.233,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.406.400 128 65.675,0 67.488,0 62.272 71.232 2.735,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.381.440 128 65.480,0 67.472,0 62.240 70.752 2.796,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.305.248 128 64.884,0 65.296,0 61.184 71.712 2.942,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.303.744 128 64.873,0 64.400,0 61.152 70.144 3.029,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.413.856 128 65.733,0 67.440,0 62.336 71.008 2.635,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.303.200 128 64.868,0 65.968,0 61.248 70.656 3.053,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.414.080 128 65.735,0 66.176,0 62.336 71.104 2.616,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.370.784 128 34.146,0 35.472,0 31.168 38.368 2.229,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.392.288 128 65.564,0 67.392,0 62.304 70.240 2.725,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.390.624 128 65.551,0 67.392,0 62.240 70.656 2.801,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.258.592 128 64.520,0 64.272,0 61.120 70.080 2.917,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.316.896 128 64.975,0 64.448,0 61.248 70.464 3.038,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.378.880 128 65.460,0 66.048,0 62.272 70.656 2.622,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.397.216 128 65.603,0 67.584,0 62.272 71.040 2.664,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.382.688 128 65.489,0 66.160,0 62.336 70.752 2.645,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.393.280 128 65.572,0 67.456,0 62.240 70.304 2.839,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.324.576 128 65.035,0 67.296,0 61.216 71.072 3.071,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.343.520 128 65.183,0 67.152,0 61.184 70.432 3.107,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.314.080 128 64.953,0 66.240,0 61.152 69.920 3.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.375.808 128 65.436,0 66.912,0 61.216 70.048 2.716,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.401.536 128 65.637,0 67.584,0 62.272 71.392 2.666,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.394.752 128 65.584,0 67.072,0 62.240 71.040 2.772,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.403.488 128 65.652,0 67.536,0 62.304 71.264 2.624,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.336.000 128 65.125,0 65.744,0 61.216 70.464 3.084,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.357.760 128 65.295,0 66.896,0 61.216 71.296 2.965,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.347.776 128 65.217,0 67.392,0 61.216 71.712 3.242,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.412.320 128 65.721,0 66.944,0 62.240 71.456 2.710,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.294.688 128 64.802,0 65.840,0 61.184 70.464 3.078,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.198.976 128 48.429,0 48.512,0 46.080 52.224 1.948,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.369.728 128 65.388,0 64.928,0 62.272 71.424 2.470,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.321.152 128 65.009,0 65.952,0 61.184 71.424 3.059,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.310.240 128 64.923,0 64.368,0 61.248 71.008 2.948,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.415.840 128 65.748,0 67.120,0 62.304 71.456 2.666,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.345.312 128 65.197,0 64.432,0 62.272 70.656 2.527,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.425.568 128 65.824,0 66.704,0 62.272 70.080 2.583,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.400.192 128 65.626,0 66.624,0 62.272 71.424 2.598,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.302.624 128 64.864,0 65.952,0 61.184 70.400 3.034,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.331.136 128 65.087,0 66.144,0 61.216 71.008 3.047,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.380.320 128 65.471,0 65.136,0 62.272 70.336 2.473,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.357.248 128 65.291,0 65.280,0 61.248 71.104 3.046,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.398.592 128 65.614,0 66.064,0 62.304 71.456 2.628,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.243.072 128 48.774,0 50.000,0 46.720 51.808 1.775,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.388.128 128 65.532,0 67.408,0 62.272 71.072 2.744,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.232.224 128 33.064,0 33.920,0 31.168 36.192 1.514,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.406.240 128 65.673,0 67.504,0 62.336 70.464 2.674,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.285.632 128 64.731,0 65.840,0 61.184 70.624 3.077,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.225.664 128 48.638,0 50.080,0 46.048 52.352 2.030,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.313.600 128 64.950,0 67.376,0 61.248 71.296 3.041,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.229.312 128 33.041,0 34.032,0 31.136 35.872 1.584,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.251.808 128 48.842,0 50.048,0 46.720 52.832 1.706,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.228.928 128 33.038,0 33.584,0 31.136 35.936 1.553,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.215.040 128 32.930,0 33.792,0 31.168 35.904 1.414,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.240.000 128 48.750,0 49.568,0 46.688 52.160 1.737,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.117.120 128 47.790,0 49.472,0 38.976 52.288 3.143,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.239.520 128 33.121,0 33.824,0 31.168 35.680 1.459,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.236.896 128 48.725,0 48.544,0 46.720 52.128 1.685,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.235.296 128 33.088,0 33.600,0 31.136 35.840 1.480,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.218.240 128 32.955,0 33.328,0 31.136 36.000 1.471,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.214.496 128 32.925,0 32.688,0 31.168 35.904 1.437,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.259.360 128 33.276,0 33.040,0 31.360 36.384 1.453,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.235.936 128 33.093,0 33.488,0 31.136 36.352 1.531,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.219.264 128 32.963,0 32.784,0 31.136 36.096 1.532,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.222.112 128 32.985,0 32.880,0 31.168 35.968 1.479,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.217.536 128 32.949,0 33.456,0 31.168 35.552 1.481,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.225.120 128 33.008,0 34.032,0 31.136 35.712 1.589,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.220.192 128 32.970,0 33.456,0 31.168 36.000 1.384,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.228.384 128 33.034,0 33.904,0 31.168 36.032 1.552,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.236.352 128 33.096,0 33.520,0 31.136 35.712 1.472,0 CUDA_KERNEL lud_diagonal(float *, int, int)
