36,0 113.307.936 127 892.188,0 642.976,0 8.096 2.662.880 825.647,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.818.048 127 896.205,0 658.400,0 8.288 2.682.176 827.122,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.889.632 127 896.768,0 638.112,0 8.448 2.667.392 828.582,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.408.256 127 885.104,0 617.056,0 7.488 2.666.176 825.369,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.834.976 127 896.338,0 646.048,0 7.136 2.666.272 829.101,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.476.864 127 893.518,0 654.784,0 8.160 2.699.392 825.261,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.861.696 127 896.548,0 657.920,0 8.000 2.657.376 826.739,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.936.224 127 897.135,0 656.512,0 8.224 2.687.232 828.909,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 114.041.568 127 897.965,0 645.664,0 8.416 2.697.024 829.898,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 111.962.912 127 881.597,0 622.784,0 7.424 2.670.752 827.873,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.814.944 127 896.180,0 665.568,0 6.720 2.708.576 830.010,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.471.424 127 893.475,0 635.264,0 7.008 2.694.240 827.688,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.380.096 127 892.756,0 655.712,0 8.128 2.693.376 825.234,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 112.930.080 127 889.213,0 648.992,0 7.968 2.662.880 820.927,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.214.240 127 891.450,0 608.480,0 7.104 2.678.304 834.346,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.806.144 127 896.111,0 631.904,0 7.104 2.704.064 832.914,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.473.120 127 893.489,0 630.240,0 8.512 2.685.152 825.126,0 CUDA_KERNEL lud_internal(float *, int, int)
