4,0 14.694.400 127 115.703,0 108.032,0 69.120 207.296 38.580,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.696.704 127 115.722,0 107.648,0 69.728 205.568 38.569,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.684.416 127 115.625,0 108.064,0 69.504 205.120 38.633,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.562.624 127 114.666,0 107.456,0 68.448 205.856 39.214,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.585.568 127 114.847,0 107.328,0 68.192 206.112 39.254,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.684.544 127 115.626,0 108.896,0 69.632 206.112 38.561,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.672.320 127 115.530,0 107.936,0 68.736 204.992 38.774,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.686.368 127 115.640,0 108.288,0 69.280 205.600 38.735,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.688.800 127 115.659,0 108.160,0 69.152 207.040 38.792,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.555.808 127 114.612,0 106.400,0 67.584 206.016 39.248,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.598.912 127 114.952,0 108.544,0 67.520 205.568 39.293,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.588.320 127 114.868,0 107.968,0 67.776 206.368 39.322,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.679.904 127 115.589,0 107.776,0 69.568 205.760 38.844,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.686.112 127 115.638,0 107.936,0 69.216 206.176 38.722,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.583.136 127 114.827,0 106.848,0 68.032 205.568 39.328,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.589.120 127 114.875,0 105.472,0 67.648 206.048 39.275,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.690.272 127 115.671,0 106.848,0 69.696 206.560 38.698,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.585.824 127 114.849,0 106.752,0 68.352 206.336 39.278,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.695.840 127 115.715,0 107.360,0 68.864 205.664 38.734,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 7.631.872 127 60.093,0 58.176,0 34.496 113.632 20.812,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.683.008 127 115.614,0 107.904,0 69.408 206.336 38.840,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.697.728 127 115.730,0 109.120,0 68.736 205.952 38.760,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.543.360 127 114.514,0 104.608,0 68.416 206.432 39.181,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.584.672 127 114.839,0 105.696,0 67.872 205.952 39.379,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.683.520 127 115.618,0 108.320,0 69.248 205.248 38.597,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.677.376 127 115.569,0 107.392,0 69.440 207.200 38.842,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.682.880 127 115.613,0 107.872,0 68.736 207.328 38.633,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.679.328 127 115.585,0 108.864,0 69.472 206.368 38.812,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.589.536 127 114.878,0 108.224,0 67.680 206.656 39.361,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.641.600 127 115.288,0 108.096,0 67.808 205.824 39.046,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.584.704 127 114.840,0 105.568,0 67.840 206.944 39.398,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.669.088 127 115.504,0 107.648,0 67.744 206.368 38.831,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.673.824 127 115.541,0 108.512,0 69.440 206.432 38.695,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.677.856 127 115.573,0 107.776,0 68.768 206.688 38.782,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.677.760 127 115.572,0 108.416,0 69.312 206.144 38.664,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.619.168 127 115.111,0 108.320,0 67.648 205.920 39.336,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.651.488 127 115.366,0 107.712,0 68.032 204.832 39.061,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.616.416 127 115.089,0 108.608,0 68.352 206.464 39.120,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.688.704 127 115.659,0 107.968,0 69.600 205.216 38.633,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.549.760 127 114.565,0 104.896,0 67.776 205.504 39.381,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.903.392 127 85.853,0 79.968,0 51.104 152.480 29.185,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.677.408 127 115.570,0 106.688,0 69.600 206.016 38.652,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.563.424 127 114.672,0 107.040,0 68.160 206.016 39.258,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.579.520 127 114.799,0 105.120,0 67.648 206.272 39.314,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.694.976 127 115.708,0 107.200,0 69.248 206.240 38.756,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.669.024 127 115.504,0 106.528,0 69.504 206.176 38.788,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.714.432 127 115.861,0 108.992,0 69.312 206.592 38.737,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.685.600 127 115.634,0 106.752,0 69.312 205.760 38.773,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.575.136 127 114.764,0 106.464,0 68.160 206.016 39.294,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.618.624 127 115.107,0 106.624,0 68.352 206.368 39.283,0 CUDA_KERNEL lud_perimeter(float *, int, int)
