      8,0          191.840          4   47.960,0   47.040,0    46.752    51.008      2.047,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          161.056          3   53.685,0   52.000,0    51.552    57.504      3.314,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.952          3    7.317,0    7.328,0     6.240     8.384      1.072,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          191.904          4   47.976,0   46.976,0    46.720    51.232      2.177,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          160.704          3   53.568,0   52.416,0    51.488    56.800      2.837,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.080          3    7.360,0    7.360,0     6.272     8.448      1.088,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          192.256          4   48.064,0   46.896,0    46.784    51.680      2.412,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          161.376          3   53.792,0   52.416,0    51.488    57.472      3.220,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.112          3    7.370,0    7.232,0     6.176     8.704      1.269,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.248          4     64.312,0     62.624,0    62.336     69.664      3.576,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.512          3     72.170,0     70.848,0    69.216     76.448      3.793,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.440          3      9.813,0      9.440,0     8.064     11.936      1.962,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.640          4     64.160,0     62.736,0    62.272     68.896      3.179,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.320          3     72.106,0     69.792,0    68.768     77.760      4.922,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.672          3      9.557,0      9.568,0     7.968     11.136      1.584,0  CUDA_KERNEL  lud_internal(float *, int, int) 
     10,0          192.160          4   48.040,0   46.992,0    46.720    51.456      2.281,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      8,0          160.864          3   53.621,0   52.736,0    51.488    56.640      2.687,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           22.208          3    7.402,0    7.200,0     6.240     8.768      1.276,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          191.776          4   47.944,0   46.768,0    46.752    51.488      2.362,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          161.344          3   53.781,0   52.256,0    51.904    57.184      2.952,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.792          3    7.264,0    7.104,0     6.144     8.544      1.208,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.896          4     64.224,0     62.688,0    62.368     69.152      3.299,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.296          3     71.765,0     69.920,0    68.640     76.736      4.352,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.024          3      9.674,0      9.600,0     8.096     11.328      1.617,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          191.648          4   47.912,0   46.944,0    46.720    51.040      2.090,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          160.448          3   53.482,0   52.288,0    51.520    56.640      2.761,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.208          3    7.402,0    7.296,0     6.336     8.576      1.123,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.408          4     64.352,0     62.672,0    62.336     69.728      3.588,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.936          3     71.978,0     70.848,0    68.640     76.448      4.024,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.312          3      9.770,0      9.696,0     8.128     11.488      1.681,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          191.520          4   47.880,0   46.848,0    46.720    51.104      2.150,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          160.864          3   53.621,0   52.128,0    52.096    56.640      2.614,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.952          3    7.317,0    7.264,0     6.272     8.416      1.073,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.568          4     64.392,0     62.832,0    62.368     69.536      3.439,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.296          3     71.765,0     70.432,0    68.672     76.192      3.933,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.736          3      9.578,0      9.472,0     7.968     11.296      1.666,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      9,0          192.768          4   48.192,0   47.216,0    46.720    51.616      2.295,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      8,0          160.544          3   53.514,0   52.320,0    51.520    56.704      2.790,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           22.400          3    7.466,0    7.296,0     6.336     8.768      1.224,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.992          4     64.248,0     62.736,0    62.336     69.184      3.309,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.392          3     71.797,0     70.368,0    68.608     76.416      4.095,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.768          3      9.589,0      9.600,0     8.096     11.072      1.488,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.408          4     64.352,0     62.864,0    62.336     69.344      3.361,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.480          3     72.160,0     69.568,0    69.568     77.344      4.489,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.800          3      9.600,0      9.568,0     8.128     11.104      1.488,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          195.328          4   48.832,0   47.344,0    47.104    53.536      3.138,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          163.040          3   54.346,0   52.800,0    51.520    58.720      3.841,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.040          3    7.680,0    7.264,0     5.728    10.048      2.189,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      9,0          192.064          4   48.016,0   46.864,0    46.720    51.616      2.403,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      8,0          161.120          3   53.706,0   52.608,0    51.488    57.024      2.927,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           22.592          3    7.530,0    7.232,0     6.272     9.088      1.431,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          155.936          4   38.984,0   38.112,0    37.856    41.856      1.918,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          130.688          3   43.562,0   42.624,0    41.664    46.400      2.503,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           17.408          3    5.802,0    5.728,0     4.768     6.912      1.073,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          191.904          4   47.976,0   46.928,0    46.784    51.264      2.193,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          161.408          3   53.802,0   52.544,0    52.160    56.704      2.520,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.856          3    7.285,0    7.232,0     6.240     8.384      1.073,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          253.056          4   63.264,0   61.712,0    61.632     68.000      3.158,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      7,0          213.728          3   71.242,0   69.600,0    67.840     76.288      4.457,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           27.744          3    9.248,0    8.960,0     7.328     11.456      2.079,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.280          4     64.320,0     62.528,0    62.336     69.888      3.715,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.192          3     72.064,0     70.240,0    68.960     76.992      4.315,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.336          3     10.112,0      9.664,0     8.000     12.672      2.368,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.448          4     64.112,0     62.592,0    62.304     68.960      3.241,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.904          3     71.968,0     70.624,0    69.152     76.128      3.677,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.864          3      9.621,0      9.408,0     8.096     11.360      1.642,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          191.936          4     47.984,0     46.976,0     46.720     51.264      2.193,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          161.088          3     53.696,0     52.768,0     51.520     56.800      2.759,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.952          3      7.317,0      7.296,0      6.208      8.448      1.120,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          192.256          4   48.064,0   47.136,0    46.752    51.232      2.121,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          161.216          3   53.738,0   52.608,0    51.712    56.896      2.770,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.952          3    7.317,0    7.296,0     6.272     8.384      1.056,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          192.768          4   48.192,0   47.040,0    46.720    51.968      2.524,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          160.448          3   53.482,0   52.352,0    51.456    56.640      2.770,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.920          3    7.306,0    7.328,0     6.208     8.384      1.088,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      6,0          191.264          4     47.816,0     46.832,0    46.720     50.880      2.043,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      5,0          160.864          3     53.621,0     52.736,0    51.488     56.640      2.687,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.048          3      7.349,0      7.328,0     6.304      8.416      1.056,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      9,0          192.224          4   48.056,0   47.008,0    46.784    51.424      2.247,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      8,0          161.248          3   53.749,0   52.640,0    51.584    57.024      2.884,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           22.080          3    7.360,0    7.360,0     6.304     8.416      1.056,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          192.288          4   48.072,0   46.912,0    46.784    51.680      2.408,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          161.120          3   53.706,0   52.384,0    51.872    56.864      2.746,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.240          3    7.413,0    7.264,0     6.112     8.864      1.382,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      9,0          192.256          4   48.064,0   47.120,0    46.816    51.200      2.097,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      8,0          160.672          3   53.557,0   52.160,0    52.128    56.384      2.448,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           21.312          3    7.104,0    7.200,0     6.144     7.968        915,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          161.472          4   40.368,0   39.392,0    39.040    43.648      2.202,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          135.200          3   45.066,0   43.776,0    43.456    47.968      2.517,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           17.824          3    5.941,0    5.824,0     4.864     7.136      1.140,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          161.344          4   40.336,0   39.280,0    39.264    43.520      2.122,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          136.256          3   45.418,0   44.160,0    43.776    48.320      2.520,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           18.400          3    6.133,0    5.728,0     4.800     7.872      1.575,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.384          4     64.096,0     62.672,0    62.400     68.640      3.038,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.416          3     72.138,0     70.304,0    68.832     77.280      4.512,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.408          3      9.802,0      9.568,0     8.192     11.648      1.739,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.120          4     64.280,0     62.592,0    62.304     69.632      3.578,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.744          3     71.914,0     70.912,0    68.640     76.192      3.874,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.728          3      9.909,0     10.272,0     7.616     11.840      2.135,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.984          4     64.496,0     63.152,0    62.400     69.280      3.209,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      7,0          215.840          3     71.946,0     69.888,0    68.704     77.248      4.629,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.120          3      9.706,0      9.792,0     8.224     11.104      1.441,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      9,0          192.544          4   48.136,0   47.184,0    46.752    51.424      2.203,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      8,0          160.928          3   53.642,0   52.384,0    51.456    57.088      3.019,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           22.112          3    7.370,0    7.360,0     6.272     8.480      1.104,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.096          4     64.024,0     62.608,0    62.272     68.608      3.064,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.896          3     72.298,0     70.400,0    69.184     77.312      4.384,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.640          3      9.546,0      9.536,0     7.936     11.168      1.616,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          192.480          4   48.120,0   47.088,0    46.784    51.520      2.271,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          160.384          3   53.461,0   51.904,0    51.552    56.928      3.007,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
