8,0 191.840 4 47.960,0 47.040,0 46.752 51.008 2.047,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.904 4 47.976,0 46.976,0 46.720 51.232 2.177,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 192.256 4 48.064,0 46.896,0 46.784 51.680 2.412,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.248 4 64.312,0 62.624,0 62.336 69.664 3.576,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.640 4 64.160,0 62.736,0 62.272 68.896 3.179,0 CUDA_KERNEL lud_diagonal(float *, int, int)
10,0 192.160 4 48.040,0 46.992,0 46.720 51.456 2.281,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.776 4 47.944,0 46.768,0 46.752 51.488 2.362,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.896 4 64.224,0 62.688,0 62.368 69.152 3.299,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.648 4 47.912,0 46.944,0 46.720 51.040 2.090,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.408 4 64.352,0 62.672,0 62.336 69.728 3.588,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.520 4 47.880,0 46.848,0 46.720 51.104 2.150,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.568 4 64.392,0 62.832,0 62.368 69.536 3.439,0 CUDA_KERNEL lud_diagonal(float *, int, int)
9,0 192.768 4 48.192,0 47.216,0 46.720 51.616 2.295,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.992 4 64.248,0 62.736,0 62.336 69.184 3.309,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.408 4 64.352,0 62.864,0 62.336 69.344 3.361,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 195.328 4 48.832,0 47.344,0 47.104 53.536 3.138,0 CUDA_KERNEL lud_diagonal(float *, int, int)
9,0 192.064 4 48.016,0 46.864,0 46.720 51.616 2.403,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 155.936 4 38.984,0 38.112,0 37.856 41.856 1.918,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.904 4 47.976,0 46.928,0 46.784 51.264 2.193,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 253.056 4 63.264,0 61.712,0 61.632 68.000 3.158,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.280 4 64.320,0 62.528,0 62.336 69.888 3.715,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.448 4 64.112,0 62.592,0 62.304 68.960 3.241,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 191.936 4 47.984,0 46.976,0 46.720 51.264 2.193,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 192.256 4 48.064,0 47.136,0 46.752 51.232 2.121,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 192.768 4 48.192,0 47.040,0 46.720 51.968 2.524,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 191.264 4 47.816,0 46.832,0 46.720 50.880 2.043,0 CUDA_KERNEL lud_diagonal(float *, int, int)
9,0 192.224 4 48.056,0 47.008,0 46.784 51.424 2.247,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 192.288 4 48.072,0 46.912,0 46.784 51.680 2.408,0 CUDA_KERNEL lud_diagonal(float *, int, int)
9,0 192.256 4 48.064,0 47.120,0 46.816 51.200 2.097,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 161.472 4 40.368,0 39.392,0 39.040 43.648 2.202,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 161.344 4 40.336,0 39.280,0 39.264 43.520 2.122,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.384 4 64.096,0 62.672,0 62.400 68.640 3.038,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.120 4 64.280,0 62.592,0 62.304 69.632 3.578,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.984 4 64.496,0 63.152,0 62.400 69.280 3.209,0 CUDA_KERNEL lud_diagonal(float *, int, int)
9,0 192.544 4 48.136,0 47.184,0 46.752 51.424 2.203,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.096 4 64.024,0 62.608,0 62.272 68.608 3.064,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 192.480 4 48.120,0 47.088,0 46.784 51.520 2.271,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 182.624 4 45.656,0 45.392,0 40.672 51.168 4.443,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 191.872 4 47.968,0 46.928,0 46.752 51.264 2.202,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.024 4 64.256,0 62.736,0 62.336 69.216 3.325,0 CUDA_KERNEL lud_diagonal(float *, int, int)
6,0 131.264 4 32.816,0 31.952,0 31.520 35.840 2.029,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 191.392 4 47.848,0 46.848,0 46.752 50.944 2.065,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 192.672 4 48.168,0 47.040,0 46.720 51.872 2.485,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 192.448 4 48.112,0 47.200,0 46.784 51.264 2.114,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 192.256 4 48.064,0 46.768,0 46.752 51.968 2.602,0 CUDA_KERNEL lud_diagonal(float *, int, int)
