0,0 21.952 3 7.317,0 7.328,0 6.240 8.384 1.072,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.080 3 7.360,0 7.360,0 6.272 8.448 1.088,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.112 3 7.370,0 7.232,0 6.176 8.704 1.269,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.440 3 9.813,0 9.440,0 8.064 11.936 1.962,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.672 3 9.557,0 9.568,0 7.968 11.136 1.584,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 22.208 3 7.402,0 7.200,0 6.240 8.768 1.276,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.792 3 7.264,0 7.104,0 6.144 8.544 1.208,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.024 3 9.674,0 9.600,0 8.096 11.328 1.617,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 22.208 3 7.402,0 7.296,0 6.336 8.576 1.123,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.696,0 8.128 11.488 1.681,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 21.952 3 7.317,0 7.264,0 6.272 8.416 1.073,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.736 3 9.578,0 9.472,0 7.968 11.296 1.666,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 22.400 3 7.466,0 7.296,0 6.336 8.768 1.224,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.768 3 9.589,0 9.600,0 8.096 11.072 1.488,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.800 3 9.600,0 9.568,0 8.128 11.104 1.488,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.040 3 7.680,0 7.264,0 5.728 10.048 2.189,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 22.592 3 7.530,0 7.232,0 6.272 9.088 1.431,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 17.408 3 5.802,0 5.728,0 4.768 6.912 1.073,0 CUDA_KERNEL lud_internal(float *, int, int)
