6,0 161.056 3 53.685,0 52.000,0 51.552 57.504 3.314,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.704 3 53.568,0 52.416,0 51.488 56.800 2.837,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.376 3 53.792,0 52.416,0 51.488 57.472 3.220,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.512 3 72.170,0 70.848,0 69.216 76.448 3.793,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.320 3 72.106,0 69.792,0 68.768 77.760 4.922,0 CUDA_KERNEL lud_perimeter(float *, int, int)
8,0 160.864 3 53.621,0 52.736,0 51.488 56.640 2.687,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.344 3 53.781,0 52.256,0 51.904 57.184 2.952,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.296 3 71.765,0 69.920,0 68.640 76.736 4.352,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.448 3 53.482,0 52.288,0 51.520 56.640 2.761,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.936 3 71.978,0 70.848,0 68.640 76.448 4.024,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.864 3 53.621,0 52.128,0 52.096 56.640 2.614,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.296 3 71.765,0 70.432,0 68.672 76.192 3.933,0 CUDA_KERNEL lud_perimeter(float *, int, int)
8,0 160.544 3 53.514,0 52.320,0 51.520 56.704 2.790,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 70.368,0 68.608 76.416 4.095,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.480 3 72.160,0 69.568,0 69.568 77.344 4.489,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 163.040 3 54.346,0 52.800,0 51.520 58.720 3.841,0 CUDA_KERNEL lud_perimeter(float *, int, int)
8,0 161.120 3 53.706,0 52.608,0 51.488 57.024 2.927,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 130.688 3 43.562,0 42.624,0 41.664 46.400 2.503,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.408 3 53.802,0 52.544,0 52.160 56.704 2.520,0 CUDA_KERNEL lud_perimeter(float *, int, int)
7,0 213.728 3 71.242,0 69.600,0 67.840 76.288 4.457,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 70.240,0 68.960 76.992 4.315,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.904 3 71.968,0 70.624,0 69.152 76.128 3.677,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 161.088 3 53.696,0 52.768,0 51.520 56.800 2.759,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.216 3 53.738,0 52.608,0 51.712 56.896 2.770,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.448 3 53.482,0 52.352,0 51.456 56.640 2.770,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 160.864 3 53.621,0 52.736,0 51.488 56.640 2.687,0 CUDA_KERNEL lud_perimeter(float *, int, int)
8,0 161.248 3 53.749,0 52.640,0 51.584 57.024 2.884,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.120 3 53.706,0 52.384,0 51.872 56.864 2.746,0 CUDA_KERNEL lud_perimeter(float *, int, int)
8,0 160.672 3 53.557,0 52.160,0 52.128 56.384 2.448,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 135.200 3 45.066,0 43.776,0 43.456 47.968 2.517,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 136.256 3 45.418,0 44.160,0 43.776 48.320 2.520,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.416 3 72.138,0 70.304,0 68.832 77.280 4.512,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.744 3 71.914,0 70.912,0 68.640 76.192 3.874,0 CUDA_KERNEL lud_perimeter(float *, int, int)
7,0 215.840 3 71.946,0 69.888,0 68.704 77.248 4.629,0 CUDA_KERNEL lud_perimeter(float *, int, int)
8,0 160.928 3 53.642,0 52.384,0 51.456 57.088 3.019,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.896 3 72.298,0 70.400,0 69.184 77.312 4.384,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.384 3 53.461,0 51.904,0 51.552 56.928 3.007,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 153.120 3 51.040,0 51.744,0 44.832 56.544 5.887,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.184 3 53.728,0 52.512,0 52.192 56.480 2.388,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.784 3 71.594,0 69.888,0 68.608 76.288 4.114,0 CUDA_KERNEL lud_perimeter(float *, int, int)
5,0 109.728 3 36.576,0 35.712,0 34.720 39.296 2.407,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.248 3 53.749,0 52.544,0 51.520 57.184 3.018,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.408 3 53.802,0 52.160,0 52.000 57.248 2.984,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.896 3 53.632,0 52.544,0 51.552 56.800 2.788,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.448 3 53.482,0 52.128,0 51.904 56.416 2.542,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 160.768 3 53.589,0 52.608,0 51.456 56.704 2.758,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.536 3 53.845,0 52.576,0 51.488 57.472 3.187,0 CUDA_KERNEL lud_perimeter(float *, int, int)
11,0 160.960 3 53.653,0 52.224,0 52.128 56.608 2.559,0 CUDA_KERNEL lud_perimeter(float *, int, int)
8,0 160.992 3 53.664,0 52.352,0 51.552 57.088 2.992,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.280 3 72.426,0 70.912,0 69.088 77.280 4.300,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.456 3 71.818,0 69.888,0 68.832 76.736 4.291,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.840 3 71.946,0 70.336,0 68.672 76.832 4.311,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.648 3 71.882,0 69.824,0 68.896 76.928 4.394,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 69.248,0 68.736 77.504 4.921,0 CUDA_KERNEL lud_perimeter(float *, int, int)
7,0 216.800 3 72.266,0 70.752,0 69.632 76.416 3.636,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.624 3 71.541,0 69.696,0 68.800 76.128 3.997,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.200 3 71.733,0 69.728,0 68.640 76.832 4.449,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.544 3 72.181,0 70.848,0 69.248 76.448 3.780,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.672 3 72.224,0 70.752,0 69.024 76.896 4.137,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.192 3 72.064,0 69.376,0 69.344 77.472 4.683,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.912 3 71.637,0 69.664,0 68.672 76.576 4.305,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.592 3 71.530,0 69.856,0 68.672 76.064 3.970,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.248 3 72.416,0 70.720,0 69.472 77.056 4.066,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.104 3 71.701,0 69.824,0 68.704 76.576 4.258,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.376 3 72.458,0 70.944,0 69.792 76.640 3.666,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.320 3 72.106,0 70.336,0 68.704 77.280 4.553,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.024 3 72.341,0 70.752,0 68.704 77.568 4.640,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.568 3 72.522,0 70.720,0 69.216 77.632 4.488,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.712 3 71.904,0 69.568,0 69.056 77.088 4.496,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.296 3 71.765,0 69.600,0 69.088 76.608 4.201,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.312 3 72.437,0 70.720,0 69.280 77.312 4.282,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.360 3 71.786,0 69.632,0 68.672 77.056 4.588,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.544 3 72.181,0 70.880,0 68.992 76.672 4.002,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.168 3 71.722,0 70.432,0 68.640 76.096 3.892,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.008 3 71.669,0 69.632,0 69.312 76.064 3.809,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.712 3 71.904,0 69.728,0 68.672 77.312 4.713,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.800 3 72.266,0 70.752,0 68.736 77.312 4.484,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.512 3 72.170,0 70.752,0 69.472 76.288 3.622,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 161.952 3 53.984,0 52.448,0 52.000 57.504 3.056,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.968 3 71.989,0 70.304,0 68.960 76.704 4.138,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.848 3 71.616,0 69.280,0 69.280 76.288 4.046,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.664 3 72.554,0 70.880,0 69.344 77.440 4.300,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 69.184,0 68.736 77.472 4.919,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 217.216 3 72.405,0 70.208,0 69.440 77.568 4.487,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.224 3 72.074,0 69.440,0 69.344 77.440 4.646,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.392 3 71.797,0 69.728,0 69.536 76.128 3.751,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 214.400 3 71.466,0 69.472,0 68.672 76.256 4.166,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.224 3 72.074,0 70.240,0 68.672 77.312 4.602,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.136 3 71.712,0 70.368,0 68.576 76.192 3.981,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.640 3 72.213,0 69.792,0 69.536 77.312 4.417,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 216.576 3 72.192,0 70.688,0 68.704 77.184 4.435,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.616 3 71.872,0 69.536,0 69.344 76.736 4.213,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.488 3 71.829,0 70.016,0 69.408 76.064 3.679,0 CUDA_KERNEL lud_perimeter(float *, int, int)
6,0 215.968 3 71.989,0 69.856,0 69.568 76.544 3.947,0 CUDA_KERNEL lud_perimeter(float *, int, int)
