0,0 16.822.112 1.023 16.443,0 17.184,0 9.184 29.664 2.530,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.698.240 1.023 10.457,0 9.440,0 6.816 28.448 3.237,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.333.344 1.023 10.101,0 9.888,0 6.816 29.760 2.076,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.397.376 1.023 10.163,0 9.536,0 7.008 25.504 2.874,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.141.088 1.023 10.890,0 11.104,0 7.680 29.824 1.837,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.557.472 1.023 10.320,0 9.504,0 6.944 26.656 2.975,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.096.352 1.023 9.869,0 9.408,0 6.944 33.888 2.863,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.476.544 1.023 17.083,0 17.696,0 12.480 33.312 1.602,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.446.048 1.023 11.188,0 10.976,0 6.848 27.008 3.068,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.326.304 1.023 10.094,0 9.376,0 6.944 24.128 3.009,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.033.856 1.023 14.695,0 17.824,0 8.064 34.304 4.341,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.346.560 1.023 10.113,0 9.568,0 6.976 28.160 2.298,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.388.800 1.023 12.110,0 11.008,0 6.816 31.392 3.958,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.924.448 1.023 10.678,0 9.536,0 6.880 29.056 3.235,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.128.512 1.023 11.855,0 11.808,0 9.088 29.536 1.294,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.250.496 1.023 10.020,0 9.440,0 6.656 29.216 2.718,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.661.440 1.023 10.421,0 9.472,0 6.912 33.792 3.262,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.640.192 1.023 17.243,0 17.920,0 12.992 33.376 1.643,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.481.952 1.023 10.246,0 9.440,0 6.944 33.792 3.102,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.242.496 1.023 10.012,0 9.312,0 6.752 35.744 2.925,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.386.080 1.023 10.152,0 9.472,0 6.816 30.208 2.697,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.136.000 1.023 9.908,0 9.472,0 6.848 33.952 2.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.734.880 1.023 10.493,0 9.536,0 6.848 26.176 3.128,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.879.296 1.023 11.612,0 11.008,0 6.880 27.008 3.712,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.149.728 1.023 11.876,0 9.696,0 7.008 31.776 4.407,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.588.032 1.023 10.350,0 9.568,0 6.848 29.856 3.020,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.978.048 1.023 14.641,0 17.696,0 7.616 34.368 4.295,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.573.696 1.023 10.336,0 9.504,0 6.656 32.960 3.052,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.283.840 1.023 10.052,0 9.376,0 6.912 26.880 2.650,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.055.520 1.023 10.807,0 9.600,0 6.976 33.664 3.738,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.817.152 1.023 12.529,0 10.272,0 6.944 34.176 4.646,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.509.344 1.023 11.250,0 9.568,0 6.912 30.624 3.856,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.637.440 1.023 10.398,0 9.504,0 6.880 29.376 3.200,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.579.488 1.023 10.341,0 9.856,0 6.976 32.032 2.111,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.590.368 1.023 10.352,0 9.536,0 6.880 31.712 2.946,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.102.752 1.023 11.830,0 9.504,0 6.944 25.664 4.248,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.279.680 1.023 12.003,0 11.456,0 6.912 28.864 3.612,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.244.032 1.023 11.968,0 11.680,0 6.912 26.528 3.711,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.287.136 1.023 11.033,0 9.536,0 6.912 27.040 3.735,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.592.864 1.023 11.332,0 9.568,0 6.912 34.304 4.056,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.175.424 1.023 9.946,0 9.408,0 6.848 26.816 2.761,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.260.160 1.023 10.029,0 9.472,0 6.656 26.848 2.921,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.473.952 1.023 10.238,0 9.600,0 6.944 29.440 2.850,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.022.976 1.023 13.707,0 13.536,0 6.880 26.272 4.843,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.127.072 1.023 9.899,0 9.376,0 6.752 29.056 2.570,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.973.888 1.023 12.682,0 11.072,0 5.792 26.816 4.096,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.543.232 1.023 10.306,0 9.376,0 6.912 26.368 2.983,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.265.824 1.023 10.035,0 9.504,0 6.816 26.528 2.545,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 9.906.272 1.023 9.683,0 9.376,0 7.008 32.928 2.540,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 14.855.712 1.023 14.521,0 16.192,0 7.936 27.232 3.332,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.191.488 1.023 10.939,0 9.504,0 6.880 27.232 3.703,0 CUDA_KERNEL Fan1(float *, float *, int, int)
