31,0 1.670.232.256 1.023 1.632.680,0 1.645.600,0 1.080.672 2.067.936 229.860,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.053.645.280 1.023 1.029.956,0 845.632,0 784.096 2.020.160 362.165,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.000.618.304 1.023 978.121,0 905.632,0 786.208 2.071.392 201.248,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.055.096.544 1.023 1.031.374,0 847.360,0 785.376 2.065.440 369.891,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.083.703.840 1.023 1.059.339,0 982.912,0 898.944 2.073.696 194.520,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.038.305.120 1.023 1.014.961,0 846.624,0 787.136 1.948.512 320.943,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.016.012.992 1.023 993.170,0 846.752,0 786.624 2.123.584 347.695,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.794.310.592 1.023 1.753.969,0 1.671.936,0 1.315.872 2.140.448 160.146,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.079.925.856 1.023 1.055.646,0 1.004.672,0 785.472 1.854.624 286.223,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.052.157.824 1.023 1.028.502,0 848.672,0 785.024 2.094.720 376.556,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
34,0 1.540.008.768 1.023 1.505.384,0 1.667.424,0 940.448 2.124.960 426.771,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.018.714.208 1.023 995.810,0 846.720,0 784.352 1.961.056 284.542,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.230.810.688 1.023 1.203.138,0 1.028.160,0 784.704 2.078.528 406.204,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.070.067.360 1.023 1.046.009,0 846.976,0 784.416 2.066.400 358.530,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
34,0 1.238.377.088 1.023 1.210.534,0 1.203.904,0 1.021.760 2.065.760 128.037,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.018.894.784 1.023 995.987,0 848.160,0 784.096 2.071.488 308.666,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.085.905.088 1.023 1.061.490,0 843.264,0 784.352 2.139.872 401.648,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
34,0 1.790.609.856 1.023 1.750.351,0 1.673.120,0 1.325.408 2.129.376 160.699,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
