0,0 25.568 2 12.784,0 12.784,0 9.952 15.616 4.005,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.224 2 12.112,0 12.112,0 8.896 15.328 4.548,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.096 2 12.048,0 12.048,0 9.216 14.880 4.005,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.552 2 11.776,0 11.776,0 8.896 14.656 4.072,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.296 2 11.648,0 11.648,0 9.056 14.240 3.665,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.288 2 12.144,0 12.144,0 9.216 15.072 4.140,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.032 2 12.016,0 12.016,0 9.024 15.008 4.231,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.328 2 11.664,0 11.664,0 8.960 14.368 3.824,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 28.000 2 14.000,0 14.000,0 11.072 16.928 4.140,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.672 2 12.336,0 12.336,0 9.056 15.616 4.638,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.128 2 12.064,0 12.064,0 8.800 15.328 4.616,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.744 2 11.872,0 11.872,0 8.896 14.848 4.208,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.616 2 11.808,0 11.808,0 8.864 14.752 4.163,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.680 2 11.840,0 11.840,0 8.896 14.784 4.163,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.968 2 11.984,0 11.984,0 9.504 14.464 3.507,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.552 2 11.776,0 11.776,0 9.184 14.368 3.665,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.520 2 11.760,0 11.760,0 8.960 14.560 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.296 2 11.648,0 11.648,0 9.184 14.112 3.484,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.008 2 11.504,0 11.504,0 8.896 14.112 3.688,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.808 2 11.904,0 11.904,0 8.832 14.976 4.344,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.776 2 13.888,0 13.888,0 11.040 16.736 4.027,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.064 2 12.032,0 12.032,0 8.928 15.136 4.389,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.808 2 11.904,0 11.904,0 8.928 14.880 4.208,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.296 2 11.648,0 11.648,0 9.120 14.176 3.575,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 27.968 2 13.984,0 13.984,0 11.104 16.864 4.072,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 24.384 2 12.192,0 12.192,0 9.760 14.624 3.439,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.328 2 11.664,0 11.664,0 8.960 14.368 3.824,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 23.456 2 11.728,0 11.728,0 8.928 14.528 3.959,0 CUDA_KERNEL Fan1(float *, float *, int, int)
