0,0 21.152 2 10.576,0 10.576,0 9.312 11.840 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.520 2 9.760,0 9.760,0 8.992 10.528 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.288 2 10.144,0 10.144,0 9.408 10.880 1.040,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 9.120 10.656 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.768 2 10.384,0 10.384,0 9.344 11.424 1.470,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.184 2 10.592,0 10.592,0 9.056 12.128 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.792 2 10.896,0 10.896,0 9.472 12.320 2.013,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.840 2 9.920,0 9.920,0 9.248 10.592 950,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 25.952 2 12.976,0 12.976,0 11.872 14.080 1.561,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.776 2 9.888,0 9.888,0 9.120 10.656 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.496 2 9.248,0 9.248,0 9.088 9.408 226,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.088 2 10.544,0 10.544,0 10.080 11.008 656,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.608 2 10.304,0 10.304,0 9.056 11.552 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.160 2 10.080,0 10.080,0 9.088 11.072 1.402,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.784 2 9.392,0 9.392,0 9.184 9.600 294,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.224 2 10.112,0 10.112,0 9.184 11.040 1.312,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.744 2 9.872,0 9.872,0 9.184 10.560 973,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.000 2 10.000,0 10.000,0 9.184 10.816 1.154,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.504 2 10.752,0 10.752,0 9.216 12.288 2.172,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.584 2 9.792,0 9.792,0 8.960 10.624 1.176,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
