1,0 42.880 1 42.880,0 42.880,0 42.880 42.880 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 41.792 1 41.792,0 41.792,0 41.792 41.792 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 41.536 1 41.536,0 41.536,0 41.536 41.536 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 43.840 1 43.840,0 43.840,0 43.840 43.840 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 43.520 1 43.520,0 43.520,0 43.520 43.520 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 43.040 1 43.040,0 43.040,0 43.040 43.040 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 41.024 1 41.024,0 41.024,0 41.024 41.024 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 29.504 1 29.504,0 29.504,0 29.504 29.504 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 42.368 1 42.368,0 42.368,0 42.368 42.368 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 42.912 1 42.912,0 42.912,0 42.912 42.912 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 41.344 1 41.344,0 41.344,0 41.344 41.344 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 41.920 1 41.920,0 41.920,0 41.920 41.920 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 42.944 1 42.944,0 42.944,0 42.944 42.944 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 42.464 1 42.464,0 42.464,0 42.464 42.464 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
0,0 42.112 1 42.112,0 42.112,0 42.112 42.112 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 42.368 1 42.368,0 42.368,0 42.368 42.368 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 43.008 1 43.008,0 43.008,0 43.008 43.008 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 42.752 1 42.752,0 42.752,0 42.752 42.752 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 42.400 1 42.400,0 42.400,0 42.400 42.400 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
1,0 41.472 1 41.472,0 41.472,0 41.472 41.472 0,0 CUDA_KERNEL invert_mapping(float *, float *, int, int)
