2,0 7.449.856 2 3.724.928,0 3.724.928,0 1.932.544 5.517.312 2.534.813,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.427.968 2 3.713.984,0 3.713.984,0 1.919.744 5.508.224 2.537.438,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.439.616 2 3.719.808,0 3.719.808,0 1.923.616 5.516.000 2.540.199,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.395.168 2 4.697.584,0 4.697.584,0 1.929.952 7.465.216 3.914.022,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.412.320 2 4.706.160,0 4.706.160,0 1.929.632 7.482.688 3.926.603,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.382.624 2 4.691.312,0 4.691.312,0 1.932.192 7.450.432 3.901.984,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.375.744 2 4.687.872,0 4.687.872,0 1.920.224 7.455.520 3.914.045,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.447.360 2 3.723.680,0 3.723.680,0 1.921.984 5.525.376 2.547.982,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.450.208 2 3.725.104,0 3.725.104,0 1.906.432 5.543.776 2.571.990,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.433.216 2 3.716.608,0 3.716.608,0 1.904.096 5.529.120 2.563.279,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.379.520 2 4.689.760,0 4.689.760,0 1.917.664 7.461.856 3.920.335,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.396.224 2 4.698.112,0 4.698.112,0 1.899.456 7.496.768 3.957.897,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.352.064 2 4.676.032,0 4.676.032,0 1.910.400 7.441.664 3.911.194,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.427.744 2 3.713.872,0 3.713.872,0 1.894.368 5.533.376 2.573.167,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.428.992 2 3.714.496,0 3.714.496,0 1.903.584 5.525.408 2.561.016,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.381.376 2 4.690.688,0 4.690.688,0 1.894.080 7.487.296 3.955.001,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.357.920 2 4.678.960,0 4.678.960,0 1.901.216 7.456.704 3.928.323,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.345.312 2 4.672.656,0 4.672.656,0 1.894.240 7.451.072 3.929.273,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.273.376 2 4.636.688,0 4.636.688,0 1.892.160 7.381.216 3.881.348,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.330.848 2 4.665.424,0 4.665.424,0 1.891.232 7.439.616 3.923.300,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.326.240 2 4.663.120,0 4.663.120,0 1.891.168 7.435.072 3.920.132,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
