     22.8        113217920        127     891479.7     650816.0       7968    2672864     821497.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14695200        127     115710.2     107520.0      69216     204992      38925.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8396672        128      65599.0      67488.0      62240      71168       2720.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.9        113039776        127     890077.0     658016.0       7968    2694112     821212.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14697504        127     115728.4     107776.0      69184     205696      38930.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8392960        128      65570.0      67440.0      62272      71328       2899.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     20.5         80566656        127     634383.1     468064.0       6304    1887776     579579.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.8         10955328        127      86262.4      80032.0      51520     150720      28872.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.6          6224928        128      48632.3      50016.0      46720      52960       1672.6  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.3        103224800        127     812793.7     410048.0       5056    2670592     852582.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.6         11889088        127      93614.9      66912.0      44000     205600      51875.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6344288        128      49564.8      41600.0      37984      71552      13540.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.8        113075424        127     890357.7     652192.0       8288    2657536     820975.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14705952        127     115794.9     107936.0      69632     205344      38999.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8389408        128      65542.3      67344.0      62304      71392       2709.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.8        113456192        127     893355.8     657536.0       8640    2654912     824757.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14701696        127     115761.4     108736.0      69344     204288      38839.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8401984        128      65640.5      67600.0      62336      70368       2649.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.9        108774720        127     856493.9     526624.0       6272    2643520     840195.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.8         13175520        127     103744.3      81984.0      52096     205440      47960.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          7243168        128      56587.3      51568.0      46688      71424      10226.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        112372800        127     884825.2     650016.0       5184    2657248     827251.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.8         13833600        127     108926.0     108448.0      43744     205504      47291.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.6          7604064        128      59406.8      67536.0      38880      70304      12171.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.0        113407136        127     892969.6     639168.0       8032    2682816     824776.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14687744        127     115651.5     107392.0      68736     205120      39005.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8404544        128      65660.5      67424.0      62272      71424       2708.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.8        113015680        127     889887.2     653152.0       8192    2661152     822936.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14699616        127     115745.0     108000.0      69312     206144      38993.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8389184        128      65540.5      67456.0      62336      71200       2801.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        108105344        127     851223.2     466976.0       4992    2696192     853699.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.7         12629280        127      99443.1      70112.0      43552     205824      52420.2  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.4          6751712        128      52747.8      43024.0      38272      70976      14345.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.8        113777536        127     895886.1     628832.0       7968    2716160     825927.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.9         14692448        127     115688.6     107168.0      68736     206144      38930.9  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8399200        128      65618.8      66768.0      62240      70848       2598.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22.9        108410944        127     853629.5     481312.0       6304    2660640     841254.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.8         13148224        127     103529.3      82304.0      51776     205056      47897.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.5          7216416        128      56378.3      50768.0      46720      71008      10153.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.7        119257280        127     939033.7     613408.0       8512    5063136     979505.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      2.9         14697152        127     115725.6     107808.0      68832     205760      38985.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8393888        128      65577.3      66880.0      62304      70784       2794.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113418400        127     893058.3     656064.0       7904    2680512     824430.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3.0         14701856        127     115762.6     108768.0      68704     206048      38824.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1.7          8387040        128      65523.8      67280.0      62272      70496       2828.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23.1        113377952        127     892739.8     614528.0       8064    2654144     824304.0  CUDA_KERNEL  lud_internal(float *, int, int) 
