22.8 113217920 127 891479.7 650816.0 7968 2672864 821497.6 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113039776 127 890077.0 658016.0 7968 2694112 821212.9 CUDA_KERNEL lud_internal(float *, int, int)
20.5 80566656 127 634383.1 468064.0 6304 1887776 579579.8 CUDA_KERNEL lud_internal(float *, int, int)
22.3 103224800 127 812793.7 410048.0 5056 2670592 852582.3 CUDA_KERNEL lud_internal(float *, int, int)
22.8 113075424 127 890357.7 652192.0 8288 2657536 820975.6 CUDA_KERNEL lud_internal(float *, int, int)
22.8 113456192 127 893355.8 657536.0 8640 2654912 824757.3 CUDA_KERNEL lud_internal(float *, int, int)
22.9 108774720 127 856493.9 526624.0 6272 2643520 840195.1 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112372800 127 884825.2 650016.0 5184 2657248 827251.1 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113407136 127 892969.6 639168.0 8032 2682816 824776.0 CUDA_KERNEL lud_internal(float *, int, int)
22.8 113015680 127 889887.2 653152.0 8192 2661152 822936.5 CUDA_KERNEL lud_internal(float *, int, int)
23.1 108105344 127 851223.2 466976.0 4992 2696192 853699.6 CUDA_KERNEL lud_internal(float *, int, int)
22.8 113777536 127 895886.1 628832.0 7968 2716160 825927.8 CUDA_KERNEL lud_internal(float *, int, int)
22.9 108410944 127 853629.5 481312.0 6304 2660640 841254.0 CUDA_KERNEL lud_internal(float *, int, int)
23.7 119257280 127 939033.7 613408.0 8512 5063136 979505.5 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113418400 127 893058.3 656064.0 7904 2680512 824430.0 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113377952 127 892739.8 614528.0 8064 2654144 824304.0 CUDA_KERNEL lud_internal(float *, int, int)
20.7 80539552 127 634169.7 440160.0 6464 1903456 580630.9 CUDA_KERNEL lud_internal(float *, int, int)
20.9 88966176 127 700521.1 396544.0 4800 2690848 791613.2 CUDA_KERNEL lud_internal(float *, int, int)
21.7 95950912 127 755519.0 444128.0 6336 3082496 814410.4 CUDA_KERNEL lud_internal(float *, int, int)
21.0 89397728 127 703919.1 406464.0 5024 2685056 787754.4 CUDA_KERNEL lud_internal(float *, int, int)
19.4 67240672 127 529454.1 350304.0 3968 1633056 502105.4 CUDA_KERNEL lud_internal(float *, int, int)
22.8 107118176 127 843450.2 439104.0 4960 2679872 849745.2 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113515264 127 893821.0 646944.0 7968 2679648 826003.5 CUDA_KERNEL lud_internal(float *, int, int)
22.6 103144192 127 812159.0 385088.0 4928 2678272 851200.0 CUDA_KERNEL lud_internal(float *, int, int)
23.6 111588544 127 878650.0 772704.0 5152 4529504 895054.4 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113451520 127 893319.1 652832.0 8544 2673472 822829.9 CUDA_KERNEL lud_internal(float *, int, int)
21.9 98355872 127 774455.7 373824.0 5184 2668832 840937.9 CUDA_KERNEL lud_internal(float *, int, int)
23.3 113676352 127 895089.4 638720.0 7808 2662144 824769.1 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112657888 127 887070.0 605088.0 8064 2650464 821166.9 CUDA_KERNEL lud_internal(float *, int, int)
22.0 97636800 127 768793.7 383072.0 4960 2662560 834992.1 CUDA_KERNEL lud_internal(float *, int, int)
